Unique followers: 5026
totalIdentified: 2764
totalUnidentified: 2259
var locations = [{"country": "aflbr", "name": "Liberia", "value": 1}, {"country": "askaz", "name": "Kazakhstan", "value": 1}, {"country": "asbgd", "name": "Bangladesh", "value": 1}, {"country": "eubih", "name": "Bosnia And Herzegowina", "value": 1}, {"country": "saper", "name": "Peru", "value": 1}, {"country": "asnpl", "name": "Nepal", "value": 1}, {"country": "eultu", "name": "Lithuania", "value": 1}, {"country": "eublr", "name": "Belarus", "value": 2}, {"country": "eubgr", "name": "Bulgaria", "value": 2}, {"country": "asind", "name": "India", "value": 2}, {"country": "euhun", "name": "Hungary", "value": 2}, {"country": "eulva", "name": "Latvia", "value": 3}, {"country": "assau", "name": "Saudi Arabia", "value": 3}, {"country": "eupol", "name": "Poland", "value": 3}, {"country": "asirn", "name": "Iran (Islamic Republic Of)", "value": 3}, {"country": "afzwe", "name": "Zimbabwe", "value": 4}, {"country": "asisr", "name": "Israel", "value": 4}, {"country": "afegy", "name": "Egypt", "value": 5}, {"country": "sabol", "name": "Bolivia", "value": 5}, {"country": "ashkg", "name": "Hong Kong", "value": 5}, {"country": "euprt", "name": "Portugal", "value": 6}, {"country": "ocnzl", "name": "New Zealand", "value": 7}, {"country": "sacol", "name": "Colombia", "value": 8}, {"country": "astha", "name": "Thailand", "value": 8}, {"country": "assgp", "name": "Singapore", "value": 9}, {"country": "eudnk", "name": "Denmark", "value": 10}, {"country": "eufin", "name": "Finland", "value": 13}, {"country": "asidn", "name": "Indonesia", "value": 14}, {"country": "eubel", "name": "Belgium", "value": 14}, {"country": "euswe", "name": "Sweden", "value": 16}, {"country": "sachl", "name": "Chile", "value": 17}, {"country": "eusvn", "name": "Slovenia", "value": 18}, {"country": "euita", "name": "Italy", "value": 18}, {"country": "asmys", "name": "Malaysia", "value": 19}, {"country": "asirq", "name": "Iraq", "value": 20}, {"country": "astur", "name": "Turkey", "value": 21}, {"country": "saven", "name": "Venezuela", "value": 23}, {"country": "asjpn", "name": "Japan", "value": 24}, {"country": "asrus", "name": "Russian Federation", "value": 24}, {"country": "euirl", "name": "Ireland", "value": 36}, {"country": "euesp", "name": "Spain", "value": 39}, {"country": "saarg", "name": "Argentina", "value": 42}, {"country": "afmar", "name": "Morocco", "value": 42}, {"country": "eufra", "name": "France", "value": 43}, {"country": "namex", "name": "Mexico", "value": 52}, {"country": "nacan", "name": "Canada", "value": 55}, {"country": "euaut", "name": "Austria", "value": 77}, {"country": "nagrl", "name": "Greenland", "value": 92}, {"country": "ocaus", "name": "Australia", "value": 97}, {"country": "eugrc", "name": "Greece", "value": 100}, {"country": "eugbr", "name": "United Kingdom", "value": 259}, {"country": "eudeu", "name": "Germany", "value": 286}, {"country": "eunld", "name": "Netherlands", "value": 398}, {"country": "nausa", "name": "United States", "value": 807}]


country,name,value
aflbr,Liberia,1
askaz,Kazakhstan,1
asbgd,Bangladesh,1
eubih,Bosnia And Herzegowina,1
saper,Peru,1
asnpl,Nepal,1
eultu,Lithuania,1
eublr,Belarus,2
eubgr,Bulgaria,2
asind,India,2
euhun,Hungary,2
eulva,Latvia,3
assau,Saudi Arabia,3
eupol,Poland,3
asirn,Iran (Islamic Republic Of),3
afzwe,Zimbabwe,4
asisr,Israel,4
afegy,Egypt,5
sabol,Bolivia,5
ashkg,Hong Kong,5
euprt,Portugal,6
ocnzl,New Zealand,7
sacol,Colombia,8
astha,Thailand,8
assgp,Singapore,9
eudnk,Denmark,10
eufin,Finland,13
asidn,Indonesia,14
eubel,Belgium,14
euswe,Sweden,16
sachl,Chile,17
eusvn,Slovenia,18
euita,Italy,18
asmys,Malaysia,19
asirq,Iraq,20
astur,Turkey,21
saven,Venezuela,23
asjpn,Japan,24
asrus,Russian Federation,24
euirl,Ireland,36
euesp,Spain,39
saarg,Argentina,42
afmar,Morocco,42
eufra,France,43
namex,Mexico,52
nacan,Canada,55
euaut,Austria,77
nagrl,Greenland,92
ocaus,Australia,97
eugrc,Greece,100
eugbr,United Kingdom,259
eudeu,Germany,286
eunld,Netherlands,398
nausa,United States,807
