tweet,retweetsCount,favoritesCount
"RT @AstroTerry: The expedition 42/43 training team and crews http://t.co/gl5A9fnj6i",10,0
"RT @SoyuzTMA: Crew patch for Soyuz TMA-15M has been revealed at http://t.co/kF3fGTDhz3",5,0
"RT @OlegMKS: Cities in #Russia - #Petropavlovsk-Kamchatsky #ISS more in blog #BlueDot http://t.co/bpcE0ixzmK http://t.co/FQkvlMe4c6",33,0
"RT @OlegMKS: Города #России - #Петропавловск-Камчатский #МКС ещё в блоге #BlueDot http://t.co/bpcE0ixzmK http://t.co/lX95hxv92d",20,0
"RT @OlegMKS: #Вулкан #Этна. #Сицилия #МКС подр. в блоге (#Etna #Volcano #ISS det/ in blog) #BlueDot http://t.co/b7yLDdurIh http://t.co/8OUk…",43,0
"RT @OlegMKS: Golden Moon in the Persian Gulf near Dubai #ISS HQ in blog #BlueDot http://t.co/MIu1xS2Gyi http://t.co/T2fRpSvAZq",44,0
"RT @OlegMKS: Золотой месяц в Персидском Заливе недалеко от Дубая #МКС см. в блоге #BlueDot http://t.co/MIu1xS2Gyi http://t.co/Z9Qytwcdt7",27,0
"RT @Msuraev: Начинаю публикацию снимков которые мне удалось сделать на МКС. Думаю, может быть интересно будет посмотреть. Всё живое никаког…",44,0
"RT @OlegMKS: #Тайфун #Ногури вчера дошёл до Японии. #МКС ещё фото в блоге http://t.co/sLBuDmOCAK http://t.co/WOjnXwCcZB",32,0
"RT @OlegMKS: Тренировка спуска на Землю #МКС подр. в блоге (Landing Training #ISS detail in blog) http://t.co/PhHL7ltExt http://t.co/0vFtFw…",22,0
"RT @AstroSamantha: Nice close view! #Soyuz RT @Astro_Alex: Through this periscope on our spaceship we observed docking w/ #ISS http://t.co/…",14,0
"RT @astro_reid: Unusually clear with brilliant colors over the Middle East and Med. http://t.co/hWuCPiOhla",413,0
"RT @AstroTerry: Big day today for #Expedition42 and #Expedition43 - the cake cutting ceremony with our training team.  Yum http://t.co/qSg3…",23,0
"RT @OlegMKS: some more photos the eye of Super #Typhoon #Neoguri. more in blog #BlueDot http://t.co/sLBuDmOCAK http://t.co/SmLoT8RYPX",49,0
"RT @Msuraev: Олег @OlegMKS работает с научной аппаратурой «Спектрометр» которую мы используем для изучения  Земли. http://t.co/aSKIOzmbQk",16,0
"RT @AstroSamantha: Great memories. Can't wait to go back! RT @PC0101: Baikonur, Kazakhstan, #ISS, exp40, July 2, 800-mm http://t.co/rt6A7CM…",14,0
"RT @AstroSamantha: Cake cutting ceremony to say thanks to training teams. Cutting our Expeditions cake w/ @AstroTerry &amp; @AntonAstrey. http:…",29,0
