tweet,retweetsCount,favoritesCount
"Thanks everyone from #PuertoRico for your support.  Hello from Aquarius Habitat at 60 feet underwater. http://t.co/ViNdxxOPm8",78,87
"We have finished day 2. Completed all EVA objectives and got in a little workout trying out a new miniature exercise device.",17,12
"We made it to Aquarius n did our first 'spacewalk' today. From the ocean floor to space:  Aquanaut to Astronaut.  It is quite the adventure.",26,23
"Support/MCC crew as we push off for start of SEATEST 2. We r ready. http://t.co/MaYWLn1V1c",10,6
"Weather finally cleared up n we got our certification dive in. Here is Life Support Buoy that provides power n air http://t.co/9qt36Uxy0X",11,7
"Weather is delaying the start of our 2nd helmet dive training day. Luckily Japanese friends brought snacks. http://t.co/KXbDENgHXN",11,6
"Great day of helmet dive training. Me and @Astro_Soichi suiting up @Astro_Andreas http://t.co/XZUagAWOQY",17,13
"We r getting ready for our first #SEATEST helmet training dive. http://t.co/AO4xdy3GDU",7,5
"1st day of #SEATEST training complete. In the habitat next week.",9,8
"If u like volcanoes, these folks do awesome work @VolcanoCowboy @lynn_carter8 @MorningCupOLava",11,5
"RT @VolcanoCowboy: Hiking around the Dec. 1974 flow on Kilauea today with @AstroAcaba @MorningCupOLava @lynn_carter8 http://t.co/XJvSbkY251",7,0
"That's it for today's #EarthDay tweet chat. Thanks for joining me. Let's work together to take care of our home. #greenspace",7,7
".@tsetsura @ISS_Research Exactly, Katerina. Thank you! #greenspace",1,0
"RT @tsetsura: @ISS_Research: Why study fire in space? understanding fire may lead to cleaner, safer, more efficient fuels #greenspace #I ...",7,0
"http://t.co/LL7lOayjOm Here are some of our friends from @fsologists_AK this morning, working to protect our natl resources #GreenSpace",4,0
".@smokey_bear Most def. Satellite imagery can help us recognize vegetation condition to make fire projections. #greenspace",7,1
"RT @smokey_bear: @AstroAcaba Looking at video footage from space can we recognize the indicators of where a fire might occur on the grou ...",3,0
".@astronuts4 I sure hope so. Can't back to space soon enough!",2,0
"RT @astronuts4: @astroacaba #greenspace, what's next for you?  Going back to space someday?",2,0
".@irishspaceblog I don't know the number but from space aboard #ISS, it looks that way. Hard to photo fave spots. #GreenSpace",3,2
"RT @irishspaceblog: @AstroAcaba Joe, I have been told before that around 50% of planet #Earth is covered in clouds. Is this true? #Green ...",2,0
".@astronuts4 I do It's evident to see the fragility of our home &amp; impact we can have on our planet. We need to protect our home #greenspace",4,0
"RT @FSologists_AK: Ask @AstroAcaba how NASA technology is helping @forestservice map Copper River Delta and Yakutat Forelands #greenspace",4,0
"RT @astronuts4: #greenspace @astroacaba do you feel it's even more important to protect our natural resources now that you'be seen our p ...",4,0
".@spasmunkey Loved working BASS, always cool to play with fire on #ISS. Learned a lot about fire behavior in space on #Earth. #GreenSpace",3,2
"RT @spasmunkey: Hey @AstroAcaba #GreenSpace Tell us about combustion research in space. #ISS",3,0
"With my tweet crew getting ready to answer your Qs for today's #GreenSpace tweet chat. Who's w me? #ISS #EarthDay http://t.co/n7xhI1DbbO",19,5
"Had a great day w/ @smokey_bear at the @azchallenger Sci center.  We will b in @fiestabowl parade tomorrow",15,9
"Farewell #ISS. Look forward to scoring touchdown tonight! Our Soyuz to land at 9:53p Houston time. Watch it: http://t.co/62jNWQwU",76,16
"Speaking of departure, first things first. Spent time today prepping to let go of HTV. Used the arm to grab it on its arrival back in July.",22,7
"Performed air sampling w the Air Quality Monitor &amp; had a little time to prepare for my upcoming departure.Hard to believe the time has come.",23,5
"Today: medical experiments, HTV release procedure review, prep for Soyuz undock &amp; entry, plus prepacked items for my trip back home: Earth!",35,9
"Keeping busy on #ISS. Last week, it was team USA spacewalk #2. Here I helped @Astro_Suni get ready to go outside.  http://t.co/H14QMVqW",46,17
"Turning in an hour earlier to rest for tomorrow's spacewalk. Reviewed robotics procedures &amp; more: http://t.co/y36kMa9N Lights out!",27,4
"If spacewalking was an Olympic event my crew mates would have medaled. Learned today's spacewalk 8:17 placed 3rd in longest spacewalks ever.",163,39
"Busy day inside and outside #ISS today. Worked the station robotic arm while my colleagues @Astro_Suni and @Aki_Hoshide worked outside.",29,6
"Here, @Aki_Hoshide and I are preparing for his and @Astro_Suni's hike outdoors tomorrow.   http://t.co/5iU0PnTg",45,9
"Here's a snapshot of me prepping one of the spacesuits that @Astro_Suni &amp; @Aki_Hoshide will wear outside tomorrow  http://t.co/USoY8eql",26,10
"Today is half-duty day to get ready for 1st US spacewalk since last summer tomorrow. Spacewalk procedure &amp; robotics conferences for me.",26,5
"Was good talking to folks on the ground yesterday. Great questions! Here's video if you missed it: http://t.co/OhTId0th",37,9
"Assembled the Multi-Purpose Experiment Platform, recycle tank ops, routine air sampling and a spacewalk conference http://t.co/7PKhcXdl",18,4
"We perform eye exams on #ISS as part of our health care as we do on Earth. Don't worry, these are not my glasses.  http://t.co/9uNsmb6g",31,9
"Got to sleep in today - 4 hours! Worked overtime yesterday to support the Russian spacewalk - all objectives complete. Short busy day today.",25,6
