tweet,retweetsCount,favoritesCount
"Completely unacceptable: Christmas imagery often gets moon wrong, says astronomer  http://t.co/V21ARSC6",0,0
"The joke's done. It's stale. Besides, my policies are more like magnetohydrodynamics, if you ask me. #cdnpoli",0,0
"I believe I speak for a lot of Canadians when I ask pundits to stop using 'not rocket science' when discussing my policies. #cdnpoli",0,1
"Staggering: 2.24x10^10 “first-star-I-see-tonight” wishes have been wasted on Venus. #fact #stats #cdnpoli",0,0
"@FANT0MAAS I am completely in favor of bearing optically amplified light weaponry, as long as they have a 'stun' setting. #cdnpoli",1,2
"RT @FANT0MAAS: @marcgarneau is it true that if elected Prime Minister of Canada everyone gets lasers?!",1,0
"@LordConradBlack The only thing Canadians should evoke is the Prime Directive.",0,1
"RT @LordConradBlack: You may have went to space Mr.  @MarcGarneau but have you evoked a post-colonial media empire that transmuted 2 cou ...",4,0
"RT @alecz_dad: Oh, you know. First Canadian in space. Order of Canada. MP: http://t.co/nXcbgqou THAT guy! RT @good_robyn: Marc who? @mar ...",1,0
"RT @KevinBourassa: @AstroGarneau The Large Hadron Collider fired up &amp; #CPC got trapped in an alternate universe - no links to realit ...",2,0
"The only reasonable explanation for the #F35 cost discrepancy: temporary intersection of two parallel universes. #cdnpoli #lpc #ndp",0,0
"As Astronaut PM I will make space more 'hip' to the younger generation by renaming the Milky Way the 'Latté Way'. #lpc #cdnpoli",2,1
"#Fact: US astronauts kept Swedish astronaut Chris Fuglesang from bringing reindeer jerky on a shuttle mission. It was too soon before Xmas.",0,0
"@FANT0MAAS Keep reaching for the Kármán line!",1,1
"RT @wjoates: @AstroGarneau The figures are wrong.  Price for #f35 has reached $40B. #cdnpoli",1,0
"RT @JeffClark1969: @_drewski @astrogarneau @marcgarneau MPs should use Firefly Chinese to swear. 'Wuh duh ma huh ta duh fung-kwong duh w ...",1,0
"@JeffClark1969 @_drewski @MarcGarneau Apologies. I could never endorse insulting anyone's 'wacky nephews.'",0,0
"@FANT0MAAS I'm not surprised. They're like ferengi trying to convince us the Rules of Acquisition are rules, not just guidelines.",1,1
"RT @FANT0MAAS: @AstroGarneau You seem to have goid sense of humour so you may like: LEAKED! Marc Garneau Con attack ad http://t.co/v60rcGID",1,0
"Imagine, if you would, for a moment! #f35 #cdnpoli http://t.co/iiISNb9x",11,0
"RT @dexterchaos: @AstroGarneau @MHallFindlay On CPC keyboards there is no 'shift' to the left.",1,0
"@JacPatterson @SusanDelacourt Guiding public opinion, like a gravitational lens warping space–time to create gravitational fields.",0,0
"RT @JacPatterson: @AstroGarneau @susandelacourt Must be why she has such a sunny disposition..,I always get a big bang out of her brilli ...",1,0
"@JacPatterson @MHallFindlay Perhaps the gravity of such an outlook can hold her down.",0,0
"@JacPatterson @SusanDelacourt She radiates at a rate in excess of  2×10^12 suns.",0,0
"@HOHfeld @SusanDelacourt We'll thrust into orbit using our platform as one of two foci in accordance to Kepler's laws of planetary motion.",0,0
"A real space image! You're a lenticular galaxy type of person, hm? May I suggest Centaurus A? @SusanDelacourt #cdnpoli http://t.co/PPrM0YMI",0,0
