tweet,retweetsCount,favoritesCount
"Had a great time in DC this week.  Thanks to all who worked so hard to make it all happen.  Flying home to Houston early tomorrow morning.",28,20
"Thanks to everyone that came to the Tweetup.  It was an honor to meet so may of you in person, and to answer your questions in more depth.",12,5
"Heading to the NASA HQ tweet up.  Should be fun.",4,3
"Had a full day of Capitol Hill visits yesterday.  Off to a school visit now.  Tweet-up at NASA HQ this afternoon.",5,1
"Reception by Japanese Embassy was very nice.  Tomorrow, we visit NASA HQ and Canadian Embassy.",2,1
"Arrived in Washington, DC, for postflight visits.  Hosted tonight by the Japanese Embassy.  Will be nice to give our presentation.",1,0
"Just about to start our big KSC crew presentation.",1,0
"Finished first set of talks.  Off to chat with another group.  The work force here is fantastic!",0,0
"starting our KSC employee visits now.",1,0
"Made it to Florida earlier this afternoon.  Looking forward to seeing a lot of the work force here.  KSC is a special place.",1,1
"Getting ready to fly a T-38 to Kennedy Space Center.  Postflight briefings are tomorrow.",1,2
"Flying to MS today.  We have postflight presentations tomorrow at Michoud (external tank made there) and Stennis Space Center.",0,0
"Here's the link.  http://bit.ly/3aCmSF",1,11
"Just got back to work after taking last week off. I'll post a link that's a photo of the 2 Russian Soyuz spacecraft docked to ISS.",4,2
"Our view during fly around of ISS last month.  http://bit.ly/XEYBG",4,32
"@Ann_Richardson The sights, sounds, etc., are seared into my consciousness that it will always be real.  And thanks!",0,2
"@jayelen You're very welcome.",0,0
"@Myleen77 Thank you.",0,0
"@MillardPF No.  The cabin's pressurized to sea level unless there's a problem, so there's no real change from home.",1,1
"Hope you all enjoyed following STS-128 and @Astro_Jose to orbit.  It's waaay past my bed time, so I'll bid you all good night.",1,1
"@ssco78 Not really. Certainly there are parts that bring back fresh memories, but most of their mission is unique to them.",0,1
"@edgar_tam @Astro_Jose is my friend and a great guy.  It's an honor to have him onboard.",1,0
"@FlohEinstein While I wish there was more interest, I'm grateful for how much interest there is. I accept things as they are.",1,0
"@amadeline Gracias!  @Astro_Jose is a wonderful guy, and he'll do great!",0,1
"@tedshevlin Can't speak for others, but I never though it counted until you made it to orbit.",0,1
"@cherluvya 2nd.",0,1
"@lbonser Depends on the individual.",0,0
"@OlivaJosh Almost 35 minutes.",0,0
"@Clarett Some do, some don't. I did for parts of a day my 1st flight, but not my next two flights.",0,0
"@recaffeinated Absolutely.  Sooner than later for some!",0,0
"@cherluvya 3.",0,1
"1st day is real tough. Bed time is 6 hours after launch. There's tons to do before that & 3 of them are trying to figure out how to move.",1,9
"@OlivaJosh @Astro_Tim is on ISS, but he's soon to be replaced by @Astro_Nicole.",0,0
"@sarie3825 You are correct.",0,0
"MECO=main engine cutoff. Welcome to orbit @Astro_Jose and crew. Weightlessness is quite interesting the 1st time.",0,3
"Godspeed to Discovery and my friends.  Have a fantastic, safe mission.",0,5
"In 3 minutes, the 3 unflown astronauts will get to say, 'WOW!!!!!'",0,3
