tweet,retweetsCount,favoritesCount
"Anderson... Reporting for duty, 'Rocket Roger Clemens!' http://t.co/CJPpYwBnIQ",1,4
"@I_We_Gaia Thanks so much!",0,1
"@HBSastrowardoyo Unknown to me.",0,0
"@roam2me Thanks Ron- I enjoy posting them.  I pledge to be honest...always!",0,0
"@B_Garelick Hoping!",0,1
"Just chatted w/Chita Johnson, Ray Childress, roger Clemens and Danny Darwin.  I LOVE retirement! #RocketCelebrityChallenge",1,5
"Tonight w/Susan and Roger 'The Rocket' Clemens at Katch22.  Tomorrow Celebrity Softball game at Minute Maid Park! http://t.co/U3rUv7cYrS",0,2
"Hmmm... guess I might know this guy they're talking about!? http://t.co/YgaaySJ3el",2,1
"@AstroDot Party pooper!  ;0)  Hope you guys are well.",0,1
"My answer to How do the ISS astronauts know where they are over the earth? http://t.co/z3132m87JQ",2,3
"Fond memories w/H Potter marathon today.  Watched 1st 4 HP movies while on ISS/running on treadmill!",1,13
"My answer to Which timezone do the astronauts follow during their stay on the International Space Station (ISS)? http://t.co/DrkuCXDSkz",7,7
"I have been doing some question answering via Quora, but that social media 'platform' apparently doesn't yet... http://t.co/ak1ELPKsQN",0,3
"My answer to How do astronauts get their hair cut while in the International Space Station? http://t.co/cW87llDc6s",0,7
"My answer to What is the most severe injury to have ever happened to astronauts at ISS? http://t.co/wWsTh9fiXn",5,9
"My answer to Do astronauts use their legs or feet during space walks? Why do spacesuits have shoes? http://t.co/QEKNr756UA",0,7
"My answer to Would NASA reject someone from their astronaut training program due to their spouse's occupation? http://t.co/QMO48eEGjG",3,4
"@AstronautOmnia Here's hoping!",0,0
"@AstronautOmnia Won't know that for a while.",0,0
"@Astro_Soichi Great shot Soichi-eeeeeeeeeeee!",0,0
"@KingSchaffner Walmart?",0,1
"@ShuttleAlmanac @OlegMKS Yep... He's good!  And he's my friend-wish I could have flown w/him.",1,0
"@lomboy29 My pleasure!  Love to share my knowledge/experiences.",0,1
"@lomboy29 Those are desert dunes. I believe.",0,0
"RT @milesobrien: 100 miles down. Feeling strong. @Lesscancer http://t.co/NasWBpqElE",14,0
"@lomboy29 He and his crew perished when the Space Shuttle Columbia disintegrated over East Texas in 2003.",0,0
"@AstroDot Moon is made of Cheeeeeeeeezzzzeee!  ;0)",2,2
"@NASAhistory Rick was a true leader; strong Christian and family man.  Honored to have served as him and his crew as family escort/Columbia.",0,3
"@EllasGGD67 @PC0101 @Quora @eugeniafessia You guys R2 kind!  I'll keep that in mind though; I miss POTD 2/hard to resurrect on my schedule!",0,2
"RT @milesobrien: Why I am riding 300 miles to Mackinac for @Lesscancer http://t.co/3IovgaVExz http://t.co/kHId1Zm5sQ",34,0
"@WhyWaitRQ Get in line buddy... get in line!",0,0
"@Space_Lectures Wow!  Her spacesuit looks really RUSSIAN!",2,3
"@WhyWaitRQ Yep; way 2 much 2 ask. Spaceflight however way more reliable 'on-time' performance; &amp; when we leave the gate, we LEAVE the gate!",0,0
"@Astro_Jeanette @NASA_NEEMO @Aki_Hoshide @Astro_Sabot @Thom_astro @HayhurstJack I just checked Aquarius for you couple wks back; shipshape!",1,4
"RT @Astro_Jeanette: @NASA_NEEMO patch. Excited about mission XVIII w/ CDR @Aki_Hoshide &amp; crew @Astro_Sabot @Thom_astro @HayhurstJack http:/…",30,0
"@MohamedofShaban Well... it would certainly look bigger!",0,1
"My answer to Can astronauts aboard the ISS see the moon from any of the windows, or while doing an EVA (Extra-Vehicu… http://t.co/Gfme1D0tZn",7,4
"RT @Mission_31: way cool #FlashbackFriday Superman @Astro_Clay meets Aquaman @FCousteau https://t.co/kH63PgS3uQ @reefbase #fiuAquarius #mis…",3,0
"@patronaut0709 Let THEM tell u no...don't take yourself out on your own!",0,0
"@Zach121k No worries-good group to be part of!  Loved the male/female ratio!",0,1
"@Zach121k @Astro_Ron @0014Priya @AstroDot No way my friend!",1,1
"RT @ed_salinas: Whoops, meant to credit @ClaytonCowles in my tweet about Wicked+Divine, though @Astro_Clay is pretty awesome in his own rig…",1,0
"@momado_50 Back at you!  Great weekend!",0,0
"@lomboy29 Can only see about 1/4 of earth from cupola.  But u can see the terminator/line of lightness and darkness.",0,1
"RT @NASAtaylor: Magazine cover party and hanging with the awesome astronaut @Astro_Clay just a typical Thursday night!",2,0
"@patronaut0709 John Glenn was 77... so you have time!  ;0)",0,1
"@GeoffreyMBCrowe Ah... but money makes the world (or spaceship) go round!",0,0
"@Zach121k @Astro_Ron @0014Priya @AstroKarenN @AstroSamantha @Astro_Suni @Astro_Jeanette @Astro_Kate7 Uh last time I looked I wasn't a woman!",0,0
"@spasmunkey @OrbitalSciences A wonderful co-worker, Janice and I shared an office for many years.  A wonderful person, taken too early.",0,5
"RT @ThruTheseGates: You don't have to be a #Nebraska native to fall in love with #Huskers. Read this short story of a man who discovered Hu…",1,0
"@andresdavid Or the 'line' was busy!  ;0)",0,1
"@patronaut0709 Aside from your affinity for KC Chiefs, I would say you are as qualified as the next!  Give it a shot.  Family's important!",0,0
