tweet,retweetsCount,favoritesCount
"Rocket launch at 12:53 ET today lunchtime. A cargo @OrbitalSciences spacecraft bound for ISS! Live on http://t.co/FA6z73Dk1z !",4,2
"Lancement de fusée à 12:52 ce midi. Un vaisseau cargo @OrbitalSciences pour la SSI! À voir sur http://t.co/Swnv1w9Nl3!",2,2
"@EVVRE_ERGS I used to fly gliders back in University. Would certainly love to try again!",5,6
"And here's the team of instructors from @asc_csa and Neptec working behind the scenes and acting as Mission Control! http://t.co/POpLdJf9CZ",5,5
"At the @csa_asc HQ, @ISU_SSP participants busy in a simulated Mars Rover mission! Everyone's focused! http://t.co/9ot1iiyQkH",16,16
"@MazieK @ISU_SSP Indeed everything starts with a dream!",3,3
"@ISU_SSP @csa_asc @etsmtl @ISUnet Thanks for inviting me to talk to the ISU community. Great questions from an enthusiastic audience!",4,3
"À Montréal cette semaine pour enseigner à l'université internationale de l'espace! http://t.co/YlynQYcyDs",15,13
"@bounosse Certainement une motivation spéciale!",0,1
"@spacetihon Правда, но это хорошая мотивация, чтобы бегать быстрее!",0,1
"@LigueCadetAirQc En effet!",0,0
"Panneau sur mon sentier de jogging à Houston... http://t.co/9WhVA9X1eh",5,13
"Happy Canada Day from Mission Control in Houston! Today we'll be practicing Emergency procedures with the ISS crew! http://t.co/feRls3jVN1",28,24
"@Cmdr_Hadfield Bravo pour la nomination au sein de l'Ordre du Canada! http://t.co/Cbcp1v5xuA",10,7
"@astro_reid et Steve Swanson perdent leur pari avec @Astro_Alex suite à la victoire de l'allemagne au soccer!  http://t.co/W1uCoJMN1t",3,3
"Le futur est proche: pratique en piscine du prototype de futur scaphandre d'exploraiton. Destination: un astéroide! http://t.co/ceD0yigfTG",9,3
"L'équipage de la SSI souligne la coupe du monde à sa façon, sans les limitations de la gravité!  http://t.co/8BwNelXb2M",6,6
"Heureux de venir parler aux élèves de mon ancienne école primaire, l'école des Saints-Anges de Saint-Lambert! http://t.co/pLWdmlqxNG",7,8
"Conférence à l'école secondaire Vanier de Québec - les élèves y viennent du monde entier! Formidable! http://t.co/M2yX7qQQtW",3,2
"Avec les élèves de l'école Ts8taïe à Wendake, QC! Merci pour votre accueil chaleureux! http://t.co/21Uh9AqVLX",4,1
"Étudiants de l'école John Young cherchent Iqaluit sur carte géante 'Canada vu de l'espace'. Ministre Moore à l'aide! http://t.co/lxOEhBUSrH",3,1
"La carte géante 'Le Canada vu de l'espace' au Musée de l'aviation et de l'espace à Ottawa. Isn't geography fun? http://t.co/k1f0OKOP7p",10,5
"@KSA_MissionCtrl @B612foundation @csa_asc Godspeed!",0,1
"@NicolasGagnon14 J'ai commencé l'entraînement à l'été 2009.",0,1
"De retour au centre de contrôle de Houston! Agréable de parler avec les nouveaux à bord, @astro_reid et @Astro_Alex! http://t.co/2VMjcr8PlA",0,3
"@Cmdr_Hadfield @CommanderMLA Merci - from sunny Houston",0,1
"@astro_reid et sa fille quelques heures avant le lancement, de part et d'autre de la fenêtre. http://t.co/BCBElLKwFg",7,14
"@dlobjoie Qui est-ce?",0,0
"Photo credit: Dmitry Lovetsky, AP http://t.co/R9IgOTahQD",33,32
"@dlobjoie @asc_csa c'était formidable!",0,1
"@MurrayGab J'étais médecin de famille avant. Mais il y a plusieurs chemins, scientifique, pilote, ingénieur...",0,1
"@dallascampbell That was the Soyuz ride of @astro_reid @Astro_Alex et @Msuraev !",0,0
"@CommanderMLA @Cmdr_Hadfield Bonjour Mike! Non, je ne connais pas l'auteur de la photo, malheureusement...",0,1
"@KSA_MissionCtrl @csa_asc @B612foundation Funny ;)",0,1
"Ravitaillement d'essence durant un vol d'entraînement en T-38. Il fait beau et chaud à Midland, TX! http://t.co/xLlh1TLpb0",2,7
