tweet,retweetsCount,favoritesCount
"RT @projmgr: .@Astro_Ferg Sure was! On this day 3 years ago we watched #STS135 launch from Rocket Garden http://t.co/AWCRi1pCMp",4,0
"@GabrielleNYC Cool!!!",0,0
"@PlanetDr Cool!!!",0,1
"RT @BoeingDefense: The challenges of tomorrow’s space voyages drive innovation, improving life as we know it. Let’s Go… Beyond Earth: http:…",33,0
"Three years ago today. Were you there? http://t.co/gZngtFzkrg",16,25
"The old Shuttle 'Engine Shop' looks great...converted to an assembly facility (for the CST-100). New life for KSC. http://t.co/UxOOaQjZ1p",38,31
"Thx for questions. Proud to be part of #Boeing CST-100 team...building it better. #spacechat",5,6
"Outlook for human spaceflight very bright. Excited to bring business back to US. Not just for astronauts...but for business. #spacechat",9,10
"Best space movies: 1. Apollo13 2. Gravity 3. Right Stuff. Cant wait for WB ' Interstellar' @warnerbrosent #spacechat",7,14
"Sleeping in space...no sore back. Its awesome!  Need sleeping bag to keep from from floating around. #spacechat",10,6
"...and Samsung mobile in space will be just plain cool! #spacechat",3,1
"Use of Samsung mobile onboard will be used for checklists, on-board camera viewing, and social comm. #spacechat",5,4
"Favorite part of space flight by far is looking at earth...no borders #spacechat",12,16
"Civilian orbital space travel can happen on a US spacecraft as early as 2018 #spacechat",15,7
"We should explore where ever we have found water. Mars and the Moon are great places to start. #spacechat",6,8
"Commercial transportation to ISS will cost less allowing NASA to focus on exploration beyond LEO",4,7
"Flying CST-100 just like shuttle. Same type of trans and rotational controllers. #spacechat",4,8
"Answers for Tweet Chat will be provided @Astro_Ferg #spacechat",0,1
"For tweet chat, ask questions @BoeingDefense #spacechat",0,1
"Join me for a live chat Tues 1p ET/11a MDT to talk future of commercial space. Submit your Q’s &amp; follow using #spacechat @BoeingDefense.",5,8
"Flying first class....to space. This is what it might look like. Boeing Builds it Better. http://t.co/X4xV6CfiP6",12,23
"Boeing 747 Shuttle Carrier makes final trip...over land...to Space Center Houston, to begin 2nd life...in education http://t.co/UPrutwllb7",27,29
"My awesome Omega watch keeps mission time and has been running since STS -135 launch. Well it stopped today......at 1000 days. Wow!",9,24
"Making IMAX Journey to Space. In theaters next year. http://t.co/gIdR9ualHG",55,57
"@emily_murphyghs In a heartbeat!",0,0
"@VarsityQbghs I would say.... it was just a matter of time. It's a big universe.",0,1
"@LukeWesleyPrice Yes Luke, it's fantastic. Proudly displayed in my Boeing office where we're designing the next crewed vehicle to go to ISS.",2,6
"@LukeWesleyPrice Thanks Luke. Hard to believe its been 2 1/2 yrs. Proud to display it. Boeing Co., 13100 Space Center Blvd, Houston 77059",0,2
"@Astro_Jose Jose, I have a friend looking for a speaker in Paraguay on Mar 20. Interested?reply to Chris.j.ferguson1@gmail.com",0,1
"@CoolAstronomer Hi Derrick. Tomorrow at about 5pm ok? Reply at: chris.j.ferguson1@gmail.com",0,1
"Making 'Journey to Space'. Coming next year to an IMAX theater near you. http://t.co/0rlbqM8x3r",17,19
"RT @Commercial_Crew: Former astro @BoeingDefense’s Chris Ferguson flies on-orbit, docking and entry scenarios in the CST-100 simulator. htt…",47,0
"@LittleNightHawk Of course!",0,0
"@brettmandel @NASA_Wallops Excellent investment!",0,0
"@Francis_LYF good choice, Francis. Good luck!",0,0
"My former ship, USS Forrestal waits to become scrap. Pic taken on Philly trip. Cool...but sad. USS Kennedy on right http://t.co/rByP7a56hA",24,26
"Nice job by Rick and Hopper so far on ISS EVA24 to replace large (800+ lb) pump module. Wish we could bring this broken one home too.",7,10
