tweet,retweetsCount,favoritesCount
"Завтрак съешь сам,обед разделить с другом,ужин отдай врагу 朝食は自分で全て食べ、昼食は友達と分け、夕食は敵に与えなさい。ロシアで聞いた言葉です。面白いですよね。色々な意味で深いなぁ、と思います。健康にも良さそうですし！",32,56
"JAXA新人飛行士3人組で食事会をしました！(実は、新人と言う呼び方は既にしない事になっているのですが…) この3人がヒューストンに一緒に居るのは、最近本当に珍しい事になってきました。久しぶりに会うと、様々な苦労話やそれぞれの持つ情報を共有出来て本当に有意義です！",36,74
"今回の米国での訓練も、あと1週間。来週末は、ロシアへ移動します。最初にロシアへ行った時は、不安で胸が一杯でしたが、最近は楽しみで心待ちにするようになりました！今回のロシアでの訓練の後は、日本での訓練が待っていますので、その意味でも、とても楽しみです！日本の8月は暑いでしょうね。",24,50
"自分で採血するのも大分慣れてきました。自分としては、その様な仕事は向いていないと思っていたのですが、興味を持って訓練に臨むと、とても楽しいです！好奇心や向上心って、とても大切だと思います。私は、子供の頃から好奇心が旺盛で、新しい事を学ぶのが大好きでした。今も学びたい事が沢山！",16,51
"非常事態への対処訓練や船外活動関連の訓練が続いており、忙しくも充実した日々を過ごしています。そんな中、昼食の時間にNASAの宇宙食の試食がありました。52品目を試食すると、流石に満腹です！私は野菜が苦手…しかし、今日食べた、ベジタリアン・ベジタブル・スープは美味でした‼",12,25
"オクラホマで大量の穀物の中に落とした携帯電話が、海を渡って北海道で発見され、8ヶ月後に持ち主へ戻ったというニュースを新聞で読みました。壊れなかった携帯と持ち主に返還するまでに関わった多くの方々の善意のお陰で、思い出が沢山詰まった携帯が持ち主へ！誠実さは奇跡を起こす力があるのかも？",45,52
"この記事のリード飛行士 @astro_reid は私達のクラスメートで、日本の文化にも詳しい素晴らしい人物です！私も米国から皆様方の無事をお祈りしています。そして、災害を防ぐ為に働いている方々に感謝と尊敬の気持ちを表したいと思います。 http://t.co/Yd2ppzj6Gd",32,38
"フォロアーの方々も増えてきたので、以前の日記の再紹介です。ISSでの救急救命については、金井さんが第9話の日記で紹介しています。自画自賛になってしまいますが、新人宇宙飛行士最前線を読む事で、リアルな宇宙兄弟の世界を知る事が出来ますよ！ http://t.co/kR9KluilfE",36,76
"今日は非常事態対処の訓練が多かったです。朝:電気系統の不具合。昼:宇宙船をロボットアームで把持する際の不具合。夕方:クルーが心肺停止状態などになってしまった場合の救急訓練。それぞれ、2〜3時間にわたり、クルーで協力しながら対処しました。毎日少しづつ能力が向上しているのを感じます！",10,35
"今日は、家族で買い物に行ったのですが、子供達の成長に、少し驚きました。息子達の成長は、買う服がとても大きくなった事で感じました。娘から「これってあったら便利かも」と言われ、ついついバッグを買ってしまい…後で“もしかして上手く操られた⁉”と思いました。女性って恐い(笑)！",12,44
"訳が不適切だと思わぬ誤解を招く事があります。例えば“思いやり予算”という言葉。米国に留学中に“思いやり”=“Sympathy”と訳した記事を読んだ方の誤解を解くのに苦労しました…ここは'Host Nation Support'と訳すべき。折角の“思いやり”も誤解を招いては逆効果…",43,61
