tweet,retweetsCount,favoritesCount
"Could certain fatty acids reduce the risk of Lou Gehrig's disease?　 http://t.co/wi6PPePVEs",4,2
"オメガ3脂肪酸をたくさん摂ると、難病の筋萎縮性側索硬化症になりにくいかもしれない、という研究です。オメガ3脂肪酸は、イワシ、ニシン、サケ、サバなどの魚や大豆、くるみなどに豊富に含まれます。http://t.co/wi6PPePVEs",61,51
"RT @JAXA_jp: [参加登録受付開始] 国際宇宙探査シンポジウム2014 平成26年7月31日（木）10:30-17:00（幕張メッセ）  ぜひ参加ご登録ください。 詳細はこちら：http://t.co/eS3v4fT0vo",47,0
"RT @JAXA_jp: [イベント][月・惑星探査プログラムグループ] 「国際宇宙探査シンポジウム2014」の参加登録を開始しました！ http://t.co/hKxpgcS4Tt",33,0
"ニーモ18訓練中の星出飛行士ら“@Astro_Sabot: Equipment Issue at NEEMO18 this morning. C/O Dive Complete. Dive Helmet Trng tomorrow! http://t.co/Wt5cLawXlf”",36,36
"ニーモ18のクルー、左端の星出飛行士がコマンダー(船長)“@Aki_Hoshide: The NEEMO18 crew! :) http://t.co/leV4e9vuUe”",39,36
"RT @NASA: Missed the #Orb2 launch or want to see it again? Watch it on YouTube: http://t.co/aKpV4PwnSX http://t.co/0yhldoR4Cy",883,0
"Congratulations, Germany! おめでとう、ドイツ！“@astro_reid: We have a VERY happy @astro_alex up here!”",28,31
"日曜夜にワールドカップサッカー決勝戦を国際宇宙ステーションから応援するクルー“@Astro_Alex: Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER http://t.co/fUoeobBJHo”",338,158
"Halting the progression of Parkinson's disease with cinnamon http://t.co/Hc8QR03J7v",5,5
"パーキンソン病にシナモンが有効かも。パーキンソン病を模擬したマウスにシナモンを食べさせると、パーキンソン病の脳で減る重要なタンパク質が保たれ、神経細胞が保護され、運動機能も保たれた、という研究です。http://t.co/Hc8QR03J7v",120,111
