tweet,retweetsCount,favoritesCount
"【きょうの人】宇宙飛行士でボーイスカウト広報大使、野口聡一さん http://t.co/XDNXqR4UW8",32,21
"9 yrs ago TODAY, 1st ever repair EVA of #Space #Shuttle. ９年前、歴史的な宇宙でのシャトル修理。シャトル計画はこの後６年継続、きぼうを無事宇宙に運びました。 http://t.co/2hgYkSnLzg",53,45
"RT @NASA: Over the weekend, we've been testing recovering @NASA_Orion from the ocean w/ the @USNavy http://t.co/QhjECRMEXw http://t.co/xPMG…",669,0
"If I were on #ISS tonite &amp; looked down #Japan, I could have seen this view. 　今夜のISS,月の近くをきれいに通過してましたね。 http://t.co/SH3xhcP3lL",248,198
"Watch #ISS flyby Tokyo 2nite 1930. 千葉県太平洋沖をISSが今晩通過。関東一円から見れるはず。1930-1935ごろ南の空を見上げよう♪",317,139
"RT @NASA: Register now for a #NASASocial to cover the building of our new heavy-lift rocket Sept 12:  http://t.co/a8NiNQNbLL http://t.co/dh…",487,0
"RT @pjoohay: 21:00～21:54 フジテレビ「ワンダフルライフ」http://t.co/fpFddLl2s1 宇宙飛行士・野口聡一@Astro_Soichi。今回は鈴木福くんと谷花音ちゃんも特別参加！宇宙から見た絶景の地球に感動。宇宙の疑問も教える。野口聡一が語…",51,0
"9 yrs ago TODAY, the 1st ever space gyro repair was done on #ISS ９年前の今日、史上初めてCMG交換船外活動実施した時のショット。 http://t.co/yGe3RLCZnC",130,123
"Tonight is #Qixi Festival, Chinese #Valentine's Day. 今宵は伝統的七夕、旧暦の七夕です。 http://t.co/3j8QoZGa8H",279,213
"THE FIRST SPACE HANGOUT in the history: 130K googlers watched this clip.  http://t.co/Zjtk8Bup8Y",28,40
"RT @NASA: New research shows giant asteroids battered Earth more than four billion years ago: http://t.co/LasGVW1dre    http://t.co/BTxc3Ab…",1044,0
"RT @NASA: Gamma rays, the most energetic form of light, are common in stellar outbursts: http://t.co/IaKzmvKGIg   @NASAFermi http://t.co/KB…",1571,0
"RT @NASA: Space Station Update: #Exp40 crew studies flames in space while #ATV5 coasts to #ISS: http://t.co/xyie6WvM80   http://t.co/V69SuJ…",483,0
"８／３夜９時のワンダフルライフに出演します！   http://t.co/R768qXIMJV",93,75
"RT @NASA: Two new ways to see Earth's forests headed to the ISS. http://t.co/i94X5TK6Ej #EarthRightNow @ISS_Research  http://t.co/6CCSB8mkIS",573,0
"RT @NASA: Want to cover the building of our new heavy-lift rocket Sept 12? Register for a #NASASocial:  http://t.co/yQ7740sUcM http://t.co/…",355,0
"ボーイスカウト世界ジャンボリーまで1年！ http://t.co/PHySZ9MiuG #23WSJ",63,34
"#ボーイスカウト の祭典、第23回世界スカウトジャンボリー開催まであと１年！　本日記者発表会に参加します！　http://t.co/Zz4qu10XaB @ScoutingJapan　http://t.co/XmgDtdgjIl",60,31
"RT @ScoutingJapan: 「第23回世界スカウトジャンボリー開催１年前記者発表会」... http://t.co/X5ArLBR3u1",22,0
"RT @wbs_tvtokyo: 【急募】日本人初の国際宇宙ステーション船長として活躍した宇宙飛行士、若田光一さんが今夜のＷＢＳに生出演！リーダー論や宇宙開発等について聞く予定ですが、皆さんからの質問も募集します。質問専用ハッシュタグ #wbs_sns を付け、「若田さん」と明…",220,0
"宇宙の醍醐味は新しい発見だ。by　若田さん",103,121
"若田さん、今晩は21時から #NHK ニュースウォッチ９、23時から @WBS_tvtokyo 生出演。http://t.co/ZlEFwk4Uys",152,105
"若田さん記者会見なう　次の目標は？ http://t.co/VO7yziannT",38,35
"若田さん、プレスセンターで記者会見中、生で見られます　@Astro_Wakata Live at Tokyo Press Center http://t.co/ZlEFwk4Uys",44,29
"@Astro_Wakata Live at Tokyo Press Center http://t.co/ZlEFwk4Uys",17,10
"国際宇宙探査シンポジウム２０１４を7/31(木）に幕張メッセ国際会議場で開催します。宇宙博会場の隣です。入場無料です。インターネット中継も実施。http://t.co/8Myx8lXK55",44,39
"@Astro_Wakata is LIVE on Utube. 若田さんがやってきた！ヤア、ヤア、ヤア。記者会見生中継中　http://t.co/ZlEFwk4Uys　#JAXA #ISS",37,22
"RT @NASA: Enjoy this gallery of incredible #Aurora images taken from the perspective of the #ISS: http://t.co/Y3XqfMrV3x http://t.co/hTvcqD…",2148,0
"Happy 9th Anniversary to #STS-114! July 26, 2005:What a great crew and a great mission!   http://t.co/VssFucZQVG",44,45
"RT @Astro_Wakata: 国際宇宙探査シンポジウム２０１４が７/３１(木）  に幕張メッセ国際会議場で開催されます。宇宙博会場の隣ですのでぜひご参加下さい。入場無料です。私もパネラー参加します。インターネット中継も実施予定です。HP及び申し込みはこちら。  http:…",279,0
"ひさびさに「宇宙ニュース」　欄に登場w　幕張の #宇宙博 で会いましょう！7/24　1400開始　http://t.co/inrE28S9dJ　",57,60
"RT @NASA: .@TimesSquareNYC Tonight: Watch historical #Apollo11 video at 4:18p &amp; 10:56p ET on @ToshibaVision screen  #Apollo45 http://t.co/x…",466,0
"RT @NASA: 45 years ago now: 'Houston, Tranquility Base here. The Eagle has landed.' - Neil Armstrong  #Apollo45 #Apollo11 http://t.co/egwhI…",4561,0
"アポロ11号打ち上げから今日で45年だそうです。",674,373
"RT @NASA: 45 years ago now: #Apollo11 launches to the moon w/ Neil Armstrong, @TheRealBuzz &amp; Michael Collins onboard. #Apollo45 http://t.co…",3329,0
"RT @NASA: We're marking the #Apollo11 45th anniversary! Our administrator on our #NextGiantLeap: http://t.co/3pJDbNNkbv http://t.co/vKq2wM0…",832,0
"RT @Astro_Alex: Just like our @DFB_Team_EN I have fantastic support from my crew. Congrats from #ISS to the #WorldChamp. Great game! http:/…",1834,0
"RT @Astro_Alex: Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/HP2JwNrgTw",3189,0
"R U rdy 2 rumble,  #Köln ? #GER vs #ARG in #FifaWorldCup いよいよW杯決勝。 #ケルン は燃えているか？ http://t.co/qhGMtknygc",62,41
"R U rdy 2 rumble,  #BuenosAires ? #ARG vs #GER in #FifaWorldCup いよいよW杯決勝。 #ブエノスアイレス は燃えているか？ http://t.co/ZBjcVrnVl8",74,46
"Super #Moon is coming to your planet. scene from #ISS http://t.co/tWqdV2UoHV",576,505
"RT @NASA_Johnson: #Exp40 crew member @Astro_Alex photographs Typhoon #Neoguri from #ISS... https://t.co/nkXyJG9OCd http://t.co/6hkpr8Cv0t",980,0
"RT @NASA: Huge storm churning through Saturn's northern hemisphere is seen by @CassiniSaturn http://t.co/R111a8YGdm #Cassini10 http://t.co/…",2674,0
"RT @NASA: Saturn's rings were seen in ultraviolet by @CassiniSaturn in 2004 http://t.co/UkG6qM387x #Cassini10 http://t.co/ldRkxDzd4l",2189,0
