tweet,retweetsCount,favoritesCount
"Thank you @DaveAtCOGS!  This is a very nice map with the photos of Japan I enjoyed taking onboard the ISS. http://t.co/oyzz8rKOaa",118,192
"国内でのミッション報告会の開催地を公募中です。  http://t.co/c0jNpa9L6Z 多くの皆さんに宇宙飛行の報告ができることを楽しみにしています。",246,151
"Enjoyed participating in a variety of human research projects post-landing such as this 'Manual Control' experiment. http://t.co/Vzk6xviNM8",156,242
"Great to be back in the Earth gravity. Rehabilitation at NASA JSC is going well.  Technical debriefings in Houston continues.",154,235
"今日ISSを発ち、地球に帰還します。暗黒の宇宙に浮かぶこの青く美しい惑星が故郷であることを有難く感じます。半年間の滞在中応援有難うございました。 http://t.co/UxcQba4PSi",13131,12434
"Returning to our home planet soon.  I will definitely miss this awesome view. http://t.co/2Hb14Vf796",4504,5494
"早朝ですが、帰還直前の日本時間5/14(水)4時21分から約5分間、西日本の皆さん は南から東の方向に飛行するISSをご覧頂けます。各地の時間帯はこちらで。 http://t.co/yoahnqqHPb",529,431
"ISS船長の役目を本日終え、NASAのスワンソン飛行士に引き継ぎました。世界各国の地上管制局の皆さんとクルーのチームワークが、ISSでの実験やシステム運用における素晴らしい成果に繋がったと感じています。",1441,1034
"See SPHERES（Synchronized Position Hold, Engage, Reorient, Experimental Satellites) experiment we conducted in Kibo. http://t.co/1iD7g7XsOl",78,114
"「きぼう」の中で行った小型模擬人工衛星（SPHERES）を編隊飛行させる実験の映像です。http://t.co/YfbKnBj5yS",162,203
"Nice view of Venice, Italy. http://t.co/KWL9XdDHmO",777,988
"von Kármán vortex sheet over Cape Verde Islands.  The Atlantic Ocean is a huge fluid dynamics lab. http://t.co/G6AhxKGaIn",464,545
"Canadarm2 and Dextre robotics with remote control from the ground playing a key role in installing external payloads. http://t.co/hxdN2d7kXH",232,323
"今朝の富士山です。 http://t.co/VfExzhhaHG",2948,3365
"CsPINs実験の「キュウリの根が水分の多い方向に曲がる」という現象ですが、 実はこの現象、重力が存在する地球では観察することができません。 そんな現象を宇宙で観察できたので、とてもわくわくしました。 http://t.co/lwGSLCbdad",647,674
"つくばの運用管制チームがロボットアームを遠隔操作し、「きぼう」の船外実験装置（SMILES）の移設を行いました。SMILESは地球の大気を宇宙から観測し、観測データはオゾン層保護など地球の大気環境の改善に役立てられます。 http://t.co/I4GuhUyLbm",345,418
"「きぼう」でキュウリの芽生えの成長に対する重力と水分の影響を調べる実験CsPINsを行っています。この成果は将来の宇宙における植物栽培 だけでなく、水分の少ない環境における効率的な植物栽培への貢献などが期待されます。",296,298
"Completed leak check of 'Sokol' spacesuits in our Soyuz in preparation for return next week. http://t.co/R5qtFtyYHK",285,418
"Nice pass over New York City. http://t.co/cGjlgWHmDq",1885,2275
"We see bright aurora in the last few days flying over the south of Africa. http://t.co/3rjXeHtQjw",2896,3350
"富士山。いつ見ても、どこから見ても本当に美しい山ですね。 http://t.co/dRVMSexkuF",1159,1323
"Clear skies over Seoul, Korea. http://t.co/YsFXG9L9vU",243,321
"今日はこどもの日。5年前に鯉のぼりを宇宙で作ったのを思い出します。自由時間や食事の際にお互いの文化について話をするのはとても楽しい時間です。楽しいゴールデンウィークをお過ごし下さい。 リンクはYahoo! Japanの宇宙ブログです。http://t.co/YgxPYg9OWj",241,251
"Great to work on “Cell Mechanosensing-1” experiment in Kibo to help develop countermeasures to muscle atrophy. http://t.co/f95omxiaEL",173,286
"昨日の大阪付近の写真です。 http://t.co/sS2Es5mOt0",963,986
"福岡市上空で撮影した写真です。博多どんたくの熱気が伝わってきそうです。 http://t.co/JvS17onmmK",1183,1216
