tweet,retweetsCount,favoritesCount
"8 years ago, Thomas Reiter launched with his Astrolab mission on the first European long-duration flight to the ISS. http://t.co/bY4CgQkPRW",0,1
"21 years ago, Jean-Pierre Haigneré launched on board Soyuz TM-17 to Mir orbital complex on his 21-day Altair mission. http://t.co/ouWkKDSqe7",0,0
"Today, 36 years ago, Miroslav Hermaszevski flew onboard Soyuz 30 to Salyut 6, becoming the 1st Polish in space. http://t.co/Ien8Sk9Olk",1,1
"32 years ago, Jean-Loup Chrétien became the first French in space - flying with Soyuz T-6 to Salyut 7 space station. http://t.co/jkAROnwJkl",3,1
"Today, 29 years ago second French astronaut Patrick Baudry flew on mission STS-51G, deploying Spartan-1 free-flyer. http://t.co/DSPv3UUEDR",1,1
"Congratulations Valentina! Your milestone mission 51 years ago paved the way for all the women who have been flying into space after you!",2,3
"Today, 12 years ago ESA astronaut Philippe Perrin flew on mission STS-111 Space Shuttle Endeavour to the ISS (UF-2). http://t.co/SdcY6kddze",5,5
"@_SamJacob @Astro_Alex thank you Sam, it is a about takink a peice of our identity to space!",0,0
"Today, 5 years ago, Frank DeWinne, took-off for his 6 month OasISS mission becoming the first European ISS Commander. http://t.co/xyQTDGHGDV",0,2
"Today, 3 years ago, Roberto Vittori launched on STS-134 to the ISS. His DAMA mission installed AMS-02 to the Station. http://t.co/SVy05Te8An",0,1
"Today, 17 years ago, Jean-François Clervoy launched on STS-84 - NASA's 6th Shuttle mission to MIR orbital complex. http://t.co/CZorCeGq7u",2,0
"Today, 33 years ago, 1st Romanian cosmonaut Dumitru Dorin Prunariu launched to the Russian Salyut 6 space station. http://t.co/wmXWUAPUc8",2,0
"Today, 12 years ago, ESA astronaut Roberto Vittori returned from his 10-day mission Marco Polo. http://t.co/af7dEZx95F",0,0
"21 years ago, Hans Schlegel &amp; Ulrich Walter launched on STS-55 Spacelab D2 mission conducting 88 intern. experiments. http://t.co/4SwomdnQ5J",6,9
"RT @DLR_de: Vorsommer auf dem DLR-Gelände in #Köln (+Europäisches Astronautenzentrum  @ESA_EAC) #MeteoFriday @EU_Commission (FW) http://t.c…",6,0
"Today, 9 years ago, ESA astronaut Roberto Vittori returned from the ISS ending his 10-day Eneide mission. http://t.co/b2abhqFfl9",3,2
"Today, 10 years ago, André Kuipers launched for his DELTA mission to the ISS becoming the second Dutch man in space. http://t.co/dFZRT1mq6e",1,1
"Today, 13 years ago, Umberto Guidoni launched with STS-100 to the ISS, making him the first European on the Station. http://t.co/uGFU38nNVM",4,2
"Congratulations @Astro_Alex on finishing your mission training. We look forward to your #BlueDot launch in 47 days! http://t.co/Duv4O4KJJK",11,9
"RT @social4space: Our blog update w/ links to all the channels you can use to follow today's #LucaTweetUp http://t.co/Q12Z7IMwYv http://t.c…",31,0
"RT @Astro_Alex: Actually, this was my favorite slide! @ESA_EAC @ISS_Research http://t.co/FNL9cqT6UW",16,0
"@Litsas Of course, we are both right! Luca launched 28 May at 20:31 GMT and Kazahkstan is 5 hours ahead which would make it 29 May :)",1,0
"@minlarrycornel Hi! @Astro_Alex tweets in both English and his native German so everyone gets a chance to be part of his #BlueDot adventure.",0,1
"For our German speakers, @p_remke has created a Storify timeline of @astro_luca's #Volare mission launch in May 2013: http://t.co/mUizEx1Wab",4,2
