tweet,retweetsCount,favoritesCount
"@EllasGGD67 It's kind of a slow loop lately, but still a loop! ;)",0,0
"Planning meetings continue today! Talking forward work as Bravo hibernates for a short time. Back in action soon! http://t.co/fGl8DNa5R5",3,11
"TRUE! MT @flatoday_jdean: @MorpheusLander declared flt campaign a success. Vehicle stays @ KSC thru summer to fly again pending FY15 funding",6,5
"RT @EllasGGD67: @MorpheusLander No hats ;) This really happened: My husband: 'How could you have reversed into that tree stump?!' Me: 'I do…",2,0
"@shadow404 @Dusty_2014 Wow!! That's awesome! Your dad must be really cool! ;)",0,1
"@EllasGGD67 So do we! That's definitely impressive, unless they just think you are talking about all the people wearing hats. ;)",0,1
".@Dusty_2014 So does the entire #Morpheus team! We have a big data review on Thursday to help see what's next! We'll keep ya posted!",2,5
"@bat211 @jasoncrusan Very excited! It's like a #Morpheus #Doppleganger Uncanny! ;)",0,0
"RT @ISPCS: ISPCS discussions underway with @jasoncrusan: he is still fired up about successful @MorpheusLander free flights. http://t.co/6t…",1,0
".@TheGrizzleGrams All is well! Team is eyeball-deep in data reviews to see what's next for Morpheus! Stay tuned! And thanks for missing us.",3,6
"RT @jmcarson3: #ALHAT in the news: http://t.co/Mqhfw0X8eq",4,0
"RT @NASAKennedy: Thx to everyone that RT their favorite @MorpheusLander pic for our #KSCcoverPic. Here it is: http://t.co/xW7cIFizmM http:/…",76,0
"@katjapurrs @hackaday @TinaMeany @astro_reid @RulesFerengi THANKS!! Very honored to be on this list! Word!",0,1
"@TheGrizzleGrams Also, I will try to find more of the varieties of groups who came &amp; post. It's that server... It's a big place! ;)",0,0
"@TheGrizzleGrams no need to apologize!! I want you to see the pics. Wish you could see all of them - there are a lot with 'people' in them!",0,0
"@TheGrizzleGrams It was in the tweet that I replied to (originally a Morpheus tweet) Probably needed to scroll up. http://t.co/MYOMc1vNGE",0,1
"@TheGrizzleGrams Can you see the image? We had diff team-mix at most flts. This was one group. More pics exist, but have to find on server.",0,0
"@MorpheusLander @TheGrizzleGrams It WAS delivered! A while back. This is one of several.",0,1
"@bat211 @NASAKennedy HEHE! Of course you do!! Wouldn't expect anything less from you.",0,0
"RT @NASAKennedy: Image 3: @MorpheusLander during one of its free flights. RT if you want this to be our next #KSCcoverPic http://t.co/xA5Zw…",89,0
"RT @NASAKennedy: Image 2: Techs prep @MorpheusLander prior to free flight. RT if you want this to be our next #KSCcoverPic http://t.co/gl0b…",43,0
"RT @NASAKennedy: Image 1: @MorpheusLander during its first nighttime flight. RT if you want this to be our next #KSCcoverPic http://t.co/R6…",115,0
"RT @NASAKennedy: The @MorpheusLander image with the most RT from now until Friday 6/6, will become our new #KSCcoverPic image. Ready, set, …",14,0
"RT @NASAKennedy: As the @MorpheusLander team preps to go back to @NASA_Johnson, help us pick your favorite #Morpheus image for our next #KS…",9,0
"@TheGrizzleGrams Maybe that was her 'night time' Test Conductor voice!",0,1
"@TheGrizzleGrams Jenny was in the Control Room running the show!! Right where we need our Test Conductor!",0,0
"RT @NASAKennedy: One more time, this time in full motion - Replay of @MorpheusLander's nighttime flight test with #ALHAT: [video] http://t.…",27,0
"CHECK US OUT! http://t.co/gw2o47bQHo http://t.co/JbXkC7JyPg",22,22
"@tgcasson Thank you Tyler! And we are very excited that you are our 10,000th follower!",1,1
"@ajoeng1969 @SpaceGirlWendy Sweet! We are 9 away!! Pins &amp; needles.",0,1
"@treker32mlp Learn about us here: http://t.co/GUcbVE8dIj Really, way different!",0,0
"@treker32mlp @NASA @NASAKennedy Actually we didn't! New fuels, &amp; this guy is AUTONOMOUS - we don't need a human-in-the-loop to land!",0,0
"RT @NASA: Flames in the sky! Replay of @MorpheusLander's nighttime flight test @NASAKennedy: [video] http://t.co/dkjyUa7Gp9  http://t.co/5w…",560,0
"@KevinBaird @n8foo @NASA it was just hours! We flew last night!!",0,1
"In the FREEFLIGHT ornament tradition... @jmcarson3 from #ALHAT designed this beauty in honor of Night Flight... http://t.co/s9NgjsYKBH",7,9
"@TheGrizzleGrams @NASA Ha! Please don't! We LOVE the informed, hard questions! Answering them in 120 characters or less is a challenge!",0,1
"RT @jmcarson3: Tons of great #ALHAT data from the #NIGHTFLIGHT.  Our team is anxious to pour through it to learn next steps.",3,0
"@TheGrizzleGrams @NASA We'd just have to tell the software the we were going to the moon. Basic moon info.",0,0
"@TheGrizzleGrams @NASA It scans before we actually get to the dusty part. It's dead reckoning with the IMU.",0,0
"OFFICIAL NIGHTFLIGHT VIDEO! Get it here, get it NOW!!! http://t.co/wSjwRhBuFM @NASA  #IncreasingTheAwesome again and again! Watch &amp; share!",30,16
"@mikamckinnon posting NOW! ;)",0,0
"@bcbob61 Hi Bob, the test was last night, and was a success. We will have a post-test video recap today. Website: http://t.co/Mym4c37fmV",0,0
"@mikamckinnon Just posted a 'poster' pic. They guys are compiling video as fast as possible.",0,2
"Videographers are still working on the video, but in the meantime, enjoy this picture... http://t.co/UEVUTYL5Rn",45,44
"RT @DesignedbyWill: @MorpheusLander Great #NightFlight, Nice to finally see something other than smoke! From the Max Brewer: http://t.co/vU…",7,0
"@Jeff_D_Taylor @NASA @NASAKennedy Workin' on it!",1,1
"@John_Gardi Very nicely, thanks! Glad you join us - we love informed followers.",0,0
"RT @NASA: .@MorpheusLander completed first nighttime free-flight test @NASAKennedy. Learn more: http://t.co/JL4uMcj26h http://t.co/XktqhiVb…",266,0
"@John_Gardi that is a prepared site, but it's transparent to ALHAT. It did identify a safe site, but just barely outside conservative limits",0,1
"@TGrtStnsGst Videographers are still in field with vehicle. They need to get back, go through footage, compile, render… hours?",0,1
"@Zach121k That would be called 'morphybliss'",0,1
"Looks a little 'lunar-like' doesn't it?! Safe on the ground. #NightFlight #ALHAT #FF14 @NASAKennedy http://t.co/bwlzjLJjha",29,37
"@Zach121k OF COURSE!",0,0
"@TheGrizzleGrams Video very soon!",1,1
"@ajoeng1969 Ally too??!!",0,1
"@RayPennRaw @TruShane69 Sah-weet!! We'll have awesome video to show you too! We are waving hello now!",1,2
"@TinaMeany @KristenFitzpat1 @Bubbinski @LMJB I know, right?! ;)",2,3
"@MickGinger0 @NASA @NASAKennedy Morpheus is meant to land on other planetary surfaces!",0,1
"@TinaMeany @KristenFitzpat1 @Bubbinski @LMJB We'd love that. Tried, but never timed out right with other events. (We would've had to tag on)",0,2
