tweet,retweetsCount,favoritesCount
"We're all set up downtown! Come say hi! http://t.co/vnAK7q48wg",0,0
"Huntsvillians: the Mighty Eagle will be downtown tomorrow as part of NASA on the Square day.  See the vehicle in person and ask questions!",3,0
"With this (curved) picture, the organization and storage of Mighty Eagle hardware is complete! Now we wait... http://t.co/VTva8wbDE4",1,2
"http://t.co/HclrvdoZfl ^Want some light reading over the holidays?  Try this recently published technical paper on our beloved lander.",0,1
"Final step of winterization is to clean up and organize the trailer.  Now it's time for a little hibernation! http://t.co/fMWEraM0PX",1,1
"2nd step of winterization is the collection and redistribution of all our #GoPro cameras. I think we ended up with 9? http://t.co/Mgz4HW1LQ8",1,0
"Time to winterize! First step is covering the terrain field with our giant baseball infield tarp. http://t.co/Gd0TjWbfkH",0,0
"In case you missed the video last week: https://t.co/DuJowkSkaI It's a good Monday wakeup video.  Once again, great job @Moon_Ex !",0,0
"A little late in the day but here's video from today's flight.  The steam clears around 36 seconds.  Enjoy! https://t.co/DuJowkSkaI",2,1
"3m altitude achieved! http://t.co/YUEaivtAhX",2,3
"A smooth, beautiful untethered flight with @Moon_Ex in control! Great job!",6,0
"Heading into preflight...",0,0
"Prop filled, crew evacuating...",0,0
"Leaks fixed, nitrogen loaded, heading into propellant fill...",0,0
"We're having more regulator issues so we're having to push back the flight by about 30 min...",1,0
"@NASAWatch @Moon_Ex the quadcopter should have video out today.",0,0
"@NASAWatch @Moon_Ex We don't livestream mainly because of cost and manpower issues. We are a shoestring project!",0,0
"Pre Flight check outs... http://t.co/O8gqNvvOpL",5,4
"We are getting ready for flight...",0,2
"Swaddling the peroxide to keep it as warm as possible! http://t.co/BIf5NKUeVg",0,0
"Today's flight has a ascent to 3m at .5m/s, followed by a 12 sec hover and finishes with a desent at -1m/s.  Not bad for a 2nd flight!",1,0
"It's our coldest flight yet!  Today is @Moon_Ex 's second flight in control of Mighty Eagle, this time untethered to an altitude of 3 m!",4,1
"With MEG02 simulations complete, we're proceeding towards our Readiness Review tomorrow...",0,0
"MEG01 data review at noon today!",0,0
"@MorpheusLander I hope 'FRAGILE' will be written all over that!",0,0
"Another one from yesterday, this time with @Moon_Ex controlling Mighty Eagle in the air! http://t.co/QwkSLuP82x",2,4
"Burp sequence from earlier, always pretty. http://t.co/aQBmMTxfYl",2,2
"Flight complete! Congrats to @Moon_Ex on their first flight!",10,2
"Here we go for our flight with @Moon_Ex in control!",1,1
"42.06 kg loaded, red crew evacuating, loading GNC parameters...",1,0
"Pressure fill complete, loading 42kg of fuel...",1,0
"Back in the action and finishing up high pressure fill...",1,0
"Thruster checkout complete, having to reset the regulator after starting into high pressure fill...",2,0
"Abort checkouts complete, heading into thruster checkout procedure. Destin recording the fun. @smartereveryday http://t.co/yf0MY0EA0G",1,0
"Getting ready to pull the trailer to the pad... http://t.co/TYvyag39o3",2,2
"@andresdavid If you're able to contact a coworker with test area access they should be able to escort you to the viewing area.",0,0
"We were able to work with and integrate the Nanolaunch payload in just ~2 weeks. Can't get much better than testing on a flying testbed!",0,0
"The Nanolaunch payload has several low-cost IMUs and GPS sensors that will be characterized in flight for sensor and algorithm testing.",0,0
"In more interesting news, we'll have a secondary payload from the Nanolaunch team on this flight (grey box in pic). http://t.co/qgyTLskvVk",0,0
"We're starting a bit later than normal due to the colder temperatures.  Planning to be on console at 10:30 for a ~1:30 flight!",0,1
"We'll also have Destin from @smartereveryday at the flight, shooting video for his (very popular) educational YouTube series!",0,1
"After lots of software testing, tomorrow we'll be flying a tethered test with @Moon_Ex in closed loop control of the Mighty Eagle! Exciting!",1,1
"Great job @MorpheusLander on the GTAL test yesterday!  Now things can get really exciting at KSC!",2,2
"Eight #GoPro simultaneous collage video from HAZ03 is up! @TeamAeroM 's video is the bottom middle video. Check it.  http://t.co/cyptMuu72T",0,0
"Another shot of @TeamAeroM 's quadcopter getting a closer look after landing. http://t.co/SfiVBZvE8Y",1,0
"It doesn't look much, but ~6 deg of tilt gets us speeding off the field and headed for the landing plates! http://t.co/nUaSttyclU",0,3
"Wanna see how much peroxide gets through the thrusters before the catalyst beds are warmed up? Looks like a fountain! http://t.co/P9PiH9yTvw",6,4
"@TeamAeroM 's quadcopter getting a closer look after landing. (happens around 4:25 in their video). http://t.co/JBpU09xbu7",0,0
"@NASAWatch We are planning a closed loop test of @Moon_Ex 's software in Nov. More details will be made available as the date approaches.",2,1
"The flight starts at 3:09 on @TeamAeroM 's video.  Super fast turnaround as usual!",0,1
"RT @TeamAeroM: As promised, here is the epic video from this morning's flight.  We saved the best for last! http://t.co/yGDEYtRFEe",1,0
