account, group, totalTweets, totalRetweetedTweets, totalReplyTweets, totalMediaTweets, totalRetweets, totalFavorites
astro_Jfrancois,ESA,21,0,0,0,69,20
astro_timpeake,ESA,200,0,99,47,13273,2121
Thom_astro,ESA,200,0,75,109,3866,2006
Astro_Alex,ESA,200,0,4,170,48212,68187
AstroSamantha,ESA,200,0,90,114,5189,5633
astro_luca,ESA,200,0,58,74,14081,2043
astro_andre,ESA,198,0,31,102,27168,674
astro_paolo,ESA,200,0,4,0,8271,1853
Astro_Andreas,ESA,200,0,91,37,2198,807
CFuglesang,ESA,200,0,10,71,3312,538
ESA_EAC,ESA,200,0,30,56,1265,449
esa,ESA,200,0,48,69,19370,890
esaoperations,ESA,200,0,6,106,6818,1765
Astro_Satoshi,JAXA,200,0,57,135,99408,8974
Astro_Wakata,JAXA,200,0,2,160,159608,163068
Astro_Soichi,JAXA,200,0,6,77,112740,12784
Astro_Kimiya,JAXA,200,0,3,29,7536,10672
JAXA_en,JAXA,200,0,2,1,1800,872
csa_asc,CSA,200,0,53,99,30580,1310
asc_csa,CSA,200,0,51,86,569,129
Astro_Jeremy,CSA,200,0,50,91,8230,4087
Astro_DavidS,CSA,200,0,58,100,2208,2039
AstroDaveMD,CSA,199,0,64,27,1345,239
Cmdr_Hadfield,CSA,200,0,43,100,56916,39830
RobertaBondar,CSA,96,0,11,33,2079,52
RobertThirsk,CSA,13,0,0,0,48,0
AstroGarneau,CSA,94,0,25,5,246,13
fka_roscosmos,Roscosmos,200,0,3,73,3285,1452
spacetihon,Roscosmos,129,0,60,57,7692,195
OlegMKS,Roscosmos,200,0,1,169,22110,5976
Msuraev,Roscosmos,199,0,3,68,6923,3450
AntonAstrey,Roscosmos,123,0,5,112,16809,96
NASA,NASA,200,0,50,103,98126,61095
NASA_Astronauts,NASA,200,0,4,136,42207,6931
NASAPeople,NASA,198,0,34,134,5609,65
AstroClass2013,NASA,93,0,15,69,3318,1439
SciAstro,NASA,200,0,13,79,9262,1221
Astro_Flow,NASA,200,0,37,44,24384,871
Astro_Cady,NASA,199,0,14,115,13197,2299
Astro_Ferg,NASA,200,0,66,43,3760,1476
Astro_Clay,NASA,200,0,134,20,3197,290
AstroCoastie,NASA,5,0,0,0,104,60
astro_Pettit,NASA,93,0,0,51,3460,1663
AstroDot,NASA,200,0,80,30,16897,359
Astro_Wheels,NASA,200,0,102,137,5876,3042
Astro_Doug,NASA,52,0,23,20,4663,895
Astro_Taz,NASA,25,0,0,0,751,167
Astro_Box,NASA,199,0,15,111,5827,1080
Astro2fish,NASA,200,0,130,49,2050,582
Astro_Jeff,NASA,200,0,0,0,814,219
AstroAcaba,NASA,161,0,18,57,4994,1425
AstroKarenN,NASA,200,0,52,129,43979,48147
Astro_Kate7,NASA,87,0,42,15,1387,227
astro_kjell,NASA,61,0,19,12,967,169
Astro_127,NASA,200,0,58,0,73,1230
AstroIronMike,NASA,200,0,28,32,9389,1495
foreman_mike,NASA,199,0,53,30,2724,695
astro_aggie,NASA,200,0,20,87,13630,2352
AstroIllini,NASA,200,0,65,107,34424,45193
Astro_Mike,NASA,200,0,9,49,4168,6568
Astro_Nicholas,NASA,27,0,1,0,410,99
Astro_Nicole,NASA,200,0,73,117,1662,2164
astro_reid,NASA,200,0,25,135,148552,175916
Astro_Rex,NASA,76,0,34,1,921,193
AstroRM,NASA,200,0,36,147,52486,61696
Astro_Ron,NASA,200,0,40,58,12455,3094
Astro_Sandy,NASA,200,0,18,59,264,297
AstroSerena,NASA,41,0,2,19,346,273
StationCDRKelly,NASA,198,0,44,61,8876,4288
Astro_Maker,NASA,58,0,15,23,228,259
Astro_Suni,NASA,119,0,9,52,10321,4606
AstroTerry,NASA,200,0,13,158,24571,3743
astro_tim,NASA,66,0,0,0,77,144
AstroMarshburn,NASA,200,0,54,99,13189,12841
Astro_TJ,NASA,200,0,113,16,24425,348
Chief_Astronaut,NASA,111,0,32,72,4342,1198
Commercial_Crew,NASA,200,0,33,65,7761,3125
DESERT_RATS,NASA,196,0,28,35,752,288
HMP,NASA,200,0,2,5,81,35
ISS_Research,NASA,200,0,53,98,72325,2763
NASAMightyEagle,NASA,200,0,25,90,153,97
NASA_NEEMO,NASA,196,0,61,57,2328,439
NASA_Orion,NASA,200,0,47,97,19170,1567
PavilionLake,NASA,199,0,9,12,141,16
MorpheusLander,NASA,199,0,143,30,2037,605
AstroRobonaut,NASA,200,0,100,37,4622,1501
NASA_SLS,NASA,200,0,32,110,28868,664
