tweet,retweetsCount,favoritesCount
"Bon #14juillet à nos Cousins de @CNES_France et @esa_fr! http://t.co/HKj0IDnpWT Photo de la Ville lumière par @cmdr_hadfield.",3,2
"Une techno canadienne de la firme Neptec d'Ottawa aidera #Cygnus à se stationner à l'ISS : http://t.co/WaEOOIlvzh (en anglais) #Orb2",0,0
"Lancement réussi! “@NASA_Wallops: And we have launch of #Orb2 to the #ISS http://t.co/GiKmzyJLVQ”",2,1
"Lancement de la fusée #Antares de @OrbitalSciences prévu à 12 h 52 HAE. Le véhicule #Cygnus s'arrimera à l'ISS le 16 juillet. #Orb2",2,0
"Il ne reste que qq heures pour soumettre votre candidature pour l'un de nos postes en communications : https://t.co/q4czM0Tk2B #emploi",0,0
"RT @ESA_fr: TT @Astro_Alex Faites un vœu! Mon 1er #timelapse et ma 1re étoile filante vue de l'espace https://t.co/3pKNnpAc8j http://t.co/E…",5,0
"RT @ESA_fr: Participez au concours photo #RosettaAreWeThereYet pendant la dernière étape vers #67P!  http://t.co/rko5cLdagU http://t.co/AxG…",5,0
"RT @ESA_fr: TT @astro_reid Les nuages effleurent Omaha Beach, #Normandie, #France http://t.co/Q51gxXL1qB",7,0
"RT @le1518: .@Astro_DavidS de @csa_asc a charmé toute l'équipe du @le1518. Il raconte son quotidien à @IsabelleRicher http://t.co/ritxpgOyG…",1,0
"Soumettez vos questions au panel d'astronautes de @ISU_SSP en utilisant #AskAnAstronaut.",2,1
"Le panel int'l d'astronautes de @ISU_SSP (anglais) est en cours. Visionnez sur notre site Web: http://t.co/XvNodZWrpv http://t.co/rQK8HKUVLJ",0,0
"Aujourd'hui, des étudiants de @ISU_SSP ont fait une promenade sur 'Mars' (photos) : http://t.co/23xxxapanh",1,1
"RT @joseenadia: Buzz Aldrin veut lire vos souvenirs du 20 juillet 1969 alors que Apollo 11 se posait sur la  #Lune #Apollo45! Utilisez #Apo…",13,0
"Pour voir ou revoir l'entrevue de @Astro_DavidS avec @DanMelancon à @salutbonjour ce matin : http://t.co/aM3xAZOlfr",1,1
"Bonne nouvelle! “@OlegMKS: toutes mes photos dans instagramm - instagramm 内のすべての私の写真 - 我所有的照片在 instagramm - http://t.co/zWOl1sSb4V”",0,0
"L'oeil du typhon #Neoguri. “@astro_reid: The interesting shaped #eye of super #TyphoonNeoguri – 2155 GMT, 7 July http://t.co/umNb9Sb2Kg”",7,1
"Notre Terre est la plus belle. “@astro_reid: Some say #Saturn is the crown jewel of our solar system. They're wrong. http://t.co/mtbqL47Cir”",1,2
"Magnifique lever de lune, vu depuis l'ISS. “@astro_reid: Moonrise from the #ISS http://t.co/RAlJmSLVV8”",5,3
"Visionnez notre webdiffusion du panel int'l de femmes astronautes de @ISU_SSP le 10 juillet : http://t.co/gaVHueCs5R http://t.co/qEeU0K6JD5",1,4
"RT @emplois_gc: Travailler comme agent/conseiller en communications au #GC! @asc_csa embauche à #Saint-Hubert http://t.co/7u7pbyoHws",0,0
"Salle comble @etsmtl pour la présentation de @Astro_DavidS dans le cadre de #ssp14! cc @ISU_SSP http://t.co/RhFSBVtvdJ",2,1
"Ce matin à 8 h 35, @Astro_DavidS sera à @salutbonjour. Si vous êtes déjà au travail, suivez par webdiffusion : http://t.co/UfIDQ6LML6",3,0
"RT @DanMelancon: Ce matin @salutbonjour, visite des @3_SDL, prestation de la troupe #sisteract et rencontre avec l'astronaute David St-Jacq…",6,0
"RT @Astro_DavidS: À Montréal cette semaine pour enseigner à l'université internationale de l'espace! http://t.co/YlynQYcyDs",15,0
"AVIS AUX MÉDIAS - L'astronaute de l'ASC @Astro_DavidS s'adresse à des futurs leaders du domaine spatial : http://t.co/IK7fMgKYmq cc @ISU_SSP",3,3
"#NiagaraFalls “@astro_reid: Beautiful #NiagraFalls thru 800mm – natural wonder better viewed from Earth! http://t.co/UbzSKviBEe”",1,2
"Typhon Neoguri près du Japon. “@astro_reid: #Typhoon Neoguri nearing Japan. Takes up our entire view.  Wow. http://t.co/yreAW1lvHl”",4,2
"Bon 4 juillet aux Américains et à nos amis de la @NASA, notre partenaire depuis +50 ans! http://t.co/R5QJIsoRzj Image : mosaïque RADARSAT",0,0
"Le premier anniversaire martien de Curiosity (et de sa contribution canadienne) : http://t.co/S3OE5f3os1 via @YahooQuebec",2,1
"L'ISS devant le soleil! “@astro_reid: amazing #spotthestation photos w/Sun. 2nd, John in New Hampshire http://t.co/rdpBnUdvhz”",6,2
"L'oeil de l'ouragan Arthur vu depuis l'ISS. “@Astro_Alex: Hurricane #Arthur's eye seen from #ISS http://t.co/TMOvceuRtP”",1,3
"RT @CCOBCC: .@asc_csa est à la recherche d’agents et de conseillers en communications. L’affiche est disponible ici http://t.co/kHyk77FgCL …",2,0
"RT @JournalConnecte: L'agence spatiale canadienne teste #astroskin #vetementconnecté destiné aux missions spatiales de... http://t.co/PamjZ…",2,0
"RT @Astro_DavidS: Panneau sur mon sentier de jogging à Houston... http://t.co/9WhVA9X1eh",5,0
"Recherchons professionnels des #Communications!   Date limite pour postuler : 11 juillet http://t.co/lr5f6SEab1  #multimédia #médiassociaux",1,1
"RT @CiteEspace: La mission du satellite OCO-2 de la #NASA : traquer le CO2 pour comprendre son effet sur le climat. http://t.co/hyy1WBkWAN",1,0
"#Noussommeslhiver même sur Mars! SVQ un lidar canadien a détecté des flocons sur la planète rouge? #6: http://t.co/nMbvd9AfFy #FêteduCanada",2,0
"Icône spatiale canadienne - Pouvez-vous différencier le Canadarm du Canadarm2? http://t.co/Yd22ygvj74 #FêteduCanada http://t.co/Mn6HIC8AUB",0,0
"Quel pays peut se vanter d'avoir des billets de banque spéciaux spatiaux? Le Canada! #FêteduCanada http://t.co/zw7V04Wqp8",5,2
"TT “@Astro_Alex: Glace ds la mer du Labrador. Bonne #FêteduCanada aux Canadiens et à mes amis de @asc_csa! #BlueDot http://t.co/5IgWf5o73m”",1,1
"Nouvelle-Écosse et un peu du Nouveau-Brunswick! “@Astro_Alex: Nova Scotia #CanadaDay #BlueDot http://t.co/9k6rdG0pKq”",1,1
"Connaissez-vous bien l'histoire spatiale du Canada? Jalons : http://t.co/CCQMDApxRe #FêteduCanada http://t.co/bGph36ZSkn",2,0
"Canada! Suivez-vous @Astro_Alex? Il publie des photos de notre pays depuis l'#ISS pour la #FêteduCanada!",0,0
"Pour la #FêteduCanada, rencontrez nos astronautes canadiens! @Astro_DavidS: http://t.co/BfhcLevtWf @Astro_Jeremy: http://t.co/1AzfImCLcg",1,2
"Reconnaissez-vous cette rivière cdnne? MT “@Astro_Alex: Do you recognize this river in Canada? #CanadaDay #BlueDot http://t.co/mEshpDZdrA”",1,1
"Aurores boréales et lever d'Orion. “@astro_reid: #SpaceVine of #auroraborealis lights as Orion rises https://t.co/zVmP138Y0T”",3,2
"RT @StatCan_fra: Bonne #FêteduCanada2014! Quelle croissance depuis 147 ans! Pop. du Canada: 3 463 000 en 1867; 35 427 524, avril 2014 http:…",16,0
"Le fleuve Saint-Laurent. “@Astro_Alex: Breathtaking! St. Lawrence River, Canada. #CanadaDay #BlueDot http://t.co/fiqLFXWS5j”",1,1
"Bonne #FêteduCanada! Cette mosaïque de notre pays est composée de 121 images RADARSAT-2 : http://t.co/Adh5z19m7K http://t.co/GchX5IdnBm",2,1
"RT @Astro_DavidS: @Cmdr_Hadfield Bravo pour la nomination au sein de l'Ordre du Canada! http://t.co/Cbcp1v5xuA",10,0
"Bonne #FêteduCanada! “@Astro_Alex: Canada is beautiful! Happy #CanadaDay / Kanada ist schön! Happy Canada Day! http://t.co/LsEkon4jUa”",2,3
"Félicitations à @cmdr_hadfield nommé officier de l'Ordre du Canada! http://t.co/RZgYRW7URp http://t.co/DSbJcxt70j",3,2
"À la veille de la #FêteduCanada, dites-nous quelle technologie ou expérience spatiale canadienne vous rend le plus fier (et pourquoi!).",0,0
"MT @ScitechCanada: Test en partie réussi d’une soucoupe expérimentale de la NASA http://t.co/UYJN1E2a5l via @RadioCanadaInfo",0,0
"RT @futurasciences: La @NASA nous fait rêver ! Et vous ? http://t.co/TJruB0nccQ http://t.co/9edi5rySQc",0,1
"RT “@SciencePresse: Recherche spatiale et #innovation en #santé: des liens tricotés serrés http://t.co/Ez2UPf60Sb [Blogue @JeremyBouchez]”",1,0
"Île-du-Price-Édouard et Pont de la Confédération. MT “@PC0101: PEI &amp; Conf. Bridge, from #ISS, exp40, June 23, 200-mm http://t.co/YaB0hP95EL”",2,1
"Île-du-Price-Édouard, 23 juin. MT “@PC0101: Prince Edward Island, Can., from #ISS, exp40 June 23, 80-mm http://t.co/YZc57hySDS”",2,2
"Baie de Fundy depuis l'ISS, 23 juin. MT “@PC0101: Bay of Fundy, Nova Scotia from #ISS, exp40, June 23, 170-mm http://t.co/WvAkX1MswV”",2,1
"Début de tempête au-dessus de Winnipeg, Manitoba. “@astro_reid: Storm begins to swirl near Winnipeg, Canada. http://t.co/WzN0gfngMc”",2,1
"RT @ExpoDistinction: Venez voir l'hologramme de @Cmdr_Hadfield ainsi que le drapeau d'Eddy qui est allé dans l'espace avec lui! @asc_csa ht…",4,0
"Mettant en vedette @Cmdr_Hadfield! MT “@ExpoDistinction: 3 jrs pour nous visiter @RideauHall. Ne manquez pas l'expo! http://t.co/Mqm3YNkquJ”",3,1
"De nos archives pour la Journée de la boue - @astro_jeremy et @westernuCPSX empêtrés dans la boue en Arctique : http://t.co/jkNx9BmlUb",0,0
"RT @Astro_DavidS: @astro_reid et Steve Swanson perdent leur pari avec @Astro_Alex suite à la victoire de l'allemagne au soccer!  http://t.c…",3,0
"De la coupole de l'ISS, avant un des 16 couchers de soleil du jour. MT “@Astro_Alex: View from Cupola before sunset. http://t.co/iFPnLIzm4e”",0,2
"Profitez de la vue! Et bon dimanche! “@Astro_Alex: Space views http://t.co/ucRnVH36ts”",0,0
"REMINDER | RAPPEL - Follow us in English @csa_asc or in French @asc_csa. Suivez-nous en français @asc_csa ou en anglais @csa_asc.",0,1
"RT @Taltyelemna: Le massage cardiaque en zéroG, via @Astro_Andreas http://t.co/GExj4QNRha",10,0
"Un jour sur Terre - Bonne photo de @Astro_Andreas dans @LP_LaPresse au Québec! http://t.co/m0iK1Y1cty cc @ESA_fr",0,0
"RT @oliviersanguy: Dans la nuit du 26 au 27 juin, @MarsCuriosity était piloté à 100% par des femmes. Mon reportage video : http://t.co/gnts…",5,0
"RT @Astro_DavidS: Le futur est proche: pratique en piscine du prototype de futur scaphandre d'exploraiton. Destination: un astéroide! http:…",9,0
