tweet,retweetsCount,favoritesCount
"Aidez @ESA_Rosetta à sortir de son hibernation et gagnez un ticket pour assister a l'atterrissage http://t.co/pNrnTKzOkB #wakeuprosetta",2,3
"How will you GoPro? Check out this entry http://t.co/IaRDW7WfLO Enter now: http://t.co/6qlaJErK7x #iwillgopro",1,0
"Futur par Starck ce soir sur Arte. Son blouson en impesanteur dans l'airbus zeroG.",1,5
"la COMEX me fait revivre sous l'eau les operations de N. Armstrong sur la lune...mais avec un scaphandre ESA-COMEX et drapeau europeen.",6,2
"RT @space_outreach: May 24,  Join us, Women in Aerospace Europe, Paris launch event http://t.co/hep9a5VjN6 @sdipippo @astro_JFrancois @HESp…",7,0
"rendez-vous au siege de l'#ESA les 25, 26 mai pour le 1er @SpaceUpParis Je serai ravi de partager mon experience spatiale le 25 matin",3,2
"Super top premier vol de decouverte de l'impesanteur aujourd'hui. L'espace 'descend' sur Terre avec l'airbus A300 Zero-G",3,0
"'L'espace, un investissement pour la France et pour l'Europe'. tribune libre par les astronautes français de l'#ESA. supp. sciences Le Monde",7,1
"31 sensational parabolas in a beautiful atlantic ocean sky, and many scientists feeling like doing research on board #ISS.",0,1
"boardinfg ZERO-G plane on 99th #ESA parabolic flight campaign covered by Euronews. Weightlessness is an addictive never forget feeling.",3,2
"Right now the outside view by stratonaut Felix B is closer to the one by #ISS crew: black sky in daylight and curved horizon. Godspeed!",3,0
"main unknown is the human body behavior in the transonic stratospheric air flow. We'' ll learn for future higher than today crew escape.",9,3
"my dream of coming back  from space by foot is about to be realized. this is just like a spacewalk but on a vertical orbit",8,1
"in ESTEC with Leopold Eyharts to evaluate METERON a concept of exploration rover remotely controlled by an orbiting crew",0,0
"31 paraboles de 22 secondes d'apesanteur chacune au large de l'ile de Ré. @ESA EAC bien représenté.  Seulement 2 malades. 3ème vol demain",4,0
"Super cool dinner avec @Thom_astro préalable à notre vol zeroG ensemble demain matin sur une campagne de recherche @CNES_France",3,0
"within few minutes apart , felt proud watching the successful take-off of #Ariane5 and the undocking of #ATV3",5,0
"RT @space_outreach: Join un at the Jupiter auditorium at 12h15 with astro_JFrancois for a prestentation 'is there life out there?' #EPSC12",1,0
"Meeting all space fans in Madrid planetarium at 20h to share my life and work in space with images from #Hubble #Shuttle #Iss",2,0
"today at 17h45 my first talk on #ESA web TV pilot project 'is there life out there?' #EPSC12 Madrid - Mercury room - Outreach session",1,0
"happy to open my ESA astro account and join the space tweeps, Madrid, #EPSC12",0,0
