tweet,retweetsCount,favoritesCount
"RT @cnni: Smile! This paper cup can be recycled -- unlike 50 billion that end up in landfills each year: http://t.co/ImLgGUFzfy http://t.co…",126,0
"RT @GenOpp: A classic and relevant quote from the wise Benjamin Franklin. http://t.co/eOfRY8iqF0 http://t.co/LuBmMufhwz",6470,0
"RT @ruimtevaart: RT @ObservingSpace: The ISS transits the sun | Credit: M. Teodorescu http://t.co/ejD9wGnuAN #sun #iss #romania http://t.co…",49,0
"RT @NVR_Ruimtevaart: Don't miss our great SolarMax and Aurora event with @astro_andre &amp; @timmermansr at @Omniversum on 2 September! http://…",25,0
"RT @NVR_Ruimtevaart: SolarMax: een uniek NVR event met @astro_andre bij @Omniversum op 2 september a.s. Reserveer nu! http://t.co/HNxIdoUVqC",7,0
"RT @MarkEvents: Schrijftalent? Doe mee aan de scenariowedstrijd met @astro_andre en @BosBros  https://t.co/JepvsM56p1",8,0
"@oana_vd_togt Er zijn nu 2 delen van Andre het astronautje (Maan en Mars) uit. Wie weet komt er nog een 3de.",0,2
"RT @mverkleij: Welke ruimtefiguur heeft de minste ribben? Antwoord client; André Kuipers. Mooi werk heb ik toch! @astro_andre #vg20 http://…",10,0
"RT @ESA_History: #OTD 1 July 2012, @esa's @astro_andre returns to Earth - sets record for longest European mission, 194 days. http://t.co/2…",72,0
"RT @sciam: Nanotechnology: Deliver on a Promise http://t.co/n4DuREeShc",42,0
"RT @omroepntr: Voor nu de laatste #DeKennisvanNu-Nieuws, met bewegen op wilskracht en wachtwoorden met gezichtsherkenning: http://t.co/9Y9N…",6,0
"RT @judithploegman: Vakantievoorpret: Buitenaards leven kijken in @TEYLERS. http://t.co/MHu1q1zgcK http://t.co/acxxC1Atet",8,0
"RT @2014DSC: Today we're sailing to Sneek! Finish about 04.00 pm in the centre of Sneek. See you all there! http://t.co/Nbw2hUF5Fa",22,0
"RT @universetoday: Trekking Mars – Curiosity Roves Outside Landing Ellipse! http://t.co/e0zh7fB2PN http://t.co/pLtV20CwUu",64,0
"RT @Brilliant_Ads: Volkswagen: Please don't text and drive http://t.co/fXEuyPHudA",1088,0
"RT @earthskyscience: Happy anniversary and congrats to Carolyn Porco and Cassini imaging team!  http://t.co/5xXWseeY1D @carolynporco http:/…",50,0
"RT @AstroSamantha: Never thought I would be on a calendar :-) RT @esa: Our July #calendar is out. Download here: http://t.co/uCxFFIh6FJ htt…",55,0
"RT @NVR_Ruimtevaart: De 7-jarige Thom wint de NVR @KnowHowNu hoofdprijs! Deze vlag was met @astro_andre in het #ISS! http://t.co/pILbnrvvu7",6,0
"RT @michelvanbaal: Zonnebootrace hier live te volgen http://t.co/1a4ZDXdQBm. @TUDelftSBT niet echt snel gestart zo te zien, maar lijkt nu o…",9,0
"Lancering #Techniekpact On Tour met @sanderkoenen voor 250 7de groepers. @UvA_Amsterdam  2014/15 in heel NLD #selfie http://t.co/Xn6jAakTyo",31,18
"RT @CassiniSaturn: Ten years by the numbers! #Cassini10 #TenFacts  Full resolution version: http://t.co/VMwBR8G6Fs http://t.co/L1fVb3uAbv",395,0
"RT @CassiniSaturn: 10 extraordinary years! Which discoveries will be most remembered? #Cassini10 http://t.co/Mj7T0EEojp http://t.co/hpHz5ol…",109,0
"RT @Aart_NatGeo: @NatGeoNL en @wnfnederland  organiseren de Frans Lanting Award, fotowedstrijd genoemd naar topfotograaf @LantingFrans http…",11,0
"RT @HistoricalPics: Charging an electric car in 1905 http://t.co/RhGlyP12TP",730,0
"RT @Robbert_NatGeo: De eeuwige vraag: is er leven op andere planeten? Lees National Geographic voor de iPad! http://t.co/EmMgwdbSEC http://…",10,0
"RT @NASA_Orion: #Oriontest lands in the Pacific Ocean, 600 mi off coast of San Diego, CA. in an area measuring 120 sq mi #Imonboard http://…",79,0
"Morgen 1ste Techniekpact On Tour olv @sanderkoenen Honderden scholieren laten ervaren hoe boeiend techniek is. Samen met UvA #techniekpact",39,6
"RT @HistoricalPics: The liner 'Queen Elizabeth' bringing American troops into NY Harbor at the end of WWII, 1945 http://t.co/2rAdZqPmdr",1033,0
"RT @ESA_nl: ESA-ESTEC houdt op 5 oktober weer jaarlijkse open dag. 10.000 gratis tickets! http://t.co/1PnRSfeIEp @astro_andre http://t.co/V…",41,0
"RT @Picswithastory: Respect nature. http://t.co/wJ89WQRLuC",556,0
"4de X Soldaat Van Oranje. Blijft spectaculair. Genieten van knap staaltje theater. #soldaatvanoranje http://t.co/G2d0Ct6tcL",14,22
"RT @latimesscience: Does speedy solar wind stir up lightning on Earth? Scientists find an intriguing correlation. via @DeborahNetburn http:…",12,0
"RT @TelegraphSci: Computer passes 'Turing Test' for the first time after convincing users it is human http://t.co/g9oTcSTAo4",90,0
"RT @iambinaxx: Love this video by @esa astronaut @astro_andre tour of the inside of the #ISS http://t.co/EthOjQ6KJG ;) #BlueDot #ISS http:/…",19,0
"@lauradehaan87 @astrosabadell Fotos te vinden bij http://t.co/hLabyKDx47 en http://t.co/kLYbwPEbW1",0,2
"Vandaag promo's voor de Stichting Hoogvliegers. Ernstig zieke kinderen voor 1 dag piloot. @Hoogvliegers http://t.co/IaQOUhzxqZ",55,22
"RT @TheMarsSociety: SpaceX’s Reisman ready for the next giant leap with Dragon V2 | http://t.co/JvWO8H8AxV http://t.co/S3k9kwkkkg",7,0
"RT @wnfnederland: In de nieuwste @Roots_NL gaat @caroline_vogel met #WNF @astro_andre in een duikboot naar de kraamkamers vd oceaan.^NK htt…",14,0
"Vanavond 19:45 Ned2 De Kennis Van Nu. Over oa penalties nemen en trainen voor de marathon @omroepntr @DiederikJekel #dekennisvannu",13,11
"RT @dekennisvannu: Wetenschap achter strafschoppen met @astro_andre &amp; @DiederikJekel traint voor de marathon: vanavond in #dekennisvannu ht…",13,0
"RT @tudelft: Teleporting information through space #Quantum #Mechanics #TUDelft http://t.co/Ejwu6XH0sL http://t.co/UW3gCcBr3O",148,0
"RT @physorg_com: Research team claims to have accurately 'teleported' quantum information ten feet http://t.co/EvdfIQ9kjb",91,0
"RT @AT5: Het Kinderbeestfeest voor chronisch zieke kinderen is dit jaar op 6 juni. Niet schrikken van alle sirenes dus http://t.co/VNnwDew0…",50,0
"RT @ruimtevaart: RT @DavidWeaver: Check out these other #MadeInAmerica vehicles by @Boeing &amp; @SNCspacesystems http://t.co/f4pguk3CrZ",18,0
"RT @ruimtevaart: RT @EpicCosmos: Inside the #DragonV2 spacecraft which can carry 7 astronauts. #SpaceX http://t.co/0hwG0FQt1f",20,0
"RT @ruimtevaart: RT @MarcKBoucher: And landing #SpaceX Dragon V2 http://t.co/pn3Ke8i9GX",17,0
"RT @ruimtevaart: RT @MarcKBoucher: Another shot. #SpaceX Dragon V2 http://t.co/jdI22NmAMF",7,0
"RT @jeff_foust: The control panel inside the Dragon V2 capsule. http://t.co/zKZIiRc89x",101,0
"RT @SpaceflightNow: SpaceX boss Elon Musk shows off the #DragonV2 to VIPs and the media. http://t.co/CiB977RPt3",72,0
"RT @NewsBreaker: Space X CEO Elon Musk Will Unveil 1st Manned Dragon Spaceship Tonight http://t.co/ghjnS3BZmx - @SPACEdotcom http://t.co/p3…",67,0
"RT @ISS_Update: NASA's latest Soyuz seat procurement may be its last http://t.co/afZ9RY77qU #Bluedot #ISS",7,0
"Wat te doen met de plastic soep in de oceanen? Boyan Slat gaat aan de slag. Zie blog @Michelvanbaal http://t.co/dRyAxNBxur",139,42
"RT @esa: Alexander Gerst arrives at the Space Station #BlueDot http://t.co/5pT0UUDBhv http://t.co/HWfPU23osv",68,0
"RT @SpaceflightNow: The space station is home to six people again with the arrival of @Msuraev, @Astro_reid and @Astro_Alex. http://t.co/cz…",42,0
"RT @esaoperations: MT @ESAstro_trainer: 3rd stage separated. Crew safely in orbit : Welcome to space @Astro_Alex @astro_reid @Msuraev ! htt…",75,0
"Succesvolle lancering van de Soyuz met ESA astronaut Alexander Gerst. Blijft schitterend om te zien. @astro_alex #Exp40 #ISS",19,20
"RT @ISS101: L-11 Minutes: Here's a detailed Soyuz Ascent Timeline &amp; Launch Profile Overview: http://t.co/AG4ti3kYrr | #ISS http://t.co/HNvu…",26,0
"RT @esa: T-40 mins: @Astro_Alex waiting for launch inside the Soyuz spacecraft #BlueDot http://t.co/ylZdHi7rSu",66,0
"RT @esa: Soyuz launch coverage with commentary from @Thom_astro now live: http://t.co/9uuZ9jjJ64 http://t.co/Wm67LvvdnA",77,0
"RT @Astro_Cady: Who wouldn't want to go?? #Exp40 @Astro_Reid @Astro_Alex @MaxSuraev are sitting where we'd all like to sit!  Woo Hoo! http:…",41,0
