tweet,retweetsCount,favoritesCount
"RT @Astro_Alex: .@astro_luca Thx, I sure am. Tonight, as awesome as it is up here in space, I would love to spend just a few hours in a Ger…",93,0
"RT @AstroKarenN: Congrats @OrbitalSciences on the successful launch of #Orb2 resupply. Love the tribute to Janice Voss, too!",21,0
"RT @Astro_Alex: Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/HP2JwNrgTw",3185,0
"Congratulations Germany! What a great game :) I'm sure @Astro_Alex is floating happily with pride right now!",125,201
"@mirmalcontenta @3BMeteo @AgenziaSpazial l'importante è sapere che è lì :)",0,2
"RT @krosengren: Stoked to have met and spent a few minutes talking to @astro_luca this week @ JSC in Houston. http://t.co/cxYnFJQ7qB",5,0
"RT @SapereScienza: Leggi l'intervista di Luca Parmitano @astro_luca sul nuovo numero di SAPERE! http://t.co/QEx9reH1KM #astronomia #astrona…",9,0
"@angelitakiz :)",1,1
"@nasadan anytime! It's always fun :)",0,0
"RT @FedeCocchi: .@astro_luca  Parmitano insieme a Tito Stagno al Festival della Parola di Parma il 16 luglio alle 21.15 #volateconnoi #paro…",10,0
"RT @SolimanKhaled: '@HumanoidHistory: #OnThisDay in 2013, astronaut Luca Parmitano took a #space #selfie to remember. @astro_luca http://t.…",80,0
"RT @IT2014EU: Vuoi partecipare al #TweetUp con @astro_luca? Scopri come http://t.co/ZcUM4RuVXl #MeetParmitano http://t.co/nQIsvls3RE",29,0
"RT @IT2014EU: Do you want to join our #TweetUp with @astro_luca? See how http://t.co/fdkf9cu4fC  #MeetParmitano http://t.co/a2nbTiQBMM",47,0
"RT @MarcoVigelini: Con queste i nostri piccoli ninja @coderdojoitalia faranno concorrenza ad @astro_luca https://t.co/o9EPhEyBVT @agaddone …",19,0
"RT @ESA_Rosetta: Comet #67P is slowly taking shape...1 pixel at a time! Movie &amp; caption: http://t.co/aLQy6YYUQK http://t.co/uy9v7LYZtz",183,0
"RT @IT2014EU: Il programma del semestre di Presidenza italiana del Consiglio dell’Unione Europea #IT2014EU http://t.co/3WnNu7xqex",96,0
"RT @IT2014EU: The programme of the six-month Italian presidency of the #EU Council #IT2014EU http://t.co/B6G6FxXaW3",171,0
"@bedfordscience @astro_reid I'm sure he's very busy. And it's hard to catch all the tweets: they disappear! The swim/bike/run went ok :)",3,3
"RT @astro_reid: Just flew over TS #Arthur – hoping it heads to sea. Looks mean. http://t.co/9IjqFFy35m",2289,0
"RT @ItalianAirForce: #Notiziario Am Tv giugno 2014 http://t.co/JsOb2YO6ih @AstroSamantha, #futura42, #Afganistan, #AMX, #sport, #ITA.",4,0
"Europe is the destination, but the voyage itself is just as important. http://t.co/maRy3uhZNh",32,30
"La destinazione è l'Europa, ma il viaggio, come sempre, è altrettanto importante. http://t.co/maRy3uhZNh",20,25
"@datachick my daughters already sequestered it :)",0,1
"@kikkiar :)",1,2
"RT @camurriusa: Il desiderio umano di spingersi oltre, il senso del viaggio, e ciò che ci ha insegnato un astronauta di nome Luca: In http:…",7,0
"RT @ItalianAirForce: Presentata Moneta celebrativa 'Semestre Presidenza Italiana del Consiglio dell'#UnioneEuropea'.http://t.co/gQS2V3IpfY …",10,0
"RT @gr2014eu: Thank you @astro_luca for the great pic!Welcome @IT2014EU!Best wishes for the upcoming #Italian Presidency #IT2014EU from #gr…",45,0
