tweet,retweetsCount,favoritesCount
"New 3D printed toolbox in Columbus - don't worry, for the older generation we still have the YMCA tool belts onboard! http://t.co/9LbM25jaH9",16,16
"RT @esa: Its Space Day at #FarnboroughAirShow, ESA DG is joining space conf with @spacegovuk http://t.co/CheFofk1LT #FIA14 #spacezone",22,0
"Hey @Thom_astro I found your flag where you last left it-when working hard at your desk! @Astro_Andreas @NASA_NEEMO http://t.co/UH2KvqqliB",12,21
"Training in Columbus laboratory at European Astronaut Centre (everyone here in Germany seems very happy today...) http://t.co/MK5PYii4GR",11,28
"RT @Cobham_plc: @esa @LockheedMartin @Astro_Alex @astro_timpeake ~250 @Cobham_plc components on #ISS, inc. valves to help make waste water …",1,0
"@spacechelle will do Michelle - are you enjoying beautiful Scotland in the sunshine? I just departed Edinburgh...stunning views on take off!",0,2
"Next stop Cologne for specialist training on Europe's 'Columbus' laboratory. But I'll be sure to make it to #FIA14 &amp; @esa space zone by Thu!",12,18
"RT @thurrockscouts: Some of our Scouts are training with @astro_timpeake at the National Space Centre. @essexscouts @UKScouting http://t.co…",10,0
"Well done #astroarchie - that's a seriously impressive solar system! @cheekychilds @shaunchilds",3,2
"Not long till NEEMO 18 @Thom_astro - have fun under the waves :) http://t.co/wmnfFwG1CC",10,21
"Astro cutlery - no knife...didn't make it through the security gate I guess ;) http://t.co/X9nJE9Dzlj",13,26
"RT @ClydeSpace: @astro_timpeake Scotland's first satellite launches from Baikonur in just over 2 hours. Wish us luck! @spacegovuk",15,0
"RT @desolatemoon: Want to find out what @spacegovuk are doing for @astro_timpeake's mission to #ISS? Sign up to the newsletter here https:/…",7,0
"Check out this helmet &amp; megaphone...oh wait a minute, maybe this is used for something else inside Soyuz?! http://t.co/b4coKWHCXo",28,33
"@iambinaxx as good as can be-going to lose some muscle (inc cardio) &amp; bone performance so the fitter you are the better &amp; focused mind too!",1,1
"Great talking to @SpaceUpUK just now - thanks for all the fun questions, made me miss old Blighty :) #SpaceUpUK",28,31
"@DustyGerkin a cuppa, yes - how good will it be...I'll let you know!",1,3
"Astronaut laundry! http://t.co/lDlB2WBc6d",91,109
"@spacemanfellow yes, on the last day - we had a different commander each day.",0,0
"RT @space_lass: Exploring #spacedinners with @AeroSociety Amy #missionxwales @trainastronaut @SpaceAmbassador http://t.co/mnbNg9DTZc",5,0
"RT @astro_reid: Beautiful to the south, unwelcome #Arthur to the north http://t.co/TJ6c4lS65o",1569,0
