tweet,retweetsCount,favoritesCount
"Mesmerizing RT @astro_reid: #spacevine - Mind bending double ‘s’ curve #AuroraAustralis time lapse http://t.co/WEuATA7Inr",10,7
"Magali Vaissiere, ESA Di/Telecom &amp; Int App, and Peter Mabson, exactEarth President, signing agreement at #FIA14 http://t.co/JRzHIe7SJn",4,0
"Boosting marine traffic monitoring  - partnership w Luxspace &amp; ExactEarth Candada signed today @FIAFarnborough #FIA14 http://t.co/0lNsXUHgD9",3,0
"Greg Clark, Minister for universities  science talks to ESA DG and @UKSA David Parker @FIAFarnborough #FIA14 http://t.co/jYMkIIySb8",3,3
"@llucdiaz Welcome!",0,0
"RT @spacegovuk: New Minister for Science and Universities, Greg Clark is currently visiting our stand #SpaceZone #FIA14",7,0
"#SpaceDay @FIAFarnborough - slideshow of high-res images #FIA14 http://t.co/hNvUhQITl4 http://t.co/V5m6bmkAyi",7,6
"RT @esaoperations: Our astro's @Thom_astro &amp; @astro_paolo are @NASA_NEEMO. Follow their underwater adventure: http://t.co/4K84dDQwaD http:/…",20,0
"RT @Astro_Alex: On some days it feels like Earth disguises itself from our view. #BlueDot http://t.co/b0fiucWmDL",121,0
"#SpaceZone -  @esaclimate Office is at @FIAFarnborough, showing climate data visualisations in the #spacezone #FIA14 http://t.co/fD4cx28Cyo",13,11
"RT @spacegovuk: Government paves way for UK spaceport https://t.co/e7KZhogeOx http://t.co/D7sPzfvZfn",293,0
"RT @esaoperations: Image of the week: test-driving a remote-control rover for @esa_meteron project http://t.co/bRkvCmdwLE http://t.co/yMd5f…",13,0
"#SpaceDay: More pics from VIP visits to the #spacezone  @FIAFarnborough http://t.co/KPC6FdGE78 http://t.co/AkNE66EkfV",4,3
"Space to innovate! Franco Ongaro, ESA Dir for Technology in #spacezone @FIAFarnborough http://t.co/KiShGG23lq",18,7
"Corr: Grappling Cygnus #Orb2 with #Canadarm - #Swanny and @Astro_Alex prepare - blogpost http://t.co/mp8ia1qpLN http://t.co/JYoN80iI3E",4,3
"#SpaceDay at #FIA14: ESA DG Jean-Jacques Dordain with David Parker, Head of @spacegovuk in #SpaceZone @FIAFarnborough http://t.co/7MKq1Pe5tL",11,4
"RT @LE_Aerospace: Jean-Jacques Dordain, DG of @esa outlining the Vision 2030 for Europe @FIAFarnborough #FIA14 http://t.co/uGnNVjc4v6",3,0
"RT @Astro_Alex: Tomorrow we'll grapple #Cygnus #Orb2 spaceship with this robotic arm. Steve on hand controllers, I do vehicle command http:…",171,0
"RT @spacegovuk: Seminar today at 12:45 in the #SpaceZone @FIAFarnborough 'The space wide web - the future of intersatellite communications'…",5,0
"#SpaceDay @FIAFarnborough DG J_J Dordain with D Parker, Head of @spacegovuk  + M Vaissiere D/TIA #spacezone http://t.co/NwxCpRPeBb",8,3
"RT @spacegovuk: Seminar today at 10:30 in the #SpaceZone @FIAFarnborough 'Is it spying or is it breaking news? Monitoring from Space' #FIA1…",8,0
"#SpaceDay at @FIAFarnborough : ESA DG Dordain with Minister Arlene Foster and Magali Vaissiere,  D/TIA #spacezone http://t.co/41g9YT5KRn",7,8
"RT @esa_artes_apps: Check out this portable telemedicine device now until 11am in the #SpaceZone - ESA Stand SZ221 #FIA14 #space4biz http:/…",9,0
"RT @ESA_Rosetta: After today (15 July) there's going to be less than 10 000 km between me and #comet #67P!",73,0
"Its Space Day at #FarnboroughAirShow, ESA DG is joining space conf with @spacegovuk http://t.co/CheFofk1LT #FIA14 #spacezone",22,6
"RT @AirbusDS: #ATV5 being prepared by prime @AirbusDS for another record @ESA mission to ISS… http://t.co/voqEvkycP6 http://t.co/rDbt3mWYPs",32,0
"RT @Astro_Andreas: What would #Apollo11 moon landings be like in age of social media? Follow @LizMSuckow to find out. Countdown is T-28 hou…",28,0
"@esa_es @apod_es Waow!",0,0
"RT @Astro_Alex: ...I am glad the #Moon ended up being round again, much nicer that way #BlueDot http://t.co/PxCleo1Psv",158,0
"@georgina_lanel not right now but there are opportunities through our parabolic flight programme http://t.co/tbgh0Rqsdp",0,1
"@andypandy70 @FIAFarnborough taken early this am before the crowds",0,0
"RT @esa_artes_apps: Have you visited us yet at #SpaceZone stand SZ221?  Tomorrow 2nd full day: http://t.co/aMxzl4JL0r   #FIA14 #Space4biz h…",4,0
"Space to innovate - new images from day 1 in the #spacezone @FIAFarnborough #FIA14 http://t.co/hqD6mZBAPv http://t.co/nmlD3qG2kH",10,12
"RT @esaoperations: #ATV5 launch in miniature on @Arianespace #Ariane5 scale-model http://t.co/3ODxJaH2k3 http://t.co/JshE4la4mj",12,0
"RT @esa_artes_apps: The future of air traffic control - a hands-on demo at the ESA #SpaceZone stand #FIA14   Story http://t.co/oPttPq7PsN h…",13,0
"Some first images of the ESA panels in the #spacezone at #FIA14 http://t.co/AtexN2QdaS http://t.co/oG1APiDlPm",6,6
"@mattiashofficus guess we can't play?",0,0
"RT @SungrazerComets: Jupiter is now beginning its ~annual trek across @ESA/@NASA SOHO/LASCO C3. Some moons may be visible in coming days! h…",53,0
"Next up in the #spacezone at @FIAFarnborough - Amazon: Real-time satellite-based telemedicine service, starts at 14:00 #FIA14",4,0
"Alphasat 1:1 model at Farnborough International Airshow. Come and see us in the #Spacezone #FIA14 http://t.co/ar45y5si7T",12,14
"RT @SatAppsCatapult: Register now for @ESA's App Camp! The goal of App Camp is to produce mobile apps using Earth observation data. http://…",10,0
"@Cobham_plc @LockheedMartin ESA astronauts also go to ISS on European missions - @Astro_Alex is there right now, soon @astro_timpeake",0,0
"RT @spacegovuk: Seminar today at 12:15 in the #SpaceZone @FIAFarnborough 'Satellites against organised crime' #FIA14 @SatAppsCatapult",5,0
"RT @Astro_Alex: Have a great #14juillet, my friends in France and at ESA HQ / Bon #14juillet à mes amis francais!  @ESA_fr http://t.co/GlhF…",194,0
"Beginning now in the #spacezone at #FIA14 - space services benefits in aviation systems",3,1
"RT @SatAppsCatapult: #FIA14 #SpaceZone Seminar Starting: 11:00 - 'S2BAS - Space Services bene?ts in Aviation Systems' on @ESA's Stand (SZ22…",2,0
"RT @esa_artes_apps: Now at ESA stand SZ221 - #FIA14 #SpaceZone - Satellite-based aviation services for small and regional airports - 10:00-…",6,0
"@LiNa8294 You'll find the @ESAExhibitions team as well as @esa_artes_apps and @ESA_history (not me)",0,1
"@LiNa8294 @ESAExhibitions @esa_artes_apps Come and say hi in the #spacezone at #FIA14",0,1
"@Cobham_plc @LockheedMartin @NASA @Cobham and ESA ; )",0,0
"RT @Astro_Alex: In these photos, the #Moon was still behind the horizon. A #FataMorgana of atmospherical refraction #BlueDot http://t.co/ah…",379,0
"Searching for gamma-ray bursts, among brightestl events in the Universe @ESA_Science IOW http://t.co/U4M2pyA9Lg http://t.co/IrCkIM9O6J",53,53
"Heading for #FarnboroughAirShow today? Here's @ESAexhibitions #FIA14 programme , follow #spacezone + @esa_artes_apps http://t.co/WaqfO6wClz",2,2
"RT @Astro_Alex: Just like our @DFB_Team_EN I have fantastic support from my crew. Congrats from #ISS to the #WorldChamp. Great game! http:/…",1834,0
"RT @astro_luca: Congratulations Germany! What a great game :) I'm sure @Astro_Alex is floating happily with pride right now!",125,0
"@BSRJersey bring them on ; )",0,1
"RT @Astro_Alex: Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/HP2JwNrgTw",3185,0
"@UgoQuinzi @Astro_Alex @DFB_Team_EN thanks for spotting",0,1
"0-0 RT @Astro_Alex: Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/dJlQEQRd4R",12,12
"1 billion people around the world watching #GERARG right now, but how does it reach your TV?  https://t.co/9a3z22JzIK",32,24
"@GrumpyMrRedNeck @SungrazerComets @ESA_Rosetta tomorrow we're all science ; )",0,0
"#GERARG from space RT @astro_reid: Watching #WorldCup finals with @astro_alex and our #Exp40 crew. Great game so far! http://t.co/fohUQKbCYi",16,4
"RT @SungrazerComets: But SOHO comets are small. The @ESA_Rosetta target, #67P, is MUCH bigger; over 1,000 #WorldCup final stadiums could fi…",15,0
"RT @Astro_Alex: .@DFB_Team_EN performance has been super! If Germany wins, I dedicate 11 #ISS orbits of Earth to the German team! ;-) #worl…",92,0
"@dorigenhammond @glenlaker @AlistairFruish hmmm, check with @NASA, hard to take those boots off without noticing",0,1
"@politicalbore @Astro_Alex has a football shirt on today …but its not Stoke City ...",0,0
"RT @esaoperations: Supporting #GER and #ATV5 MT @Astro_Alex: Sasha and I will be watching over the arrival of #ATV5 on this command post ht…",51,0
