tweet,retweetsCount,favoritesCount
"Олег Артемьев: 'Я считаю нашу станцию МКС эстафетной палочкой мира и дружбы, которая перешла от 'Союз-Аполлон'!' http://t.co/qVmS0497z8",12,6
"39 лет назад состоялся старт первого международного космического проекта - пуск космических кораблей Союз19 и Аполлон http://t.co/H2Wwt6pVMs",33,16
"Международная космическая станция пролетает над Камчаткой. Фото космонавта Олега Артемьева. http://t.co/zlTSwjOMDO",26,9
"14 лет назад ракета-носитель «Протон-К» вывела на околоземную орбиту российский служебный модуль МКС «Звезда». http://t.co/bd3UEjQw9J",30,16
"10.07.2014, 22:55 мск - с площадки космодрома Куру(Французская Гвиана) осуществлен пуск РН«Союз-СТ-Б» с КА «О3b». http://t.co/OHBbe1e57t",136,38
"9 июля 2014,16:00 - пуск ракеты космического назначения легкого класса «Ангара-1.2ПП» с космодрома Плесецк: http://t.co/pJpkUUz8SB",23,5
"Космонавты завершили тренировки по подъёму на борт вертолёта, находящегося в режиме зависания: http://t.co/RlW3xhx2RV http://t.co/K1sa3iofqO",18,4
"Видео пуска ракеты-носителя «Союз-2.1б» с космическим аппаратом «Метеор-М»№2 и шестью малыми КА (08.07.2014,19:58) http://t.co/mZgwphUVKn",19,7
"Презентационный ролик Роскосмоса для международного авиакосмического салона 'Farnborough International Airshow 2014'. http://t.co/tLdgiLrhaq",17,13
"Отделение малых космических аппаратов прошло штатно и в расчетное время. Спутники переданы на управление заказчикам. http://t.co/jWxjSb3JZV",18,5
"Космический аппарат «Метеор-М» успешно выведен на целевую орбиту http://t.co/RjOLQy69KJ",15,4
"С космодрома Байконур выполнен запуск космического аппарата «Метеор-М» № 2 http://t.co/P6VqfrOGas",20,2
"На космодроме Байконур госкомиссия приняла решение о готовности ракеты-носителя «Союз-2.1Б» к пуску, который запланирован на 19:58мск 8 июля",12,4
"Видео подготовки ракеты-носителя «Союз-2.1Б» с КА «Метеор-М»№2 к пуску, который запланирован на 19:58 мск 8 июля http://t.co/5dUXSkUMl3",16,7
"Ракета-носитель «Рокот» вывела на орбиту блок космических аппаратов «Гонец-М» http://t.co/PFeDcwQadM",17,3
"Начались тренировки экипажей космических кораблей по действиям после посадки на водную поверхность http://t.co/hReGqTBtJw",11,3
"Космическая кардиология на службе здравоохранения http://t.co/LIyT7Nt2ni",7,1
"Подготовка к запуску космического аппарата «Метеор-М» осуществляется в соответствии с графиком http://t.co/GcwQtnuXUX",7,0
"Выходной люк стыковочного отсека «Пирс» закрыт - космонавты Александр Скворцов и Олег Артемьев завершили выход в открытый космос в 01:34мск",5,6
"19.06.2014 в 18:10мск бортинженеры МКС А.А.Скворцов и О.Г.Артемьев приступили к выполнению работ в открытом космосе http://t.co/iA1ZnrgYpK",31,12
"На Байконуре идет подготовка к запуску КА «Метеор-М» №2 и малых космических аппаратов:http://t.co/0hGnJdHEQk http://t.co/cHTy4TU8dH",14,4
"Сегодня в 17:50 мск Александр Скворцов и Олег Артемьев осуществят выход в открытый космос продолжительностью~6ч.26мин http://t.co/3TAq7EMIu6",19,4
"Космонавт Олег Артемьев предоставил нам возможность насладиться видом на Землю из модуля МКС 'Cupola':http://t.co/Z9jiSivaXr",31,12
"До выхода в открытый космос осталось всего 3 дня!О подготовке читайте в блоге Олега Артемьева: http://t.co/ld7UV2z5yo http://t.co/NE7tLMA26s",22,7
"16.06.1963г. в 12:30 на орбиту был выведен корабль «Восток-6», впервые пилотируемый женщиной – Валентиной Терешковой! http://t.co/ldJLNB1trN",88,40
"Олег Артемьев: 'Поздравляю всех 'орлят', вожатых и сотрудников ВДЦ 'Орлёнок' и лагеря 'Звездный' с 50-летием!' http://t.co/bl99L6pN25",17,11
"14 июня в 21:17 по мск с космодрома «Плесецк» выполнен пуск ракеты космического назначения «Союз-2.1б» с космическим аппаратом «Глонасс-М».",26,14
"Рассвет и «Рассвет». Фото космонавта Олега Артемьева. http://t.co/dFBR0s5ZXB",53,34
"Космонавт Олег Артемьев: 'Поздравляем всех соотечественников, где бы они не находились, с Днём России!' http://t.co/Xr5FZvsHDb",36,21
"'Россия. Взгляд из космоса'. Фотография космонавта Фёдора Юрчихина. http://t.co/wV9UOdUQPF",48,24
"Экипаж российского сегмента МКС поздравляет с Днём России! http://t.co/urbw046jeA",14,5
"В 21:23 минуты по мск в южной части Тихого океана произведено затопление несгораемых остатков ТГК «Прогресс М-21М». http://t.co/xAs3rCKylK",18,7
"Сегодня в 17:30 по мск Транспортный грузовой корабль «Прогресс М-21М» отстыковался от служебного модуля МКС «Звезда». http://t.co/ckmarWfW8j",20,8
"Руководитель Роскосмоса Олег Николаевич Остапенко прибыл с рабочим визитом в Крым: http://t.co/kuH7ogAU4e",4,3
"Космонавт Олег Артемьев прислал небольшое видео с МКС! Не каждый может похвастаться таким видом из окна на работе: http://t.co/OfCHuBMP0p",54,17
"Александр Скворцов и Олег Артемьев начали подготовку к выходу в открытый космос, который запланирован на 19 июня: http://t.co/4RgVtGQGWF",8,4
"25.06.2014г. запланирован первый пуск испытательной ракеты-носителя легкого класса «Ангара» с космодрома «Плесецк»: http://t.co/bt6t5uDp9d",25,9
"Роскосмос провел оперативную съемку районов наводнения в Алтайском крае: http://t.co/ca4pf4oBDO http://t.co/ZflDc7dn4f",10,2
"Роскосмос и космонавты российского сегмента МКС поздравляют Байконур с 59-летием! http://t.co/WFFQhVDq34",31,10
"Сегодня Алексей Леонов - первый человек, вышедший в открытый космос, празднует свой 80-летний юбилей! http://t.co/hyas3gaDZ2",46,17
"Для тех, кто еще раз хочет услышать традиционное 'Поехали!' от Максима Сураева - видеозапись запуска «Союз ТМА-13М» http://t.co/WTMxRefTmn",20,18
"Пилотируемый корабль «Союз ТМА-13М» успешно пристыковался к МКС в 05 час. 44 мин. 04 сек. по московскому времени! http://t.co/jGPf7aMe0q",34,22
"С космодрома Байконур произведен успешный пуск ракеты космического назначения «Союз-ФГ» с ТПК «Союз ТМА-13М»! http://t.co/MG1nPOxTFm",65,28
"Экипаж транспортного пилотируемого корабля «Союз ТМА-13М» прибыл на стартовую площадку http://t.co/xQdB72sKwD",12,8
"На космодроме Байконур госкомиссия приняла решение о готовности ракеты-носителя «Союз-ФГ» к заправке компонентами топлива и пуску.",6,1
"Выход космонавтов из гостиницы под песню группы Земляне. Экипаж переезжает для процедуры одевания скафандров! http://t.co/jILe3BlDnA",28,17
"Максим Сураев: 'Это была мечта - полететь в космос. Мысли материальны!' До старта экипажа МКС-40/41 меньше 12 часов! http://t.co/YMn2YPxFHc",25,10
"Госкомиссия утвердила состав экипажа 40/41ой экспедиции на МКС - это Максим Сураев, Рид Вайзман и Александр Герст http://t.co/BxrLjerhLV",20,12
"На космодром Байконур прибыл космический аппарат «Экспресс-АМ6». Запуск запланирован на начало июля. http://t.co/GuHehB7DGJ",10,3
"Успешный запуск космического аппарата «Евтелсат-3Б» http://t.co/K9WPEcvyvk",11,2
"Ракета-носитель «Союз-ФГ» с пилотируемым космическим кораблём «Союз ТМА-13М» вывезена на «Гагаринский старт». http://t.co/QkyREPQQw5",67,46
"Техническое руководство приняло решение о готовности к вывозу 26 мая на стартовый комплекс ракеты-носителя «Союз-ФГ» с ТПК «Союз ТМА-13М».",11,4
"Подавляем с Днём рождения Максима Сураева-командира'Союз ТМА-13М', до пуска которого всего 4 дня! Здоровья и счастья! http://t.co/wgLamfmHiy",39,19
"Олег Артемьев: '48 лет назад был основан Отряд гражданских космонавтов ЦКБЭМ (сейчас РКК 'Энергия'). С праздником!' http://t.co/O2j6yGkvOq",21,6
"На космодроме Байконур продолжается подготовка к космическому полёту основного экипажа ТПК «Союз ТМА-13М». http://t.co/dFjijm7gMG",24,11
"В монтажно-испытательном корпусе Байконура продолжается подготовка ТПК 'Союз ТМА-13М' к запуску по программе МКС:  http://t.co/9V8ga0T2YY",17,8
"Сегодня экипаж МКС-40/41 по традиции посадил деревья на Аллее космонавтов. До старта «Союз ТМА-13М» осталось 7 дней! http://t.co/4D5lTyO8Zi",23,14
"На Байконур доставлен РБ «Фрегат» и малые космические аппараты для подготовки к запуску с метеорологическим спутником «Метеор-М» №2.",8,2
"@pozdeevvo РН «Союз-2.1а»",0,0
"Космический аппарат «Фотон-М» № 4 доставлен на Байконур: http://t.co/CuXOn95hQc Запуск запланирован на 18.07.2014 http://t.co/0qKpzH5hfA",11,6
"Роскосмос провел оперативную съемку района наводнения в Сербии в целях ликвидации последствий и оценки ущерба. http://t.co/PeCHq094Dq",21,3
"«DRAGON» в свободном полёте - новая запись Олега Артемьева в блоге 'Почтовый ящик МКС': http://t.co/kSCDqCHfxd http://t.co/mOhaHxAv1Y",34,11
"Космонавты РС МКС ведут работу по эксперименту «Матрешка-Р» - изучение распределения доз радиации в теле космонавта: http://t.co/8Q6iiYssqs",15,6
"Космический аппарат «Глонасс-М» доставлен на космодром 'Плесецк'. Запуск намечен на 14 июня. http://t.co/e7KrzPSTnm",18,6
"Блог 'Почтовый ящик МКС' возобновляет работу. Олег Артемьев о расстыковке «Союз ТМА-11М»: http://t.co/tXoYF58CYS http://t.co/RmpduWEmE7",22,14
"На космодром Байконур прибыли основной и дублирующий экипажи ТПК «Союз ТМА-13М». Пуск запланирован на 28 мая. http://t.co/3E1023N1b6",25,16
"'Союз' вернулся! Видео с места посадки ТПК «Союз ТМА-11М» в программе 'Космическая среда' http://t.co/paJY3AEz9f",9,13
"Сегодня в 5.57 по мск экипаж ТПК «Союз ТМА-11М» вернулся на Землю! Посадка прошла в штатном режиме. http://t.co/N5IrTgF5sf",51,19
"@al62278 для отслеживания полета ракеты у нас есть Наземный измерительный комплекс, в его составе целая сеть измерит.пунктов по всей России",1,1
"Ракета-носитель «Протон-М» с КА «Экспресс-АМ4Р» вывезена на стартовый комплекс. Пуск запланирован в 01:42 мск 16 мая. http://t.co/CnPoXtiITB",40,18
"Ведущие организации ракетно-космической промышленности России примут участие в выставке «ILA Berlin Airshow 2014» http://t.co/trDOgnoLKX",11,4
"Открыта аккредитация представителей СМИ на мероприятие, связанное с посадкой экипажа 39й длительной экспедиции на МКС:http://t.co/ESuV4K94pf",6,4
"Экипаж 39-й экспедиции на МКС готовится к возвращению на Землю. Расстыковка «Союз ТМА-11М» с МКС намечена на 14 мая http://t.co/yFK4qx7Cyr",28,24
"Космонавт Олег Артемьев: 'Мы в 'космическом танке' на крайнем витке Дня Победы! Еще раз с Днем нашей Великой Победы!' http://t.co/zgNvlBRrVP",25,24
"Российские космонавты поздравляют всю страну и конечно же дорогих ветеранов с Днём Победы! http://t.co/SJDzAwGyn4",20,7
"Предполетная пресс-конференция экипажей МКС-40/41. Старт космического корабля «Союз ТМА-13М» запланирован на 28 мая http://t.co/vuxXUJ8nBI",4,5
"Анды - самая длинная (9000 км) и одна из самых высоких горных систем Земли с высоты МКС. http://t.co/M9mAtOr0DN",31,15
"Так празднуют День рождения на МКС! 6 мая космонавту Роскосмоса, Герою России Александру Скворцову исполнилось 48 лет http://t.co/QzVgwEXn2N",24,11
"Экзаменационная тренировка основного экипажа МКС-40/41. Перед началом выполнения задач экипаж ответил на вопросы СМИ http://t.co/lQRHLS4LPD",7,3
"«Серебристые облака» - фото Фёдора Юрчихина. Наблюдать их возможно только после захода солнца или перед его восходом. http://t.co/8OcO5jCJBl",32,18
"Экипажи МКС-40/41 подошли к самому ответственному этапу подготовки – комплексным экзаменационным тренировкам. http://t.co/V6Cssnlgu2",17,10
"Объявлена аккредитация на предполетную пресс-конференцию экипажей МКС-40/41 http://t.co/YFZee4PJPv",3,1
"Роскосмос планирует провести более 10 пусков в ближайшие три месяца  http://t.co/LfClCh8qjY",10,3
"Самый северный из действующих вулканов Камчатки - Шивелуч. Вид с борта МКС. http://t.co/LkULQXwkh3",49,25
"В ракетном Центре им.Хруничева идет работа над новой ракетой-носителем «Ангара». Первый запуск запланирован на июнь  http://t.co/8FmbwlFyYi",37,9
"В новом выпуске программы «Космическая среда»: «Протон» вывел «Луч»; фильм астрофотографа; Меркурий-«Мессенджер» http://t.co/XCHEqxmJl8",3,4
"Хотите знать чем питаются российские космонавты на МКС? http://t.co/QwwcEnzy06",9,6
"Высота орбиты полета МКС увеличена на 2,15 км. с целью создания оптимальных условий стыковки с ТПК «Союз ТМА-13М».",13,6
"Космические аппараты 'Луч-5В' и 'КазСат-3' успешно выведены на расчетную орбиту!",15,6
"Процесс стыковки ТГК «Прогресс М-21М» с МКС во время проверки новой системы сближения «Курс-НА» (25.04.2014г.) http://t.co/c9dqtWXP7y",19,9
"Видеозапись запуска ракеты «Протон-М» с космическими аппаратами «Луч-5В» и «КазСат-3» с космодрома Байконур http://t.co/CoiZXrjUgg",13,7
"Сегодня ракета «Протон-М» с космическими аппаратами «Луч-5В» и «КазСат-3» стартовала с космодрома Байконур http://t.co/HIrTG2i3Xz",43,22
"В новом выпуске программы 'Космонавтика': крымские астрономы зафиксировали рекордное количество пятен на Солнце. http://t.co/iAJ9PIVumU",7,3
"Недавно на юге Перу активизировался вулкан Убинас, а вчера он попал в объектив космонавта Олега Артемьева http://t.co/q5jVGUilte",34,20
"Основной и дублирующий экипажи МКС-40/41 «прожили типовые полетные сутки» на тренажере российского сегмента МКС. http://t.co/uNJ8SwFnMO",21,19
"С 25 апреля Роскосмос официально присутствует в соцсети ВКонтакте: http://t.co/Y9Afd5xXpz http://t.co/WBzX03WLrV",16,7
"На Байконуре идут работы второго стартового дня по подготовке к пуску РН «Протон-М» http://t.co/NclgpSLh7h",6,1
"Смотрите эксклюзивное видео: вывоз ракеты-носителя 'Протон-М' на стартовый комплекс https://t.co/BcxGpWyJMr",16,4
"Итоги акции 'СМС на МКС': космонавты получили ваши поздравления и в ответ прислали видеопослание https://t.co/R7Epu5huiI",6,1
"Смотрите новый выпуск еженедельной интернет-программы «Космическая среда» телестудии Роскосмоса http://t.co/snqlTEV9lp",5,2
"Ракета-носитель «Протон-М» доставлена на стартовый комплекс площадки 81 космодрома Байконур и вертикализирована. http://t.co/U38MdQrHfC",29,19
"Ракета-носитель «Протон-М» с космическими аппаратами «КазСат-3» и «Луч-5В» вывезена на стартовый комплекс. Пуск запланирован на 28 апреля.",5,1
"Организации Роскосмоса принимают участие в VIII Международном навигационном форуме и выставке Навитех-2014. http://t.co/zczv4Z8gMp",4,4
"Принято решение о вывозе ракеты-носителя «Протон-М» с космическими аппаратами «КазСат-3» и «Луч-5В» на стартовый комплекс.",5,4
"Роскосмос подписал с Росмолодежью соглашение о сотрудничестве в сфере молодежной политики. http://t.co/mz9UEmmnJq",14,4
"ЦНИИмаш и СПбГПУ договорились о сотрудничестве в научно-технологической сфере и в подготовке специалистов. http://t.co/EtZprcIGfw",3,0
"24 апреля в ИТАР-ТАСС состоится пресс-конференция с руководителем Роскосмоса Олегом Остапенко и генеральным директором ОРКК Игорем Комаровым",2,1
"Роскосмос принял участие в Международной конференции «Космическая съемка – на пике высоких технологий» http://t.co/jm0KyxQCpN",3,2
"Сегодня в соответствии с программой полёта ТГК «Прогресс М-21М», состоялась его расстыковка с МКС. http://t.co/CHIeZ7cYHi",11,3
"В Ярославле заложена именная звезда лётчика-космонавта А.Г.Николаева http://t.co/Lw1eECAtSy",6,1
"На техническом комплексе завершается подготовка РН«Протон-М» к предстоящему запуску КА «КазСат-3» и «Луч-5В». Запуск намечен на конец апреля",4,2
"Роскосмос признан полноправным членом международной Хартии по космосу и крупным катастрофам http://t.co/UKhBzJdawX",6,4
"Экипажи МКС-40/41 приступили к сдаче экзаменационной сессии http://t.co/LGNjfOUIdN",12,5
"Более тысячи поздравительных открыток и писем космонавтам подготовили маленькие жители города Томска и Хакасии http://t.co/NG6ZbsLGwJ",7,3
"Самые высокие технологии: где и как создают российские космические спутники. https://t.co/zPi3nH2nk8",16,7
"Юрий Лончаков: 'Международная напряженность на Земле не помешала слаженной работе международного экипажа МКС' http://t.co/XUJhow5xzS",9,4
"Российский коммуникационный космический аппарат Экспресс-АМ4Р доставлен на Байконур. Пуск запланирован на май 2014 г. http://t.co/GK2y7FXt3b",33,13
"На космодроме Байконур приступили к работам по подготовке к запуску космического аппарата «Метеор-М» №2 http://t.co/sO4MjE7zzo",10,6
"'Оранжерея на орбите': новый сюжет телестудии Роскосмоса об экспериментах на орбите http://t.co/tACIFZJwHB",3,1
"#космоселфи космонавта Романа Романенко и учеников Школы №170 им. Чехова. To be continued... http://t.co/ds4nxN9dfU",11,9
"Смотрите в новом выпуске программы 'Космическая среда': -День космонавтики в метро. -Вижу Марс. -«Сентинел» увернулся http://t.co/m7pf6OYUaf",7,5
"16 апреля в 20:20 мск со стартового комплекса космодрома Байконур был произведен успешный пуск РКН «Союз-У» с КА «Иджипсат».",8,1
"Дмитрий Рогозин и Олег Остапенко проинспектировали объекты строящегося в Амурской области космодрома «Восточный». http://t.co/jnR6Rq8zrp",24,6
"Госкомиссия разрешила транспортировку КА«Метеор-М»№2 на Байконур для подготовки к запуску. Пуск запланирован на 19.06.http://t.co/gvWwXa9hQb",5,1
"Ракета космического назначения «Союз-У» с космическим аппаратом «Иджипсат» вывезена на стартовый комплекс http://t.co/k4nlfGteCg",10,3
"На Байконуре продолжается подготовка к пуску РКН «Протон-М» с кластером из двух спутников – «Луч-5В» и «КазСат-3». http://t.co/7jXHi9odIl",3,1
"Какие научные программы Роскосмоса вскоре будут реализованы на орбите? Ответ в интервью Олега Остапенко для Москвы 24 http://t.co/RrTEe6ek3I",10,4
"Космонавт Олег Артемьев на борту МКС принял участие в акции 'Тотальный диктант' http://t.co/b4K2Q2F81I",29,13
"ТГК «Прогресс М-21М» скорректировал орбиту МКС http://t.co/wFau8FEgqV",5,1
"53 года назад благодаря выдающимся умам, работе тысяч ученых и инженеров впервые в мире человек достиг орбиты Земли: http://t.co/s6WUmXtNu7",49,16
"В ИТАР-ТАСС прошел видеомост 'Москва-Петербург-Екатеринбург-Новосибирск', приуроченный ко Дню космонавтики. http://t.co/0daBNTPF6T",5,4
"RT @KremlinRussia: Владимир Путин посетил Мемориальный музей космонавтики в Москве и принял участие в сеансе связи с экипажем МКС http://t.…",69,0
"Космонавты Роскосмоса поздравят всех пассажиров Московского метрополитена с Днем Космонавтики http://t.co/Crgncywr2c",14,1
"'Урок из космоса' - совместный проект Роскосмоса и Минобрнауки России. Тема сегодняшнего урока 'Физика невесомости': http://t.co/MJT24d5Nk2",34,19
"Видео пуска ракеты космического назначения 'Союз-У' с транспортным грузовым кораблем «Прогресс М-23М»: http://t.co/oMQ6MV85k6",10,4
