tweet,retweetsCount,favoritesCount
"RT @Astro_Alex: Gas field in Kazakhstan. I could see the flames from orbit even in daylight. #BlueDot http://t.co/KhNoekWs9r",304,0
"RT @Cmdr_Hadfield: Lasers on Mars - you can watch the plasma plume. The light spectrum reveals rock chemistry https://t.co/jzLfCN1jOG http:…",95,0
"RT @Astro_Alex: Amazingly, the Aleutian #volcanoes beneath clouds generate similar wave patterns to ships on water - over 1000s of km http:…",327,0
"RT @AstroSamantha: Fire, depress, ammonia. Added pics from our six-person emergency simulation here:  https://t.co/2fwDWYAUw6 @futura42 htt…",15,0
"RT @AstroSamantha: L-115: Logbook. How the gas mask works.. and how it got better! https://t.co/bHVBSy7aKJ #SamLogbook #futura42 http://t.c…",16,0
"RT @Astro_Alex: Troubled sky. Periphery clouds of Typhoon #Halong in the West Pacific. http://t.co/lFzCkIxstm",299,0
"RT @JAXA_jp: [JAXA's +] JAXA's 最新057号 配信開始！ http://t.co/Jc1EMrwKBP",20,0
"RT @FanFunJAXA: 生放送、やります！！！小中学生の疑問質問、募集します！！！！　｜　JAXA TV 特別番組「ファン！ファン！JAXA！生放送　今日はとことん答える60分」質問大募集 |  http://t.co/RXvtuiq1wW",70,0
"RT @NASA: Space Station Update: #Exp40 crew studies flames in space while #ATV5 coasts to #ISS: http://t.co/xyie6WvM80   http://t.co/V69SuJ…",483,0
"RT @Astro_Soichi: ８／３夜９時のワンダフルライフに出演します！   http://t.co/R768qXIMJV",93,0
"RT @jnmatthew: A video summary of @AstroSamantha and her training in Houston. http://t.co/eTWHRy8hQz",6,0
"RT @jnmatthew: Footage of my team training @AstroSamantha @AstroTerry and crew on #ISS emergency response. http://t.co/0e8rJuzT4o",4,0
"RT @astro_reid: Good morning from 1,394,357 feet up. http://t.co/XI0BE3xEkL",1094,0
"RT @ISS_Research: Check out the latest @NASA #ISS expedition lead scientist's @ISS_Research recap: http://t.co/tvH2OIOvJd",11,0
"RT @NASA_Astronauts: #Exp40 studies flames in space as @ESA's #ATV5 makes slow trek to #ISS for tests... http://t.co/evvTjp1dEr http://t.co…",34,0
"RT @Astro_Alex: Icebergs between #Canada and #Greenland. #BlueDot http://t.co/zju8UQ66l0",210,0
"RT @Astro_Kimiya: ソユーズのマニュアル・コントロールでのドッキングとマニュアル・コントロールでの帰還のシミュレータの後、ISSの熱制御系システムの試験を受けました。全て順調で、技能・知識の他、ロシア語についても褒めて頂き、少し嬉しかったです。でも、順調な時ほど…",18,0
"RT @Astro_Alex: Had a great night pass over Bella #Italia, with #Etna's lava glowing red! #BlueDot http://t.co/ioxlDqvZiB",462,0
"RT @AstroSamantha: Another regular summer day in Star City today with @AstroTerry and @AntonAstrey . #futura42 #exp42 #exp43 http://t.co/Sg…",24,0
"RT @NASA: Want to cover the building of our new heavy-lift rocket Sept 12? Register for a #NASASocial:  http://t.co/yQ7740sUcM http://t.co/…",355,0
"RT @NASA: Two new ways to see Earth's forests headed to the ISS. http://t.co/i94X5TK6Ej #EarthRightNow @ISS_Research  http://t.co/6CCSB8mkIS",573,0
"RT @astro_reid: Baja Peninsula south of San Diego to Detroit, Michigan in 7 seconds of #SpaceVine #TimeLapse https://t.co/bI0yT8ZWUj",939,0
"RT @Cmdr_Hadfield: Cool flame - unexpected discovery up on Space Station that can affect fuel efficiency in cars http://t.co/h7kMi7Gf2n htt…",228,0
"RT @Astro_Alex: The road to EVA. #Swanny &amp; @astro_reid preparing our space suits for the upcoming space walks. http://t.co/DqBcNWiYgc",117,0
"RT @Astro_Alex: Who has a question for me? I'll answer live at the #SocialSpace in Cologne. #CallAlex http://t.co/2EY64bHxXs",46,0
"RT @Astro_Alex: Isn't she beautiful? #BlueDot http://t.co/kw3pKf4p72",659,0
"RT @JAXA_jp: [宇宙ステーション・きぼう広報・情報センター] 「きぼう」の利用状況と今後の予定 http://t.co/py4wkuDgC2",21,0
"RT @JAXA_en: [Broadcast] Thursday, July 31, 2014  10:30 - 17:00 Space Exploration Symposium 2014. http://t.co/OXYnxbOE59",10,0
"RT @JAXA_jp: 【本日 10:30～17:00 ライブ中継配信！国際宇宙探査シンポジウム2014】 国際的な宇宙探査活動の未来が見える本シンポジウム。 7月31日（木） 10:30～17:00 、インターネットライブ中継を行います。 http://t.co/shelY…",53,0
"RT @NASA: #NEEMO18 aquanauts complete underwater mission. How it benefits spacefarers: http://t.co/omQrxCvD6e   @NASA_NEEMO http://t.co/grp…",366,0
"RT @NASA_Astronauts: #NEEMO18 splashes up Tuesday at 11:40a ET completing tests benefiting future #ISS crews... http://t.co/SMJP5CBzBG  htt…",33,0
"RT @NASA_Astronauts: #Exp40 works on spacesuits and science while @ESA's #ATV5 orbits Earth on way to #ISS. http://t.co/HKw98FjSrk  http://…",38,0
"RT @AstroSamantha: Congrats Anne! And very true. RT @AstroAnnimal: A salute to all who got me here. You can't achieve your dreams alone htt…",42,0
"RT @AstroSamantha: And here's @Astro_Suni giving you a video tour of the #space toilet and how it all works!  http://t.co/3k9iSfQxJh http:/…",22,0
"RT @Tungsten_Flight: . @astro_luca is CAPCOM for me in a simulation.  Strange to hear him talk to me without a quindar!  @esa http://t.co/p…",23,0
