tweet,retweetsCount,favoritesCount
"Check out my new kicks--prepping for tomorrow.  Early Happy B-Day to my beloved U.S.A.!! http://t.co/u6qKLbYoNM",4,12
"Honor to visit Arrowhead today for Silver Snoopies- what an incredible team they have! http://t.co/liqYdZkQb8",2,5
"Spoke @ Intl Science fair today- 1700 crazy smart kids-the future is bright! http://t.co/KsJNIii1iV",4,7
"@ the Cape for mtgs &amp; saw this magnet on fridge in Astro quarters--used to be 1 of my favorite shows! http://t.co/s3SWk06c6K",2,10
"RT @MileHighReport: ISS astronaut rocking the @johnelway jersey on @nflnetwork, I like your style. http://t.co/RUNGLHzTIO",47,0
"@mfischer_ Morgan that is awesome - I'll put it on my list of must do's!",0,1
"@LiNa8294 no, it's from dr. Seuss, my first squadron already had a Fischer, so 1 fish, 2fish...",0,1
"@sharonbrunton nope, still waiting.  Bandit and I are doing well though.",0,0
"@hpforrest Helen, I've been working commercial crew- can't post most of that stuff until we get a contractor selected-should happen in SEP.",0,0
"@PaycomPenny @AstroDot @coschoolofmines - Sounds wicked cool Penny!  Tell them hello from Texas!",0,0
"@Carbon_Flight @astro_ricky I think mine is running out of juice...we need to find some more lucky ties!",0,1
"Congrats to the Ground team and ISS crew on getting the SpaceX-3 Dragon on board the Space Station! http://t.co/B8riwctu2N",19,35
"Here's a toast to my friend Cools &amp; the brave men &amp; women of the U.S. Military:  http://t.co/SUVBEoDxDL via @aerotechnews",2,2
"RT @vr_doug: @Astro2fish performing ISS EVA/Robotics procedure development, 'virtually in 3D'! http://t.co/wr7ZWqjbRd",3,0
"Beautiful morning for flying-good luck to our Olympians! #GOTeamUSA http://t.co/pPiHw2iY3z",2,8
"Gave a NBL tour to #USAFA Cadets Friday--future Air Force leaders &amp; space explorers--Go Falcons!! http://t.co/x3ZpNflvhs",2,5
"@BenGarland63 Great! Just let me know if you can &amp; I'll set it up. Thanks for representing AF &amp; Broncos so well-keep up the fantastic work!",0,1
"@BenGarland63 Pt2, an Astro in Houston--Let me know if you come through--I'd love to show you JSC. Sorry about SB-but Bronc fans are forever",0,0
"@BenGarland63 Ben, Part 1-flying back from SB48 &amp; read an article about you--Awesome. USAFA grad too ('96), born &amp; bred Broncos fan, now I'm",0,0
"#SB48 Wow, that didn't go like I wanted.  Oh well, I still love my Broncos. We'll be back next year... http://t.co/zRmtw9Zuc2",3,8
"Me and my brothers in Time Square--ready for #SB48-Go Broncos!! http://t.co/I0zIYB5RVF",4,15
"Checking out NYC- what a cool town @ Freedom tower--Go Broncos #SB48!! http://t.co/hhhRUaSpw6",1,11
"On my way to #SB48 through Milwaukee &amp; found that cheese heads are all shapes &amp; sizes... Go Broncos! #WhosGonnaWin http://t.co/ISmsvzDQmC",0,4
"@Astro2fish #WhosGonnaWin #SB48 ? Well the Denver Broncos of course!! Go Get 'em BRONCOS!!",1,1
"Check out how folks fly to Nebraska from Denver's Airport--that's cool! http://t.co/BXDGsXwuzE",9,7
"@minlarrycornel You bet - I definitely will!",0,1
"Leave Saturday to NJ to support my Broncos @ #SB48 - #WhosGonnaWin - BRONCOS!! http://t.co/tc8hbvk7xS",5,6
"@hpforrest Absolutely Helen - I'll take a bunch along the way…",0,0
"@bremontmilitary sweet watch - looks like a mud-hen 15E - love that plane!",0,0
"@i_we_gaia Thanks!",0,1
"@NASAhistory @astro_kjell Thanks - and Happy Birthday to my classmate @astro_kjell!",0,2
"@BremontMilitary Very cool watch! I took part in the T-3 program, I think in '95.  Were you a T-3 IP too?",0,0
"RT @ESA_CAVES: Blessed by light #NotTheUsualSight #speleo http://t.co/rllzWy6ntp",6,0
"@hpforrest Oh - and GO BRONCOS!!! For a Coloradan born &amp; bred - you kind of have to bleed orange...",1,0
"@hpforrest This is cool-after 50yrs as season tkt holders @ both Mile-Highs, my brother finally won ticket lottery &amp; I'm going to SBXLVIII!",1,0
"@BremontMilitary @Bremont Cool to meet you, sorry for the slow response.  Eagle driver and Zoomie - sounds great to me!",0,0
"@SolarCrusader Back at you Dave!  Happy New Year a little late...",1,1
"@ESA_CAVES @Astro_Jeremy @Astro_Satoshi @astro_paolo @Paolo_Marcia Get that Bug!",2,2
"@hpforrest Sorry Helen, I don't check too often and have been knee-deep in boring meetings--I'll post when I get back to cooler stuff!",1,1
"RT @ESA_CAVES: Vatnajokull Glacier Cave, Iceland (photo Einar Runar Sigurdson) http://t.co/awHFvqxcES http://t.co/cSwnkRZV59",113,0
"@captjckidder Happy New Year's to you too!",0,1
"@karlenepetitt Happy new year to you as well!",0,1
"Please keep my friends @ESA_CAVES in your thoughts/prayers as they struggle through some terrible weather &amp; flooding http://t.co/TA8I3nC1CQ",10,9
"Grew up in CO, Denver fan--bleed orange... even better, Peyton has Air Force sticker on his helmet tonight--best of both worlds--go Broncos!",1,6
"@Pitt_anchor Want to make sure the guys on the ISS have something to look at when they fly over Houston...",0,2
"RT @Pitt_anchor: @ESA_CAVES @Astro2fish go get on it Mr Griswold",1,0
"RT @ESA_CAVES: @Astro2fish you're giving me a good idea for keeping the 2014 crew busy ;-)",1,0
"@ESA_CAVES Have you ever seen the Karate Kid?  You can be like Miyagi-san and give them 'training' in their stick-like-a-gecko shoes!",1,3
"@spasmunkey Absolutely Liz - all done now though--back to meetings &amp; an NBL dive next week.",0,0
"@opengalaxies I'm not sure, but I think most of the F-5s are retired.  They are great jets though--old but reliable.",0,0
"@sbcpetew Sadly no, the Prius wins--but the T-38 is quite a bit faster ;)",0,0
"@jmm_1233 Absolutely - I turned out the lights in the control room to get a better view &amp; it is wicked cool!",0,0
"@PC0101 Can't wait for that step Peter!",0,1
"@ESA_CAVES New use for caving shoes--climbing around roof to put Christmas lights up early--bring on the lights! http://t.co/ktuedLtk44",4,7
"Testing a T-38 engine today- she kicks out the thrusties pretty good... http://t.co/jw9tA0d9QN",6,9
"Learning about hydraulics testing today--old jet, old tester--but she still works! http://t.co/pTUMMpOlH5",1,3
"@geek_mojo above my pay grade, but I think it may be more expense than we can manage at this point...",1,1
"@CaptFubar Absolutely!",0,0
"@AstroN8 Cool place and amazing people to keep all these machines humming along!",0,0
"@malindalo Malinda! How are you? I heard you are a writer now?  Whatever you're doing, I'm sure you're the best at it! Take care.",0,0
"@mgrabois Great meeting you, good luck in your new job!",0,0
"RT @Astro_Nicole: Back on Earth! Welcome home Fyoder, @AstroKarenN &amp; @astro_luca http://t.co/Pk0AODBM2U",46,0
"Spending time w/T-38 maintenance this month, learning details about these 50yr old beauties! http://t.co/99Lh8Lcw0Y",5,14
"RT @ESA_CAVES: 'That is elegant indeed!', right @Astro2fish? #Women are the best! Meet another jewel of #esa #caves: @carlacorongiu http://…",3,0
"@ESA_CAVES Love U back Caves! It's spelled 'Gyaeet? Yahuntu?' (I think) :) translated 'Did you eat?  Do you want to?'",0,1
"@AstronautOmnia Omnia, I try to work out 3-4 times a week and eat healthy...of course my wife is an awesome cook - so it's sometimes hard!",1,1
"@GabriellaRitaT My wife wouldn't let me make fun of the disregard for physics &amp; orbital dynamics, but Sandra &amp; the visuals were awesome.",1,1
"RT @spasmunkey: Chumpkin @Astro_Kate7 @Astro_Maker @AstroSerena @Astro2fish @astro_kjell @Astro_DavidS @Astro_Kimiya @AstroIllini http://t.…",2,0
"@spasmunkey You're a skilled pumpkin maker my friend - nicely done!!",0,0
"@quantumgeekgirl @esa_caves Thanks - man we loved the experience--ESA did an amazing job creating and running that awesome program!",0,1
"@brianjbradley @astro_rex Absolutely Brian - &amp; the folks @ KSC did a great job showcasing the wonder of spaceflight to share it with us all",0,1
"Also saw our Orion test capsule today-first power-on test, getting ready for SEP '14 launch--the future of deep spaceflight is on track!",8,4
"@Astro_Rex in the middle of patches from his flights STS-110, 122 &amp; 135-that's wicked cool, all in a row... http://t.co/JLt4nX58xN",0,3
"And check out the sky bridge for kids (&amp; big kids like me), suspended 30' in the air! http://t.co/fbaf9qqH2c",4,6
"Checking out Atlantis today w/3-time flyer @Astro_Rex-come to KSC &amp; check out the AWESOME show!! http://t.co/OOEz2JMTVV",2,6
"@uminchuloux nope, still waiting on a ride 😞 tough as bricks!",0,0
"RT @ESA_CAVES: #Cavenauts Tales is out! Watch &amp; enjoy #starring @astro_paolo @Astro_Satoshi @Astro_Jeremy @Astro2fish Mike &amp; Alexey http://…",8,0
