tweet,retweetsCount,favoritesCount
"RT @gauloir: @AstroDaveMD #apacforum We're at the Ko Awatea team meeting talking about #APACForum thrilled to have Dave Williams as one of …",2,0
"@Astro_Clay - I'm all set! Great group looking forward to it!",0,0
"RT @eventvanessa: People are getting in line to have a photo taken at #ECRUG14 with @astrodavemd! http://t.co/5GpXCq7x7I",3,0
"RT @BTRG: Thanks @AstroDaveMD for the awesome pics at #ECRUG14! http://t.co/n1E2fKaPdp",1,0
"RT @CIPHI_Ontario: Come see an 'Out of this World' #keynote by @AstroDaveMD. Record-breaking Astronaut at #CIPHI101TheNextGeneration. http:…",6,0
"Heading to LA to give talk at Western Thoracic Society meeting.",0,1
"RT @SH209_: .@APACForum @gauloir  @MidlandsHN Great group - see you all this year in Melbourne.  #healthcare",5,0
"RT @SH209_: Get the full benefit of the APAC Forum with our intensives program. http://t.co/8F70NoueHR  @apacforum #apacforum @HT_Victoria",3,0
"RT @DavisHaidee: Don't miss @AstroDaveMD at this years @APACForum and his unique insights on healthcare and leadership.  Also Poster abstra…",3,0
"RT @ay_kaho: Great to see so many great people at the #ECRUG14 conference! And thanks @AstroDaveMD for the great picture!",1,0
"@ay_kaho - really enjoyed the photo session at ECRUG14!",0,0
"@APACForum thanks for the kind words!!",3,0
"Excited to be speaking at #ECRUG14 this morning - great group going above and beyond!",2,2
"RT @ecrug: Great speaking with you today @AstroDaveMD! We're excited about your Keynote on June 17 at #ECRUG14 'Don't Take Chances, Manage …",1,0
"RT @APACForum: Astronaut &amp; Physician @AstroDaveMD is set to give an amazing Keynote at #APACForum. Not to be missed - http://t.co/MU1z1RbcA9",4,0
"RT @ecrug: So who's looking forward to getting to meet our astronaut Keynote @AstroDaveMD courtesy of @DeloitteCanada at #ECRUG14?",1,0
"Love the Ducati Diavel http://t.co/20tE79XsUO",1,2
"Stay tuned for a photo if the new ride....",0,0
"@MohamedofShaban - Thanks! Glad you like the pic.",0,0
"RT @JeffLewis007: Great day on the USS Ronald Reagan w/ Admiral Walt Davis, Astronaut Dave Williams, Akro pilot Rory Moore, and friends. @U…",2,0
"Looking good up close.. http://t.co/FKRIazwdLr",0,0
"I like this photo of the Extra 330. http://t.co/g5fAumNHzd",0,0
"Rory Moore unlimited class aerobatic pilot &amp; CEO of CommNexus / EvoNexus, Jeff Lewis host of The Aviators &amp; Air... http://t.co/IabUle6ymo",1,0
"Briefing the flight with Rory. http://t.co/y72cDa5sFc",0,0
"@JeffLewis007 - Thanks Jeff it was a spectacular day!",0,0
"Great day to fly the Extra 330! http://t.co/hlI3G8dru4",1,0
"Beautiful day to fly the Extra 330! http://t.co/xBcUypnqG7",2,3
"Time to fly!! http://t.co/qHQ1br6x4Y",2,1
"Incredible birthday present - flying with Rory Moore in his new Extra 330! http://t.co/qT0wiurXb5",1,0
"View from our hotel in San Diego.. http://t.co/CyBY7GMA2N",1,0
"@EdDarrell I've been using them since 2008 - great camera for diving &amp; all activities!! Wish I'd had one on my helmet for the spacewalks!",0,0
"@taustin260 - thanks!!",0,0
"Doesn't get much better than this! http://t.co/FwtbMgHqCU",0,4
"Will post some photos from the GoPro in a bit..",1,0
"Just got back from the flight - loops, rolls, ½ Cuban 8, reverse Cuban 8 and hammerheads! Extra 330 is unbelievable !!",1,2
