tweet,retweetsCount,favoritesCount
"On my way back to houston after a wild reentry.  In Maine right now.",70,289
"Folks, my last tweet from space. Stay tuned for post flight fun. Check out @astro_reid and @Astro_Alex for some great space tweets soon!",189,386
"Congratulations to the 2014 UCONN School of Engineering graduates from the  International Space Station.",137,306
"My ride home sails over Italy. We will be using it Tuesday night! http://t.co/RAxrVyN0eY",511,602
"Check out live high def views live from station - http://t.co/mdVSUl9OWL - Here is the HDEV box with the cameras http://t.co/K1BO8eDD32",201,214
"This was my first time to see Denmark so clearly.  This picture looks like a map! http://t.co/LkW64WYLBY",354,540
"Space is dark and dangerous. Here we are exiting airlock. Helmet lights work well at short distances http://t.co/WatyTizl4Q",389,525
"An 'EVA Selfie' of me.  Notice the Earth reflected in my visor. http://t.co/ABjOWakyzF",871,919
"Europe to the right, Africa to the left and the Med in the middle. http://t.co/bEbMZgOJRW",257,365
"Island off of Central America makes some interesting cloud formations http://t.co/jEXayWr4x3",208,347
"An EVA selfie.  The space suit makes it very difficult to get a good selfie.  I tried several today. http://t.co/GvMEOj3ewu",5010,4189
"In front of the Japanese modules on today's EVA. Not a selfie. http://t.co/uOYNMGsuSv",848,1036
"A picture of the Space X Dragon from our EVA today. http://t.co/02GurmvpCB",355,489
"Mountains of Kamchatka http://t.co/eRI6CVxMSY",210,328
"@gregors69 When you see ISS fly over it is because you are in shadow and we are in the sunlight. So we cannot see you since you are in dark",8,22
"@ddburkey Thanks, The students did great.",1,5
"Thanks for all the great questions from students at UCONN, RPI, UHCL today. I enjoyed talking to you.",14,38
"Just passed south of North East, USA. http://t.co/ATDMGGLg68",239,340
"Congrats to Kennedy High School Robotics team from Waterbury, CT on their invite to world championship!!!  Good Luck.",45,60
"Worked 8 hours in airlock replacing pump in spacesuit. Many very small pieces which makes tough work in 0 G http://t.co/I4kFrFm2jw",123,249
"In the station you can get into some tight places.  Here I am looking for a loose connection on CO2 removal system http://t.co/6DRv6ah5pI",91,174
"Long Island, CT, MA and more.  Our orbit is swinging west so that soon we will get some great US day passes again http://t.co/SBIEosiDus",1181,1247
"The #FE7 patch has arrived.  Congratulations guys! http://t.co/aDjmm5wP45",66,135
"Northern lights last night over Canada. http://t.co/56X5wSKEK6",534,703
"RT @OldBoone: Here's a pic of @ISS_Research passing over Tampa, FL last night through my telescope. http://t.co/FttglWIzmb",243,0
"Night shot of Italy. A little grainy but it gives you the idea of how incredible a view we have. http://t.co/bqTxOx8rFt",428,519
"@Uconn Looking forward to watching the final four games this weekend.  We will have live but intermittent uplink of the games. Go Huskies!",30,24
"Around North CA. Not sure what the strange shaped plots of land are for. http://t.co/PBlnbWoRxt",62,111
"Just a cool shot from the cupola. http://t.co/cD73m9WmGF",510,606
"Congratulation to the UCONN men's and women's basketball teams for making it to the final four!  Good luck, Go Huskies!",16,32
"We often look for sun glint to bring out details in waves, bodies of water but here we see the whole sun reflecting http://t.co/dH9HExMJjI",445,569
"Island (Heard?) in the Southern Ocean pokes through the clouds. http://t.co/LwdY1TWvKg",266,412
"Other 3 new crew mates have arrived. http://t.co/Exzz8qX2S1",858,1257
"While waiting for our 3 new crew members, I snapped a few pics of some south pacific islands. http://t.co/QT5qI0hyjD",223,376
"Just saw the Soyuz launch from station. Great view.  In 6 hours we will have new crew members. http://t.co/QDqsZmhbkh",1906,1995
"@DaveNavarro I arrived to the space station in Nov of last year and I return to Earth around May 14. So I am here for almost 2 more months.",7,17
"Wide angle shot out the cupola somewhere over Africa. http://t.co/tKEIiuie05",882,1126
"A small town some where around North CA or Nevada. Anybody recognize the airports? http://t.co/djSgh1WPm3",62,118
"Continuing the pass from Greece, we had a great view of the Nile and Red Sea. http://t.co/CKWeOqSEnC",289,396
"Greece.  We took a time lapse today of a pass over Italy, Greece, and down the Red Sea. http://t.co/coKFOtwWWE",847,1018
"A beautiful day yesterday in Greece and Turkey. http://t.co/fKgpBrK7Cx",275,443
"For the hometown of Waterbury. E Mountain golf on right, Lake Quassapaug on left. http://t.co/Xat9ZlkagT",68,106
"Cape Cod, Mass. http://t.co/ZF7qKFbFd3",352,528
"Goodnight.  My wife asked for the moon so I gave her this. http://t.co/lUIz0utYUq",2701,4091
"@Dpeish The ISS uses GMT time",2,14
"@sarahpxox We can see the contrails of airplanes but not the airplanes themselves. In busy cities we see dozens of contrails sometimes.",2,10
"@missnathaliew Thanks for watching.  Can't wait to visit the UK someday.",3,15
"@_SJHughes ISS is complete but I know the Russians may add another module in the near future.",2,2
"@amymalinss Sleeping in weightlessness is the best. It is like floating in water without the wet.",14,28
"@jaimiehoy So many beautiful, interesting places. Caribbean has the most beautiful waters. Australia incredible geological formations",3,14
"@realastronix The smallest object I have seen is probably ships in the ocean. The wake they make in the water makes them easier to see.",5,13
"@KymMarshFan Many paths to becoming as astronaut. Many are science and math related. In the US School teachers are eligible.",1,7
