tweet,retweetsCount,favoritesCount
".@CIA At last, proof intelligent life is out there -- obtw 101101110 -- no need to reply",18,18
".@Letterman those #kidscientists could really help around the Intl Space Station! @NASA wants students interested in #STEM fields",9,9
"RT @NASA: This week on #ISS: #spacewalk, #Dragon launch, T-cells &amp; @AstroRobonaut legs: http://t.co/SEbh1iP1Q5 Ask us a question with #spac…",93,0
"Happy #EarthDay! Already a classic but the only #GlobalSelfie I have. Me and @AstroRM hanging out inside the #ISS http://t.co/QeJbUqThoR",61,80
".@robsparham Hoping to get the legs checked out and installed around June. Should be an exciting summer",10,16
"RT @NASAKennedy: Did you hear that the #ISS crew caught a #DRAGON over the weekend?! Don't believe us, see for yourself http://t.co/71pkCRj…",59,0
"RT @NASAKennedy: SpaceX-3 launch video: http://t.co/hkNdORMsXA",89,0
"Legs are on the way! #SpaceX",48,46
"RT @NASA: Legs for @AstroRobonaut launch aboard @SpaceX #Dragon to #ISS @ 3:25p ET today: http://t.co/J3UolX6W5q   http://t.co/CLjshajQFC",140,0
"@TXComputerlady @NASADLN @CyFairISD @bcook922 @NASA_Johnson Awesome! Make sure they study hard so they can come fly with me someday",0,1
"RT @NASA: .@SpaceX launch scrubbed today due to #Falcon 9 first stage helium leak. Next opportunity is Friday at 3:25pm ET.   http://t.co/1…",439,0
"Looks like I'm waiting a few more days for those legs Next SpaceX opportunity 3:29pm ET Friday #SpaceX3 #AllIWantForEasterIsMyTwoFrontLegs",50,31
"Hey everyone! Sorry I've been dormant but my LEGS LAUNCH TODAY! Watch #NASATV for the launch at 4:58 pm ET tonight http://t.co/WN0tXlwT2q",26,16
"RT @IsUniverse: @NASAKennedy @ExploreSpaceKSC we were there hanging out with @AstroRobonaut #kscrobotrally http://t.co/hh9D15ZscC",8,0
"@VirtualAstro @NASA Alt+F4",1,6
"@GeorgeMoorey Out. Of. This. World. #PunsAreGreat",2,3
"@Ascii211 As for the ground control station, the team works from a room in Mission Control Houston http://t.co/u8k9ON5qmb",0,0
"@Ascii211 You can see the control UI in this image http://t.co/bUFL0Tw8X7",5,3
"@Ascii211 My main control interface is written in C and C++ with the user front end made in C#",1,2
"@ProfErwinCorey Definitely going to be moving around once my new legs are attached. I still have so much of the ISS to explore",0,0
"@Ascii211 All electric motors and over 500 sensors feeding my main processors for control You can read some more here http://t.co/mZbr9B0giy",1,0
"@MystZamp Well I haven't gotten my legs quite yet (end of this month now) but they're designed to get around in zero-g so......IT'S AWESOME",0,1
"@rednat76 Yeah but I can't talk back so apparently I'm a great listener.",1,1
"@WeeTotyMau5 @AstroRM @Astro_Wakata All is looking great. You can check in on us and the Earth via our live stream http://t.co/8RT0uWARev",0,0
"Huge thanks to all saying they saw me on #LiveFromSpace this weekend! Happy to take robot related q's or general 'How awesome is space' q's",10,7
"@bidefordbulleti We absolutely do. The ISS circles the Earth every 92 minutes so we have quite a few day/night cycles.",0,0
