tweet,retweetsCount,favoritesCount
"@hpforrest I'm a Mary Poppins fan :-)",0,0
"God luck! RT @Astro_Alex: Tomorrow we'll grapple #Cygnus #Orb2 spaceship with this robotic arm. http://t.co/Nr6ddM9jZb",11,27
"RT @MakerFaireRome: Find out  all the speakers joining us on October 2  http://t.co/AJ9K2eDPWc  @AstroSamantha @doctorow #MFR14",7,0
"RT @Avamposto42: Cosa hanno in comune l’Antartide, la ISS e la cittadina di Sidi Taïbi? Oggi su #NientePanico: http://t.co/c4YuyEkfi3 http:…",13,0
"..&amp; went DVD-shopping yesterday. Found these movies for my 4-hour pre-breath time (R movies discouraged) @AstroTerry http://t.co/tY5TDF4UXl",1,20
"With @AstroTerry in the vacuum chamber dry run today. Tomorrow altitude run: really going to almost vacuum! http://t.co/rpm6ClNMNi",22,44
"RT @Astro_Alex: Saw an old friend, with nothing between us other than a thin piece of glass and 384.000 km of vacuum #Moon http://t.co/6ud5…",519,0
"(IT) Cereali e legumi: il duo della salute. Ne parliamo su @Avamposto42 con @DrFilippoOngaro http://t.co/KaSsF5MJBB http://t.co/lSvJXdPdOu",14,17
".@AstroTerry 's run in the vacuum chamber. Today is my turn for the dry run. Actual 'vacuum' run tomorrow! http://t.co/Ym0Hfc91qI",21,32
"Breathtaking! RT @disinformatico: Una Luna di rara bellezza “@FragileOasis: Moon rise over planet Earth. http://t.co/yxXkfxVeBY”",146,148
"RT @lionelferra: Tasty Cygnus…for @Astro_Alex &amp; @AstroSamantha #Orb2 #Antares http://t.co/q6EQTyK07c",21,0
"If your parent or grandparent emigrated from Italy, you might be interested... https://t.co/D8y9N4YZPn #Madeofitalians @Expo2015Milano",17,27
"Go #Antares and #Cygnus! Launching to the International Space Station in a few hours. #Orb2 (photo: @OrbitalSciences) http://t.co/4TNRq5y8vC",53,54
"@SimoncelliLuca È possibile, ma non ne sono sicura.",0,0
"@SpazioInGioco :-)",0,1
"Biggest fluid QDs (Quick Disconnects) on #ISS. When you pull lever back, the valve inside closes &amp; you can demate. http://t.co/BDkXP1nn1L",9,19
"One of my favorite!  MT @PC0101: Ligurian Sea, in moonlight, #ISS exp23 http://t.co/xtBwKGi5Ql Detailed description http://t.co/5ywovVUjqK",98,128
"@katiatalpa17 I'll let you make the calculations :-)",0,0
"The power tool that built the International Space Station...   Pistol Grip Tool. Spacewalkers use it to drive bolts. http://t.co/k4xAbnsHMH",30,45
"RT @Astro_Alex: This is how Rio, #BRA looks like at night from up here! Hoping for a great finals - we'll be watching! #Worldcup http://t.c…",170,0
"(IT) #OsaVolare! RT @pinodifeo: @weflyteam in copertina su @AeroRevue #DareToFly - http://t.co/XfGpg2PLzs",11,17
"What a treat this picture. Thanks, Oleg! RT @OlegMKS: Aurora on the Starry Sky #BlueDot http://t.co/IPDlyAnSyu http://t.co/0mQN1AKaYa",42,60
"It takes a village to raise an ISS expeditionary crew. #Exp42 first 'half' is on last training trip in Houston! http://t.co/9JLO2ttstQ",18,36
"Cake cutting ceremony to say thanks to training teams. Cutting our Expeditions cake w/ @AstroTerry &amp; @AntonAstrey. http://t.co/IpxqrvPeBC",29,57
"In a EVA, a little screen on the chest shows us the data of the suit (photo: vacuum chamber prep for  @AstroTerry). http://t.co/pjjRd0s9b8",35,53
"@bambinogesu @Avamposto42 Che bello!",2,1
"Great memories. Can't wait to go back! RT @PC0101: Baikonur, Kazakhstan, #ISS, exp40, July 2, 800-mm http://t.co/rt6A7CMK44",14,47
"RT @Avamposto42: #DiariodiBordo L-138: avete qualche film da consigliare ad @AstroSamantha per le sue 4 ore in tuta EMU? #filmspaziali http…",6,0
"(IT) RT @Avamposto42: Merenda sulla ISS...Con dei lamponi talmente buoni da essere spaziali! http://t.co/sePd9I5HdQ http://t.co/BxmLoazIJU",8,26
"Ha, ha... the backstage! That's before we took out the costumes! @jnmatthew @AstroTerry @AntonAstrey",0,9
"RT @jnmatthew: @AstroSamantha @AstroTerry &amp; Butch Wilmore in the VR Lab to catch HTV w/ different lighting conditions http://t.co/JF5ql7jbyr",8,20
"@Fernando_IZ0EUI Facciamo un party virtuale - ognuno dalle sue parti, poi ci mandiamo le foto :-)",0,3
"@vargento Class 1 hardware. Fagli un graffio e invece che partire per lo spazio parte per una serie infinita di lunghe e costose verifiche;)",0,0
"@IsabelsBookClub @KathyReichs @ElizBoyle @PCornwellFans @medcolegaldeath @toddparr I'll check them out, thenks for the tip!",2,2
"@IsabelsBookClub I'll read occasionally to accompany time in the Cupola watching the Earth. What would you suggest?",1,0
"@DannySkarka You have time while doing the leak checks.",0,0
"After putting on gloves, connecting the glove heater cables on @AstroTerry 's suit during his vacuum chamber dry-run. http://t.co/Wcfpa1bk69",22,33
"Helping @AstroTerry get into the torso of the suit... one of few things in EVA that are a lot easier if you're small! http://t.co/jztTcx8QcE",20,28
"RT @vr_doug: Astro Butch @AstroSamantha @AstroTerry training Robo lighting scenarios while capturing HTV -! http://t.co/hPT1Avjfw5",11,0
"(IT) #DiarioDiBordo L-138 RT @amoroso: Prepararsi alla camera a vuoto http://t.co/IV8ecoE9YP (Foto con @AstroTerry) http://t.co/TakKV0iIxq",22,32
"Nice close view! #Soyuz RT @Astro_Alex: Through this periscope on our spaceship we observed docking w/ #ISS http://t.co/kSKikUytzP #BlueDot",14,30
"@zeno2k @Avamposto42 @GiulianoFavro Dopo un po' passa...",0,1
"(IT) Da Mars500! RT @Avamposto42: Cibo spaziale in allenamento per Marte: lo racconta @DiegoU http://t.co/MPXol4uPxR http://t.co/hnFbjUmUHa",10,14
"L-139: Logbook. Preparing for the vacuum chamber.   https://t.co/6GV13mNtAN #SamLogbook #Futura42 Pic w/ @AstroTerry http://t.co/4gXceurOyV",42,69
"@MarilPitt @Avamposto42 Sì, ci sono state diverse comandanti di ISS (e in passato di Space Shuttle).",0,2
"@zeno2k @Avamposto42 @GiulianoFavro È legge dell'astronautica che viene prurito al naso appena indossato (o chiuso) il casco della tuta :-)",1,5
"@SomenziKevin Ti ho già risposto. Scegli la scuola superiore in base ai tuoi interessi, l'importante è fare bene non quale scuola!",0,0
"RT @Avamposto42: Osservare malattie infettive nello spazio? non e' poi cosi' male secondo @AstroSamantha ... http://t.co/75DqquvSp5 http://…",15,0
"(IT) Su @Avamposto42 continua la storia del cibo spaziale con i progetto Mercury! http://t.co/RfVrpYpYvn http://t.co/t71sU651yK",19,24
"L-139: Logbook. Micro-5: observing an infectious desease in space.  https://t.co/mshNvvjWuu #SamLogbook #Futura42 http://t.co/r4aXTIEbH0",37,46
"(IT) #DiarioDiBordo L-140 RT @Avamposto42: perdita di ammoniaca- che fare? http://t.co/GItxMiyORb via @astronautinews http://t.co/tsmelQhv8h",11,19
"Towers in the sky... RT @OlegMKS: Clouds from #ISS #BlueDot http://t.co/UjYXgU6xu7 http://t.co/IzFqYuXNqM",602,639
"(IT) #ChiediloaSamantha RT @Avamposto42: Ingegnere,fisico,pilota: come fare l'astronauta?  http://t.co/nlZhoFOUMQ http://t.co/cYLnYkpLPY",32,50
"L-140: Logbook. ...and here is what you would do (ammonia leak on ISS)  https://t.co/ehA8vp2KjA #SamLogbook #Futura42 http://t.co/5hwmUB4U0I",9,21
"@zeno2k :-) Ne parlerò presto qui: http://t.co/q3DMw7QSEo",0,2
"@zeno2k Io invece non me ne sento 16... per fortuna ;-)",0,1
"@zeno2k Alla mia età direi piuttosto #LikeAWoman :-)",0,1
"#LikeAGirl - Or even better, like yourself! Don't accept labels, don't accept being anything less than your best. https://t.co/wIjxJvFIdS",70,69
"@ettore_2011 @amoroso Ammoniaca.",0,1
"(IT) #DiarioDiBordo L-142 RT @amoroso: Fuga di ammoniaca? Ecco da dove verrebbe… http://t.co/UjbXPkw5yG #Futura42 http://t.co/P8lnmANwtj",6,10
"@zanni_zanst @Avamposto42 Non ho mai sentito di differenze per genere statisticamente significative.",0,0
"@MarilPitt @Avamposto42 @astronautinews Se possibile e necessario si cerca di riportarli a terra, soprattutto per analizzare il guasto.",0,1
"@alfax1234 Anzi, si invecchia più rapidamente. Ne parleremo spesso su @Avamposto42.",0,0
