tweet,retweetsCount,favoritesCount
"An manchen Tagen scheint sich der Planet vor unseren Blicken zu verstecken. #BlueDot http://t.co/b0fiucWmDL",40,132
"On some days it feels like Earth disguises itself from our view. #BlueDot http://t.co/b0fiucWmDL",121,195
"Wir haben einen speziellen Arbeitsplatz in der Cupola, von wo aus wir den #ISS Roboterarm steuern #canadarm http://t.co/rqMIDrPGuI",17,74
"We have a robotic work station in the Cupola, from which we control the #ISS robotic arm #canadarm. #Orb2 http://t.co/nBa1WRrAHj",34,86
"Morgen werden wir mit diesem Roboterarm das #Cygnus Raumschiff einfangen. Steve ist an den Joysticks, ich schicke Kommandos ans Raumschiff.",3,61
"Tomorrow we'll grapple #Cygnus #Orb2 spaceship with this robotic arm. Steve on hand controllers, I do vehicle command http://t.co/O5wKaN7Vbl",171,223
"Amazing South African land / Erstaunliche Landschaft Süd Afrikas #BlueDot http://t.co/78WdX0sm8U",61,154
"Habe einen alten Freund getroffen, zwischen uns war nichts als eine dünne Scheibe Glas und 384.000 km Vakuum http://t.co/RMIhT14ZOh",160,482
"Saw an old friend, with nothing between us other than a thin piece of glass and 384.000 km of vacuum #Moon http://t.co/6ud5Dh3fSf",519,881
"… Ich bin froh, dass er wieder Rund ist. Sehr viel schöner so #BlueDot http://t.co/x91QTuZtFf",60,219
"...I am glad the #Moon ended up being round again, much nicer that way #BlueDot http://t.co/PxCleo1Psv",158,332
"Wer hat hier von Photoshop gesprochen? Das ist Weltklasse-Weltraum-Näherei.... #WM2014 https://t.co/Si3vjrB91v http://t.co/Tsku59Vv9j",196,546
"Who accused me of photoshopping that star? That's world-class expedition-style stitching right here... #WorldCup http://t.co/zEPpJA3RxH",136,280
"#ISS Kommandant Swanson mischt Kolloide - Forschung für sichere Lebensmittel aber auch Plastik auf der Erde http://t.co/EPaQQJObfK",22,74
"#ISS commander Swanson mixing colloid samples in space - for safer foods and durable plastic on Earth @ISS_research http://t.co/EPaQQJObfK",47,102
"Have a great #14juillet, my friends in France and at ESA HQ / Bon #14juillet à mes amis francais!  @ESA_fr http://t.co/GlhFNAUbs8",194,236
"Bei diesen Fotos, war der Mond noch hinter dem Horizont. Eine Fatamorgana atmosphärischer Lichtbrechung #BlueDot http://t.co/U0KsCRpe76",171,449
"In these photos, the #Moon was still behind the horizon. A #FataMorgana of atmospherical refraction #BlueDot http://t.co/ahgxoDukFM",379,501
".@astro_luca Thx, I sure am. Tonight, as awesome as it is up here in space, I would love to spend just a few hours in a German city! ;)",93,279
"Gratulation vom #ISS an @DFB_Team für Topleistung! Als Experten in Sachen Sterne haben wir schon mal einen besorgt... http://t.co/sTCksKA9Fz",2912,4409
"Just like our @DFB_Team_EN I have fantastic support from my crew. Congrats from #ISS to the #WorldChamp. Great game! http://t.co/sw4gGbtvwh",1834,1916
"Exciting #WorldCupFinal at 28.000 km/h on the #ISS. Go #GER @DFB_Team_EN! http://t.co/HP2JwNrgTw",3185,2354
"Spannendes Finale mit 28.000 km/h auf der Raumstation. GO @DFB_Team SCHLAAAAAND! @astro_reid http://t.co/HP2JwNrgTw",532,694
"RT @astro_reid: Watching #WorldCup finals with @astro_alex and our #Exp40 crew. Great game so far! http://t.co/g4bzogKeh0",353,422
".@DFB_Team_EN performance has been super! If Germany wins, I dedicate 11 #ISS orbits of Earth to the German team! ;-) #worldcup #GERARG",92,121
"Super Leistung vom @DFB_Team! Falls Deutschland gewinnt, widme ich die nächsten elf Erdumrundungen der deutschen Mannschaft! ;-) #GERARG",342,694
"La Ceiba #Honduras. I studied Spanish here! /  La Ceiba in Honduras. Hier habe ich Spanisch gelernt! #HondurasIsGreat http://t.co/1UJThUCQN6",143,285
"Bereiten die #ISS auf die Ankunft des Europäischen Raumtransporters #ATV5 vor http://t.co/ViY4k6hM2v",60,176
"My crewmate Sasha and I will be watching over the arrival of @ESA's cargo vehicle #ATV5 on this command post http://t.co/ViY4k6hM2v",86,197
"Humans are explorers! RT @esa: Today marks 5000 days of humans living and working in space! #ISS http://t.co/7OjpRM1Dy7",59,104
"This is how Rio, #BRA looks like at night from up here! Hoping for a great finals - we'll be watching! #Worldcup http://t.co/VL35xyS4sp",170,224
"The Nile River / Der Nil #BlueDot http://t.co/2qH8JuVU0c",234,420
"#Florida &amp; The Keys / Florida und die Keys. #BlueDot http://t.co/AhDwmhWyUW",159,316
".@zeiss_Group Hallo aus dem All! Alles Gute zur Einweihung des ZEISS Forums mit Buzz Aldrin! Schöne Idee! VG von der #ISS",11,50
".@TheRealBuzz I heard you are in my Country tonight. Welcome to #Germany and all the best at the #ZEISS event",9,52
"Wie eine Kobra vor ihrer Beute. Mein erster Übungsflug mit dem 17 m langen #ISS Roboterarm http://t.co/kjFZlt66wO",74,170
"Like a Cobra in front of its prey. My first practice grapple with @csa_asc's #ISS robotic arm. #Orb2 http://t.co/JRh0N35Yy5",110,195
"Großer Moment im Astronautenleben: den richtigen #ISS Roboterarm steuern, in 6 Dimensionen gleichzeitig. http://t.co/UDKDQunHr0",40,172
"A big moment in an astro's life: after 100s of sims, moving the real #ISS robotic arm for the 1st time. Felt great! http://t.co/z4zHCicHAo",87,236
"Ich habe für die Aktion 42 mit Seifenblasen experimentiert. Interessante Ergebnisse! http://t.co/epNtFbqztl cc: @dlr_de @dlr_next @esa_de",73,123
"The docking system hatch that our #Soyuz spacecraft attached to http://t.co/JAf3camlq6",38,97
"Das Dockingsystem in der Luke, an der wir unser #Soyuz Raumschiff angedockt haben http://t.co/JAf3camlq6",9,65
"Wie in einer bizarren Szene in Gravity haben wir beim Flug mit Sojus endlose ATIS-Informationsdurchsagen empfangen http://t.co/p1gcUhRf8H",79,170
"Like in a bizarre scene from Gravity, on our  #Soyuz flight we picked up endless loops of ATIS weather forecasts http://t.co/p1gcUhRf8H",159,233
"RT @astro_reid: Conducting SPHERES Resonant Inductive System experiment with my buddy @astro_alex @ISS_Research http://t.co/ek3ovyoY6Q",39,109
"Habe gesehen dass Sterne wild blinken wenn sie durch die Atmosphäre aufgehen - danach flackern sie jedoch gar nicht http://t.co/D5uYn7yqDs",133,346
"I observed that stars flicker wildly while rising through the atmosphere - and then they stop twinkling completely http://t.co/D5uYn7yqDs",971,1398
"RT @ESA_de: Vormerken: Wir hoffen auf ein gemeinsames #SocialSpace mit @DLR_de um @Astro_Alex live zu sprechen, und zwar am 22.8. im @ESA_E…",21,0
"RT @social4space: #savethedate to #callAlex ! We're hoping to have a #SocialSpace live with @Astro_Alex in orbit (him not you) 22 Aug, watc…",27,0
"Running test-captures with the robotic arm, getting ready for catching our next cargo vehicle #orb2 http://t.co/CeQQg5VNzK",98,237
"Die grünen Eisseen auf der neuseeländischen Südinsel. Ich bin da mal geschwommen. Aber nur ganz kurz ;) http://t.co/3XzpF6fsMY",67,183
"Look at the green glacial lakes on #NewZealand's magical South Island! I swam there once, but only 4 a short time ;) http://t.co/3XzpF6fsMY",190,288
"Closeup of fires in Eastern Africa /  Nahaufnahme der Feuer in Ostafrika #BlueDot http://t.co/fbFWFeRsih",314,501
"Human-made fires in East Africa. Can you spot them? / Von Menschen gemachte Feuer in Ostaftika. Könnt ihr sie sehen? http://t.co/1o6LLtsbZQ",75,173
".@astro_reid (still with hair) inserting blood samples for immune system research into -98 C #ISS freezer http://t.co/2hoggrQlJo",48,104
".@astro_reid beim Einlegen einer Blutprobe zur Erforschung von Immunzellen in unser -98 C kaltes #ISS Tiefkühlfach http://t.co/8z9K5PmmCL",15,99
"I just can't stop looking at clouds... / Ich kann mich einfach nicht an Wolken sattsehen... #BlueDot http://t.co/F5BgFJwVyy",105,328
"Durch dieses Periskop an der Sojus-Kapsel haben wir das Andocken an die #ISS beobachtet. http://t.co/jRFOPmlAkx",16,93
"Through this periscope on our spaceship we observed docking with #ISS. It gets jettisoned before landing http://t.co/jRFOPmlAkx",59,108
"Land use in South Africa, you can see where water is / Landnutzung in Südafrika. Man kann erkennen, wo es Wasser gibt http://t.co/01LmYWF90d",95,194
