tweet,retweetsCount,favoritesCount
"RT @Chief_Astronaut: Spent time tonight w/classmate @astro_ron &amp; crewmate @astro_box. Thanks for the memories!  Good luck in your new endea…",4,0
"RT @astro_reid: Our orbit is almost parallel to the terminator so it is daylight with a low sun angle 24 hrs a day now on the #ISS. http://…",499,0
"Beautiful Ohio rainbow. Doug Wheelock &amp; I at Nat'l Museum of the USAF in Dayton Ohio. MCing IMAX showing of Gravity. http://t.co/MP6gkTGNi1",12,17
"RT @NASA: The space station crew doubles tonight. Did you know you can see it fly over at night? http://t.co/wioEDeQ1NM   http://t.co/6Wx3C…",517,0
"@ISS_CASIS: @ISS_Research   Proud of CASIS COO Duane Ratliff who represented CASIS live on NASA TV!  https://t.co/ANEJ2GaxGX",0,0
"@ISS_CASIS: @ISS_Research check out the video https://t.co/ANEJ2GaxGX",0,0
"RT @ISS_CASIS: Read our featured blog post by @Astro_Box that discusses 'How a @NASA Initiative is Advancing the CASIS Mission' http://t.co…",36,0
"Ran into Bjarni Tryggvason at the USA  Science &amp; Engineering Festival in DC this weekend. He flew on STS -85. http://t.co/BbVcSJwkiM",3,6
"Congratulations to the @SpaceX and @ISS_CASIS teams for a successful launch today at the cape!",8,14
"http://t.co/Kkm7Oa1y0b. @emilychangtv &amp; I had an interesting discussion about @ISS_CASIS research, space travel, &amp; space commercialization.",2,0
"Thanks to @emilychangtv and the @BloombergWest team for inviting @ISS_CASIS to their show today!! Excellent discussion. #ISS #space",1,2
"RT @NASA: Separated at launch, twins @ShuttleCDRKelly on Earth &amp; @StationCDRKelly on #ISS to conduct human biology experiment: https://t.co…",151,0
"RT @ISS_CASIS: ICYMI: @Astro_Box reiterated that our goal is to enable research &amp; discovery that will have a definitive impact on Earth @ #…",3,0
"Zero Robotics team. Appreciate all the dedication &amp; effort - it was a meaningful &amp; enjoyable weekend. Bravo! http://t.co/b7HcYMKAJ9",0,8
"Representatives from the winning team of the High School Zero Robotics Competition 2014.  Congratulations! http://t.co/jkzry7rQtm",16,20
"The final competitors!!! Last run. Winner takes all!!! http://t.co/xH8IykbYuM",1,1
"Now live with the International Space Station!! Rick and Oleg are speaking to competitors w opening remarks. http://t.co/fbNa99h0Vy",5,4
"Our friends in Europe are tied in live. They represent some excellent teams in this competition! http://t.co/J8eMDcDMKE",3,2
"A huge amount of energy here in Boston at zero robotics finals. We are connecting w the space station now! http://t.co/eWkidsoLk9",6,6
"RT @ISS_CASIS: @ZeroRobotics ISS Finals are live now at @MIT ! @Astro_Box is in attendance. Watch here: http://t.co/szaLYSed1w",1,0
"RT @ISS_CASIS: CASIS welcomes the announcement of #ISS extension. Read more: http://t.co/gxDu8Fnvvp #ISS #ISEF",3,0
"Congrats to @OrbitalSciences for a beautiful launch yesterday afternoon carrying our 1st @ISS_CASIS sponsored research! Bravo!! #Orb1 #ARK1",8,11
"@sethmorton09 Seth, TY for the Veteran's Day shout out. Busy week and catching up with my Tweets. Proud to be part of the US veteran team.",1,1
"RT @dittmarml: Me, with @Astro_Box, @Macroober, &amp; 'Ginger' at @NASA_JSC Bldg 9 supporting @iss_casis That's a wrap! http://t.co/TBkJrneP1V",3,0
"Jeff, Gene Cernan, and I enjoying dinner in Cocoa Beach. Very fun getting to know several Apollo astronauts. http://t.co/kQ709V6oB5",3,17
"RT @AstroIronMike: Hatch between Soyuz and ISS about to open.  Welcome Koichi, Rick and Mikhail !",16,0
"RT @ProteinWrangler: .@Astro_Box of @ISS_CASIS, 'We have about 40 payloads in the pipeline, first payloads recently arrived to ISS.'",2,0
"RT @CBCCommunity: @Astro_Box @ISS_Research You've been quoted in my #Storify story 'Astronauts, physicists weigh in on Gravity' http://t.co…",2,0
"I am going again tonight to see the 3D version of 'Gravity.' The scenes were moving and they accurately capture essence of that environment.",4,6
"Watched 'Gravity' today w several associates. Admit there were scientific inaccuracies, but the movie captured the essence of being in space",11,9
"See a quick blog @ISS_CASIS Operations Program Manager Robbie Hampton wrote about today’s Soyuz launch: http://t.co/2njMc9ql1n",3,1
"Good luck and safe travels to astronaut/cosmonauts @AstroIllini, Oleg Kotov and Sergey Ryazanskiy as they launch to the #ISS today.",36,6
"RT @DonationRocket: RT @nasagoddard: WOW!!! @Astro_Box: Photo by F-15 comrades guarding the airspace for launch. http://t.co/yShJjQo0Nc #ST…",11,0
"RT @Astro_Nicole: .'@i_Leslie: An AWESOME Antares launch photo from NASA photographer Bill Ingalls!!! http://t.co/Jsp9S7SaJ9'",26,0
"Bravo!!!!!",10,7
"Good luck @OrbitalSciences with Cygnus Test Flight. @ISS_CASIS looks forward to sending great research to ISS thru you!  15 min &amp; counting!",5,5
"Today - 1st @ISS_CASIS sponsored research launching to ISS w @OrbitalSciences. Very exciting time for CASIS &amp; ISS research!  Countdown now.",2,1
"RT @ISS_CASIS: CASIS Announces Contest, 'What Would You Send to the ISS?' Grand prize winner receives $10,000 and more! http://t.co/Qx8pHx3…",106,0
"RT @hansmatic: @Astro_Box Congrats on the new role; NASA will miss you! Thanks for the advice during your time @NASAglenn #STS134 http://t.…",5,0
"@ISS_Research @ISS_CASIS  Bittersweet thoughts as I remember the amazing experiences I had at NASA &amp; anticipate the upcoming years w CASIS.",3,5
"I am very excited to be joining the CASIS team next week. After over 33 years with the fed gov, it's quite a change! http://t.co/N4fUFsYRWr",8,7
"RT @Astro_Wheels: I'll be your wingman anytime, Box!  Blue skies!  “@NASA: @Astro_Box - an impressive career. http://t.co/dta8a4abAO” http:…",6,0
"RT @NASAglenn: #NASAglenn's web team won an APEX award for Men in Blue photo w/ @foreman_mike and @Astro_Box. http://t.co/OpJ6MbYave http:/…",8,0
"Astronaut Cady Coleman is performing a fit check (connection) of a power jumper to Cygnus vehicle bulkhead. http://t.co/RsAASAudHj",5,6
"Cygnus vehicle (Orb-1 mission launching late 2013) CEIT (Crew Equipment Interface Test) at Wallops Island. http://t.co/F2XnDIbqCW",24,17
"Chris Hadfield recalled first lunar landing when 9 years old. This event inspired many of us at a young age. http://t.co/9DbOiWYkti",13,17
"Expedition 33/34/35 crew members presented an AMAZING post flight presentation at Space Ctr Houston tonight. http://t.co/5eaCz0hDvJ",13,8
"Stayed in Wapakoneta, OH on 44th anniv of Neil Armstrong's first moon step. This is his old room growing up. http://t.co/3EHxpmZb3s",11,16
