tweet,retweetsCount,favoritesCount
"RT @Astro_Alex: Saw an old friend, with nothing between us other than a thin piece of glass and 384.000 km of vacuum #Moon http://t.co/6ud5…",519,0
"'@Msuraev: А теперь начинаю публиковать фотофиксацию действительности без фотошопа #SurMax http://t.co/ttWTWdx9NW'.  Thanks Max.  Beautiful!",13,22
"RT @universetoday: Top Stories of the Week: Voyager 1 Hears Sun Echoes Far Away, In Interstellar Space http://t.co/zRsJswNP9C http://t.co/7…",41,0
"RT @medialab: 'Education is what people do to you, and learning is what you do for yourself.' Watch @joi's #TED talk from TED 2014 http://t…",274,0
"@JTiaPhD Just started watching now.  Thanks for the heads-up on #EXTANT_CBS Good #STEAM stuff!",1,2
"“@adllewellyn: Waved at @Astro_Flow today at NASA HQ ;) #wemissyou http://t.co/coVSCqWRmr”. Likewise. Look forward to connecting soon. L.",4,11
"RT @girls_inc: Congratulations 2 all #Emmys nominees, especially the #strongsmartbold women in front of &amp; behind the camera http://t.co/4ei…",9,0
"RT @nasahqphoto: The Antares rocket has been raised at the launch pad. Check out the photos on Flickr: https://t.co/2NnRbztKuU #NASA #Wallo…",50,0
".#STEAM readers you have exceeded the @Scholastic 2013 Summer reading record by 1.4M minutes already! Big Congrats! http://t.co/T6DlyTs20H",6,6
"RT @Scholastic: Kids will love this video on the Libra constellation from @NASA astronaut @Astro_Flow: http://t.co/qa7VVQOO6g #summerreading",10,0
"RT @jenpolkmaxson: Lucky 2 work with such an incredible team including 2 #astronauts :) @Astro_Flow @Astro_Ron @mindytf @Holly_RH http://t.…",8,0
"Very interesting read.  http://t.co/W8oFv7zmo7  #STEAM",1,4
"RT @iambinaxx: Beautiful Video/Music Planet Earth As Seen From #ISS #BlueDot http://t.co/p6I73LSTMX @Astro_Alex image by @Astro_Ron http://…",53,0
"RT @afterschool4all: #AfterschoolWorks by using community partnerships to fill gaps left by school-day cutbacks http://t.co/YEbkdqq5q2",8,0
"@Sannsibble @ruthef likewise.",0,1
"@TFA_STEM my parents transformed our community in such a positive way. People find me 2 tell me, 'if it wasn't for yr dad/mom I would be..😵'",0,1
"“@ruthef: @Astro_Flow Sewable circuits for making &amp; tech - free kits available http://t.co/Zha69Izp8w” VC Ruthe. Thx!",4,4
"NASA's Space Launch System (SLS) http://t.co/ZRunG790eO",10,10
"RT @USNewsEducation: Going to college in the fall? Check out our summer reading suggestion for incoming freshmen. http://t.co/79QiY2oZfR",42,0
"“@TeachForAmerica: What is a teacher? A teacher is a gift. http://t.co/8TNpIrcIcN”. I have 2 incredible gifts, thanks mom and dad. #STEAM 🚀",10,15
"RT @Amelia__Earhart: The goal was to see sunrise around the globe and share it with everyone following this journey. Photos like these... h…",26,0
"RT @universetoday: Top Stories of the Week: NASA’s Carbon Observatory Blasts off on Delta to Watch Earth Breathe http://t.co/vkg9GQFB99 htt…",30,0
"RT @girlscouts: Girl Scout camp teaches girls teamwork, life-saving skills! http://t.co/yTinWAdwF3",8,0
"“@UberFacts: 14 of the world's craziest hate groups... Let's spread love instead! http://t.co/jII0R7fcXg http://t.co/MUVCXn4OqO”.Definitely!",27,29
"'When you reap the harvest of your land, you shall not reap all the way to the edges of your field, or… http://t.co/RLgVN6HOhv",5,5
"RT @URichmondMag: One more spinning bird video. This shows Gateway Village Apartments in relation to the intramural… http://t.co/rXio3Yqoq3",1,0
"RT @B612foundation: Scientists discover fragment of missing link asteroid that led to explosion of life on Earth  http://t.co/MJiLZe5nm2 ht…",19,0
"RT @NSTA: The latest issue of Science Class for the high school level is full of lesson ideas for next school year https://t.co/JYDd8aGxtY …",4,0
"We must ensure that girls are empowered and know what 'Like A Girl' should mean. Must watch. More #Steam #LikeAGirl 🚀 http://t.co/aKGDp6CEA1",14,12
"@Astro_Clay we can and should Clay.",0,1
"RT @HuffPostEdu: Even in kindergarten, black and white students attend very different schools http://t.co/CWvWV7dOaw",14,0
"RT @Forbes: 6 fun (&amp; affordable) summer trips for families: http://t.co/7SXXMKCszH",33,0
"RT @edutopia: “If the structure does not permit dialogue, the structure must be changed” -Paulo Freire #WisdomWednesday",117,0
"RT @Amelia__Earhart: Approaching the Kisangani VOR. Anyone else been in this airspace before? #flywithamelia http://t.co/2YDhi9mAtl",11,0
"We must ensure that girls are empowered and know what 'Like A Girl' should mean. Must watch. More #Steam #LikeAGirl 🚀 http://t.co/IKZmw2k9wj",9,17
"RT @ScholasticTeach: ICYMI: kids unlocked the next constellation in the #SummerReading Challenge! @Astro_Flow teaches us about Hydra: https…",6,0
"RT @Scholastic: ICYMI: kids unlocked the next constellation in the #SummerReading Challenge! @Astro_Flow teaches us about Hydra: https://t.…",1,0
"@bryanbranly @NASASocial I'm down the road.",1,1
"pharrell I knew you would make it Off-Planet. Keep #inspiring the masses and thanks for all your… http://t.co/O4X0tjpKbQ",3,5
"http://t.co/Gn8AAPKhnU",0,2
"“@specialmom1997: @Astro_Flow we are here 2 continue ur journey”.  Thx specialmom.  We must  invest in our children for them 2b interested🚀",1,6
"Very proud of President of Richmond Federal Reserve and @urichmond Trustee member for workforce development talk  http://t.co/WJhqXYpyTb",3,2
"NASA Helps Students’ Dreams Take Flight http://t.co/0NjqZZQlwl",4,5
"http://t.co/aKNksHEY9s Sings the Praises of STEM - STEM Education News http://t.co/dLkyE2Z21h",0,5
"RT @AishaG10: @Astro_Flow Space can inspire young ppl to pursue #STEM careers. @richardbranson tells the story...summer interns http://t.co…",1,0
"RT @AfAmEducation: #AfAmEdChat starts in 15 min. w/ @Sifill_LDF @NAACP_LDF @FGossGraves @nwlc @6Gems &amp; more... Join us!  http://t.co/WIf9Jy…",7,0
"RT @HuffPostBiz: 12 powerful photos that will change the way you look at the World Cup  http://t.co/2hHspZv6Nw http://t.co/5AfT0opvtu",237,0
"RT @ScienceChannel: Astronauts love the World Cup, too! &gt;&gt; http://t.co/8oKka6a1f2 #worldcup14 #USAvGER #ISS http://t.co/FzCL8HES1t",78,0
"RT @edutopia: Good ideas. MT @TeachThought: 10 Team-Building Games that Promote Critical Thinking: http://t.co/iRIyTzFBEX.",45,0
"RT @espn: Retweet if you believe @USSoccer will advance. http://t.co/DYjieRtTHb",17524,0
"Getting the Greco @canopyfoodtruck @ The Canopy Food Truck http://t.co/V58e3KQHiM",2,1
"Stunning Americana photographs circa 1940. http://t.co/2bHdmVVl9g",6,4
"“@codycorley: Powerful Ad Regarding Girls and #STEAM. @Astro_Flow http://t.co/ta3dstSGTa”. Thanks Cody! 🚀🎼🌎🔭🎨",2,1
"“@HuffingtonPost: This time-lapse video of earth blows all the other ones away http://t.co/U4sXystYtV”. Stunning.",7,8
"RT @UberFacts: Singing exercises your heart, lungs and releases endorphins, making you feel good.",2145,0
"RT @PBS: Who said this? He’s a music legend, producing for greats like Sinatra &amp; Michael Jackson.  A: http://t.co/2EJF9L4zhO http://t.co/pJ…",40,0
"RT @NewsofSTEM: Teachers experiment on STEM Day http://t.co/pN671ifmyD",2,0
"RT @TIME: NASA’s Curiosity Rover takes selfie to mark first year on Mars http://t.co/f0eirZLc21",123,0
"RT @physorg_com: Pesticides threaten birds and bees alike, study says http://t.co/yIr1IKltNN",38,0
"RT @washingtonpost: Average Mississippi resident is probably getting more sleep than you http://t.co/a3SHsftcrI http://t.co/Cj9MSQVhEm",119,0
"“@Forbes: Why take a selfie when u can take a 3D-printed statue of yourself? http://t.co/43genjGFzt http://t.co/IycR9V7M0v” Family portrait?",3,2
"“@good: 'Life is very short and what we have to do must be done in the now.' -Audre Lorde”. Be present in the present. 🚀",4,3
"RT @scientix_eu: Powering economic growth; Attracting more young women into science and technology http://t.co/6npaxXRxcu #stemforward",6,0
"“@Forbes: If u want your work to have a social impact, give away your secrets: http://t.co/RDAum9pJua”. Gr8 article. What is your mission 1?",1,1
"Black Eyed Peas' http://t.co/g4D1sb4WE5 Talks Robots, STEM and Technology - US News http://t.co/miHZrotWdO",6,7
"Thanks Tony. #STEAM @ Perrymont Elementary School http://t.co/QZ1UcCpQGx",3,4
