tweet,retweetsCount,favoritesCount
"Happy 4th! Enjoyed past week in Houston debriefing with Max, Oleg, Soichi, &TJ. Was good to have Exp 22 together again back on Earth!",12,6
"For those in the DC area, I will be presenting at the Air&Space Museum this Thurs at 11am & 1pm in Gallery 113  http://ow.ly/1JSLU",13,1
"http://bit.ly/3BNZQi  Here's what happened...",8,3
"Congratulations to the Orion Pad Abort test team...looked like one wild ride!",4,1
"Finally! Mission debriefings are complete, reconditioning program has left me feeling strong, and free time is on the horizon.",7,1
"Settled in back in Houston. Debriefings and reconditioning going well. Feeling very good. Great to be with family. Good to be home.",8,0
"We're off, departing Star City, for the long day flying home to Houston! Meanwhile, Tracy, Sasha, and Misha prepare for launch at Baikonur.",6,1
"The med tests show the new resistive exercise on ISS is working-good news! One more full day here in Russia and fly to Houston Thursday!",4,1
"Just woke up. More med tests and rehab this AM. Feeling stronger every day. Hint of spring here. Lots of melting snow and sun expected.",3,0
"Finally got a good night's sleep. Med experiments continue. Russian press conference today.3 days until departing for Houston. Feeling good.",7,0
"We made it to Russia after 30 hour day. Fighting gravity but doing well.Med tests and rehab.Still winter in Star City. Need some sleep.",12,2
"This is it. Thanks for support, encouragement and prayers. See you on the ground!",13,0
"We will leave ISS in the good and capable hands of Oleg, Soichi, and TJ as they begin Expedition 23. 'Sail' her well, guys!",6,1
"Final prep today as we conclude Exp22. Thanks to the ground teams around the globe for a great mission bringing ISS toward full utilization.",4,0
"Personal items packed for later Shuttle return, our Soyuz nearly ready, we're ready, change-of-command tomorrow.",4,0
"Finished testing our Soyuz flight control system. Later, refresher on deorbit & entry procedures.SAR team deploying to Kazakhstan.",4,0
"This week we broke my old Exp 13 record for number of Earth photos. Later, after landing and recovery, I will post some of best.",4,1
"Big day for Japanese robitics system; 'Small Fine Arm' deploy and checkout. Soichi and TJ at the controls.",6,1
"@Phil_Johnson_Sorry you couldn't make it.  Get well soon!",0,0
"One week to go until landing in Kazakhstan! Soyuz packing and entry procedure review. And we fixed the toilet! Electronics problem.",13,0
"Just had a great pass up the East Coast USA. Beautiful sun glint highlighting Chesapeake Bay and from Long Island to Cape Cod.",5,1
"We got through the day, mostly successful, except for that toilet repair. Still working on it. Good thing we have two of them.",8,0
"toilet repair (always untimely), blood draw for experiment, plant experiment, and handover ops in prep for next weeks change-of-command.",5,1
"Starting last full week on orbit for Max and me. Coming up, leak checks of our Sokol pressure suits in Soyuz.",3,0
"Saturday activities: ISS maintenance, Earth obs, and the SPHERES experiment-among my favorites. http://ssl.mit.edu/spheres/",1,1
"Congrats to ISS Program and Team for winning the National Aeronautic Association's Collier Award!!",4,2
"Today, exercise of course. Also Station maintenance, press conference, and heart ultrasound (experiment).",3,0
"Just passed over Chili. Many ships visible off the coast likely supporting relief efforts. Photos being downlinked to MCC.",9,0
"Today experiments, stowage reorg, med exam, H2O recycle system maintenance, and... beginning of departure prep!",4,0
"Completed leak check of new Tranquility module. Started 48 hour heart experiment. Later, emergency depress drill w/ entire crew.",4,1
"Just had another pass over Patagonia. Clear skies (rare). Among my favorite glaciers in the world.",5,0
"Today full of experiments for us; blood draws, blood pressure monitor, cardio measurements, bone study, diet study; but first, exercise.",1,0
"19 days to go until landing in Kazakhstan in our Soyuz; then another week before returning to Houston!",5,0
"While 'enduring the agony' of the daily treadmill run, listened to a wonderful message on the 'race of faith' in Hebrews 12. Encouraged!",9,3
"Quiet Saturday. Starting to get organized for packing personal items for return to Earth.",8,1
"Conducting my final session of VO2max experiment; max effort on bike; painful but experiment I'm very interested in.",5,0
"'weight' lifted; donned heart monitor for experiment; conducting a couple other experiments. 3 weeks to go until landing!",4,1
"Wrapping up a relatively light day. Our exercise machine broke so spent the afternoon fixing it...back in business.",3,1
"Was up in the night to watch an East Coast and North Atlantic pass. Saw a couple of meteorites pass below and in front of us. Spectacular!",21,2
"Great to see our friends on Endeavour safely back on Earth-congrats to the STS-130 crew on a great mission!",9,0
"We worked through a little excitement today-command & control computer failure and loss of communication-4 times! All quiet now.",48,8
"Done with daily exercise; lifting and running. Time to cleanup and have some breakfast.Then back to getting things ship-shape.",3,2
"In the middle of a long sleep period, shifting back to GMT. Then couple of days off.We need the rest. Much to do in coming weeks.",5,0
"We are now starting to get things back in order on ISS after the huge reconfiguration. Undocking coming soon.",11,2
"The hatches are closed.Quiet on Station.Joint mission accomplished.STS-130 undocks tomorrow and we continue with Expedition 22.Now sleep.",16,2
"Final day with STS130 crew on board. We'll have a farewell this afternoon.",8,1
"...and no worries...we take lots of photos. Search astronaut earth photography and check mission highlights for Expedition 21&22.",8,1
