tweet,retweetsCount,favoritesCount
"Happy 4th of July to my American friends. We've spent it in a suitable way I think. http://t.co/sRE1GTwCK0",9,34
"Happy Canada Day!! Our family is privileged to be in Canada &amp; celebrating with fellow Canadians! Proud of our nation! http://t.co/Bi3o0b7jp0",23,35
"Well deserved! “@csa_asc: @cmdr_hadfield will be appointed Officer of the Order of Canada! http://t.co/fsJ209w6bx http://t.co/ij3ZdEjwGJ”",27,38
"RT @astro_reid: It’s getting good up here! http://t.co/2oSP7wh9qf",2556,0
"Former Air Cadets, Gen Natynczyk &amp; I return @cadetsca items that travelled 100million km in space with @Cmdr_Hadfield http://t.co/YVUKkbnoz8",28,38
"Very Honoured! @RCAF_ARC promotion ceremony with @cadetsca!  Both have given so very much to me. Humble appreciation. http://t.co/KNcALHMPYX",35,46
"@astro_reid I knew you could do it buddy...",0,16
"RT @NASA_Astronauts: #Exp40 cosmonaut Oleg Artemyev waves at the camera after exiting the #ISS Pirs beginning today's spacewalk. http://t.c…",68,0
"Utilizing technology to make exploration more efficient. @Astro_Sabot tries out @googleglass for NEEMO mission. http://t.co/leT10mqmEv",16,23
"Chunk of asteroid anyone? Will test evolving concept to collect 1m core sample in micro-gravity during NEEMO mission. http://t.co/0PWpwj4i0V",15,17
"Training this week for @NASA_NEEMO mission #N19. Excited to spend a week living in Aquarius habitat! So cool! http://t.co/eaWYgimVIP",56,60
"@WISE_NL @csa_asc I sure did enjoy it and you're quite welcome. The pleasure was mine. Keep up the great efforts!",1,2
"Really exciting 4 me!“@csa_asc: @Astro_Jeremy to Take Part in @NASA_NEEMO Undersea Mission: http://t.co/BylYqUW6xQ http://t.co/jJjFWXVBGq”",12,21
"RT @csa_asc: NEWS - Industry Minister @JamesMoore_org and @Astro_DavidS unveil interactive tool for classrooms this morning: http://t.co/Xd…",12,0
"Thanks for the great hospitality Newfoundland! Met many wonderful people, enjoyed nature, great first impression! Look forward 2 next visit.",8,18
"Great evening with Canadian youth who will do great things! “@csa_asc: .@Astro_Jeremy owes much to @AirCadetLeague, http://t.co/MnEGBtTtnA”",11,16
"@LetsTalkScience is doing great things for our Canadian youth thanks to many volunteers and sponsors. Awesome team! @MemorialU @csa_asc",8,11
"What? This what they do 2 astros whose talk wasn't interesting?! Sorry @RobertThirsk. @NLGEOCENTRE, hope mine goes ok http://t.co/jtWCLYlWK8",14,20
"Wow! Great afternoon with Prince Of Wales Collegiate! Many promising Canadians! Thanks for the gracious hosting @_Alouette1",6,11
"Arrived in foggy St John's. I'd share pic but would look solid white like the screen I'm typing on! Off to speak with Larkhall students!",7,13
"I may be biased, but Cadets (Air/Army/Sea) is Canadian youth program of excellence! With them tonight. I owe a great debt 2 @AirCadetLeague",21,27
"Now that's funny! “@astro_reid: Still adjusting to zero g. Just flipped a bag upside down to dump out the contents. #doesntworkhere”",18,28
"Making a comet with @LetsTalkScience and Grades 4-6 at C.C. Loughlin School in Corner Brook NL. Very cool http://t.co/AO3zEzz3CZ",14,20
"The work of JJ Curling Elementary Spacecraft engineers greets me as I arrive to speak to students this morning. http://t.co/2hUN61l8xW",23,29
"Refreshing beauty. Arrived in Newfoundland at 1am so didn't see much but I love the nature driving to Corner Brook! http://t.co/TST6ne8uCm",17,22
"Bit embarrassed to admit I've never visited Newfoundland. Will rectify that by end of the day. I have high expectations for a great week!",21,28
"Congratulations @Msuraev @astro_reid @Astro_Alex on safely reaching orbit! Just awesome!!",31,31
"Watching my classmate @astro_reid make final preparations to launch to space at 3:57 EDT. So very cool. God Speed. http://t.co/pHi5mcnx1H",11,11
"Finished touring @astro_reid 's guests around JSC. They're excited! Visited Soyuz capsule. Cramped ride to space. http://t.co/HLiLP3QANF",17,25
"RT @NASA_Astronauts: .@Astro_Reid, @Astro_Alex &amp; @Msuraev launch at 3:57p ET today to join #Exp40 crew on #ISS. http://t.co/SNJyhyRxkJ  htt…",60,0
"0.45 sec after pulling ejection handle in CF-18 the parachute opens. Crazy! Practicing ejection drills. @RCAF_ARC http://t.co/eKwA8kPJkb",20,38
"How 2 fly CF-18 jet safely? Training &amp; preparation. Completed annual ejection seat training. Hopefully don't need it! http://t.co/EtXzaSG4uC",18,43
"@fdk144 @PrincipalMoore I enjoyed reading the questions. Many future great minds! All the best.",2,2
"Fantastic 2 weeks training @csa_asc ! Many thanks 2 instructors who prepared me for robotic ops. Now home to family! http://t.co/mnMQXks4u1",12,21
"RT @CHansenMD: http://t.co/G7iqlAtRtH @Astro_Jeremy @csa_asc Great to reflect-amazing husband&amp;father! Thank-you Canada/CSA for opportunity …",4,0
"Halfway through robotics pre-test. About to grapple HTV, expecting many failures to deal with. Tomorrow final exam. http://t.co/H7bTrNMD1G",14,19
"As I sit in restaurant with robotics instructors, @Astro_Wakata @AstroRM slow fm 28000km/h in ball of plasma. Have a safe landing! 9:58EDT",10,10
"RT @csa_asc: Five years as an astronaut! Meet @astro_davids in this video profile: https://t.co/GG9io7NUrh #cdnastros http://t.co/KwKUfMYIUF",5,0
"Fair 2 say I'm even more pumped 2 explore space given what I've learnt in past 5yrs since being recruited as astro! http://t.co/Le9DEncJfb",17,35
