tweet,retweetsCount,favoritesCount
"Gr8 ISS Maint Trng.   Would be much harder with the spacesuit on!  Almost ready to pull the cylinder head.... :-) http://t.co/jfAwHZrcPC",0,3
"ISS Maintenance Training at #Maker's Garage.  Cylinder head R&amp;R 1989 Pickup.  Using published procedures!  Gr8 trng! http://t.co/edSD55mZEs",4,5
"Naval Aviation  watching Tonto launch!   Go @astro_reid , Go!   Chumps in Space! http://t.co/0Q8gRwHRpT",6,4
"At NAS PAX River to watch @astro_reid launch into space!   Go Tonto, Go!  Fly Navy! http://t.co/8Ao0zpnoQy",14,18
"ISS Maintenance Training at #Maker's Garage with @Astro_Sabot .    @astro_aggie ....you're invited :-) http://t.co/pu5MlL6kSM",1,6
"@avery_mary @UMassD Congrats Umass Dartmouth Graduates!    You Rock!",1,1
"@astro_aggie ha!   Sorry Mikey.....didn't know you were interested......plenty of maintenance coming up!      :-)",0,1
"Astro Christina Hammock R&amp;R's a starter at #Maker's Garage. http://t.co/pNdofQRkow",3,2
"Astro Drew Morgan R&amp;R's a water pump at #Maker's Garage. http://t.co/6TGPNv3GdP",2,3
"ISS Maintenance Training at #Maker's Garage with Astronauts Christina Hammock and Drew Morgan! http://t.co/kDV3ZVyHtj",13,13
"Thank you Lance Parisot for such an awesome self portrait complete with autograph!    You rock! http://t.co/tNV0k5Eisy",1,4
"Great team at UMass Dartmouth! http://t.co/pQEos0OeWL",3,5
"Thank you UMass Dartmouth for a phenomenal visit!   Absolutely INCREDIBLE catching up with all of you!",2,3
"Congrats UMass Dartmouth ME award winners...Robert Chiodi, Matt Masterson, Zach Switaj, and Joshua Stuckey.   Very proud of you!",3,2
"Congrats UMass Dartmouth ME seniors for your OUTSTANDING design projects!   WELL DONE!",0,2
"Touchdown...back home at UMass Dartmouth!    Excited to see everyone tomorrow! Go Corsairs! http://t.co/D8DfKp25iF",7,8
"@Astro_Clay You got it Clay!",0,0
"Destination Station Indy....with the Colts!    Blaaaaast Off! http://t.co/8kGpRqVXyG",8,19
"#DSIndy, Colts, Students.....  here we come!    Play 60 and Train Like an Astronaut!",9,15
"@UMassD_Alumni I can't wait to see all of you on May 7th!    Gonna be a great event!   Go Corsairs!",2,3
"@spacechelle miss ya Chelle!",0,1
"Purdue Astronaut Reunion 2014.    Here we come!    Boiler Up!",3,4
".....another great day in the office :-) http://t.co/UjK1Bxg0qD",20,26
"Completed Robotics Spec Skills Training yesterday.  Great training by JSC's awesome Robotics instructors!",2,4
"Good luck students!  MathCounts 2014, Louisville, KY.",0,0
"Congrats to the Kentucky Society of Professional Engineers Awardees!   You Rock! http://t.co/UP7Kqg75dG",3,6
"Can't wait to meet the awardees at the Society of Professional Engineers Awards Banquet.....AWESOME!",1,1
"Touchdown in Louisville Kentucky for Engineers Week!",2,0
"@fcrum73 Hey Fred...good to tweet with ya buddy!",0,0
"At Edwards AFB Dryden Flight Research Center ....   great folks!",1,3
"@Astro_Kate7 @spacechelle @msengupta @astro_reid    uh ohhhhh...I think she's lost that loving feeling Tonto...time to break out the whites!",0,0
"ISS Maintenance Training - the Sportster is back together and running great! Thanks to @Astro_Kate7 for the help! http://t.co/NzFrKke1c3",1,6
"@selyb thank you Selynn fir helping today!   It was great meeting you!",0,0
"Excellent day at Osage Middle and High Schools!  What a great community...thanks for the awesome hospitality!  I AM OSAGE!  Go Hopper!",31,20
"Chumps in space!    GO HOPPER, GO!",20,18
"@selyb Thank you...its beautiful out here!",0,0
"@dahatt what a great machine Debbie!   For sale?     I still wanna come see it!    :-)",0,0
"At the airport...heading to Osage Beach, MO to meet Hopper's friends, family and countrymen.    Go Hopper!!",1,2
"@JLECRussian.  Спасйбо !    Очен интересно!   мне нравиться старшые машиный!",0,0
"@dahatt ..... love the Indian!   When can I come see it?   :-)",0,0
"Repairing cars, motorcycles, and other systems is great practice for work onboard ISS!   A pic of my latest project: http://t.co/MbXUVEByjr",4,5
"Will be supporting Hopper at his hometown School of the Osage, MO.   Looking forward to seeing you Osage!",0,2
"Getting ready for my good friend Mike 'Hopper' Hopkins to launch to ISS!  25 Sep at 1558 CDT.   Go Hopper!",1,2
"@AstronautAbby This was his first camp, Mach 1.  :-)",0,0
"Attending Space Camp Aviation Challenge at Huntsville.   My 11 yeear old son graduates today too!  Congrats campers! http://t.co/DcOs5nbOMu",4,7
"@AstroKarenN;   @astro_luca :    Go Luca!   Go Karen!     You guys Rock!",10,7
"Anxiously awaiting Karen's launch to ISS.  @AstroKarenN - Have a great trip!!",17,9
"University of Colorado Boulder.   Nice work to the grad students in the Bioastronautics Lab! http://t.co/BDcAnggnU2",9,9
"Space is Busy, Active and Unkind http://t.co/JUzMtX9O",3,2
"Congratulations to the Warriors of Blue Hills Regional Technical School Class of 2012!  Dream Big! http://t.co/vXqKkH2i",1,1
"Just a few more hours until graduation for Warriors of Blue Hills Regional Technical School......very exciting!",0,0
"Getting ready to head to Canton Massachusetts and congratulate the Blue Hills Regional Technical School Class of 2012!",1,0
"@AstroAcaba ---&gt;  Go get em Joe!",2,1
"Lots of folks interested in space!   Thank you Randolph High School! http://t.co/iT8rSMfc",1,0
"Randolph High School wearing fighter pilot gear! http://t.co/NYhmQaxW",1,0
"Wow!    Great energy from Randolph High School! http://t.co/x3R9It57",0,1
"Showing our wounded warriors NASA's Space Exploration Vehicle.   Than you for your service folks! http://t.co/WugVWQMP",10,4
"Getting ready for talk with the hometown students - can't wait to see you Randolph High School!",0,1
