tweet,retweetsCount,favoritesCount
"“@OrbitalSciences: #Orb2 #Cygnus is in orbit - spacecraft named S.S. Janice Voss - in honor of a wonderful human being- on her way to #ISS",9,11
"With my dive buddy Susie #UnderTheSea http://t.co/gjzfLaKZli",9,14
"Seahorse! #UnderTheSea http://t.co/wyHlyUtbzJ",8,10
"Turtle! #UnderTheSea http://t.co/ZU72jHG6WJ",7,12
"Beautiful pink waters of the salt flats http://t.co/6LUea3l5CV",9,12
"The wonders that surround us! #UnderTheSea http://t.co/DWEP7F5YqX",0,4
"Under the sea! #InnerSpace http://t.co/96oM5DmyIG",9,5
"Happy Tynwald Day! @Isle_of_Man  #1035 http://t.co/U9EZMzyysJ",32,25
"@Mission_31 @ReefBase ha! For  @NASA_NEEMO 9 we always felt like we were in the people bowl ;)",1,0
"Happy Independence Day! “@NASA: Red, white &amp; blue from  #ISS to you! image of Earth's atmospheric layers #4thofjuly http://t.co/AsVuh5cXvM",18,11
"Great mission! @Mission_31: #mission31 success! Aquanauts surface. Congrats to @fcousteau @reefbase &amp; all involved! http://t.co/ypmNkRAmVc",8,4
"Thanks @Astro_Clay! Best training for living &amp; working in space #Aquarius @NASA_NEEMO @ReefBase http://t.co/lsh8dJxovy",8,6
"! “@OlegMKS: Краски Земли - Багамы 2 #МКС см. блог (Earth Paints-the Bahamas 2 #ISS) #BlueDot http://t.co/XgUfSiwKjX http://t.co/m0QIUFLUp5",8,3
"Beautiful shot of home! “@FragileOasis: Rocketships leave Earth from here &amp; dreams take flight #FL @NASAKennedy http://t.co/t3E3F1e8OQ",21,14
"She can be pretty brilliant too!    http://t.co/9rvHv8zyb3",3,3
".@Astro_Alex makes a friendly #WorldCup wager w/#Exp40 crew @astro_reid and Steve Swanson #BaldIsBeautifulISS pay up: http://t.co/f8JCYMeKzx",3,1
"@Astro_Alex makes a friendly #WorldCup wager w/#Exp40 crew @astro_reid and Steve Swanson #BaldIsBeautifulISS pay up: http://t.co/f8JCYMeKzx",4,2
"Thanks @Msuraev for sharing another look at life on ISS http://t.co/zn4z1hKNzv",9,11
"Chatting today w/Aerospace Summer Academy students @EmbryRiddle. Thanks for the awesome ?'s #IntroToSpaceflight http://t.co/FPA7jlFUVl",9,10
"Some retro space art @EmbryRiddle http://t.co/GoeseABcpy",5,9
"With awesome students from around the world #MissionDiscovery  @EmbryRiddle   #HigherOrbits http://t.co/MZAMigC480",5,9
"Ditto!!! “@AstroKarenN: I miss this glorious view! “@astro_reid: moonlight cruise over the Pacific at 28,000kph https://t.co/bPDiVYgtCp””",5,9
"@NASA_NEEMO9 crew wish we could join @Mission_31  celebrating Jacques-Yves Cousteau's birthday today. http://t.co/dxEbhhCzqI",10,9
"Huge thanks to Mr. Abbey for an outstanding Int'l Space Medicine Summit! #ISS #IdeasEnablingExploration http://t.co/Ge5TNorLQp",9,10
"Great panel today w/some awesome women- Inesa Kozlovskaya, Chiaki Mukai, Steph Wilson &amp; Bonnie Dunbar #WomenInSpace http://t.co/hcBHRPxKbh",9,12
"cool! “@astro_reid:1st space Vine! Single Earth orbit. Sun never sets flying parallel w/terminator line @ast... https://t.co/jJclJ7Ae0Z”",6,8
"Lunch today w/@NASA Admin Charlie Bolden at the Int'l Space Medicine Summit #IdeasEnablingExploration http://t.co/xVOr7LypKo",3,7
"The NASA and Humans in Space Art Video Challenge website is LIVE! Check it out! #CreateInspiration   http://t.co/K0x2owrKo3",5,5
"So amazing we can see this! Our sun in action! http://t.co/VpIIc0uPAr",3,14
"“@OlegMKS: Заходящая луна с #МКС (The Moonset on #ISS) #spacepic http://t.co/CyrpaAgnFZ http://t.co/Ag9BAFxiwR”",24,18
"Great pic Aquarius “@MikeMongo: Astronaut training science facility in Florida Keys? Yes @ReefBase &amp; it's underwater. http://t.co/FH14Ip6myx",14,14
"Best wishes @FCousteau @Mission_31 @ReefBase from NEEMO9 @Astro_Nicole @Astro_Ron! #Aquarius http://t.co/NTmKAVvjlX http://t.co/vo3grSHrTR”",10,12
"Beautiful! “@NatGeo: Photo of the Day: Underwater Park http://t.co/DmfyZjCMIJ #pod #photography”",1,1
"Very cool! “@fka_roscosmos: Для тех, кто еще раз хочет услышать традиционное 'Поехали!' от @Msuraev #запускСоюза http://t.co/QKLyHWK73i”",1,3
"Love this! Humans in Space: Youth Art Competition #STEAM  http://t.co/RBdWkP83kz",2,4
"@stingwray great minds indeed! ;)",0,0
"Happy #Exp40 Crew onboard #ISS http://t.co/edA1ZucEDn",3,13
"Big thumbs up from @astro_reid now on board #ISS #Exp40 http://t.co/jUlJUPY9Fj",28,42
"Capture confirmed! @Msuraev @astro_reid &amp; @Astro_Alex have docked to #ISS #Exp40 http://t.co/nEyvs1gQCx",11,10
"Nice up close view of the Soyuz carrying @Msuraev @astro_reid &amp; @Astro_Alex to #ISS #Exp40 http://t.co/D2dhIXebkP",9,23
"Soyuz flight of @Msuraev @astro_reid &amp; @Astro_Alex around ISS before their final approach to dock. Beautiful! #Exp40 http://t.co/j28OJtolQt",5,10
"Tshirt worn in honor of my friend @Msuraev who is on orbit now enroute to #ISS #Exp40 #Exp21Memory http://t.co/7lPLnH6UaZ",0,13
"Soyuz launch - a beautiful 'star' carrying @Msuraev @astro_reid @Astro_Alex to #ISS #Exp40 #WooHoo! http://t.co/X2DEpCBhwN",7,16
";) @Astro_Wheels:Flashback.Spaceflt training w/@NOLSedu, #Utah canyons, memories w/friends @Astro_Nicole &amp; @Msuraev http://t.co/uJOdZKdW8N",2,4
"Отлично! “@Msuraev @astro_reid @Astro_Alex это наше селфи с друзьями на пресс-конференции. http://t.co/D7mGUAEUv0”",3,5
"Memorial Day thanks to all who have served and make the greatest sacrifices in protection of our freedom http://t.co/X8v7oTR15d",30,24
"Congrats @JasonKring &amp; @EmbryRiddle team! #MEERS&amp;NEEMO Exploring Extreme Environments! http://t.co/SbZ4IZyXwp",2,2
"Go Eagles! '@EmbryRiddle: FL Lawmakers OK $42.5M for Space Projects including $3M for education programs at ERAU http://t.co/S3G7Cvnd9a'",1,2
"Creative global solutions! '@EmbryRiddle: Great photo of students bringing clean water Haiti villages http://t.co/plQwGiq9C1 #ProjectHaiti'",2,6
".@EmbryRiddle to the moon! Lunabotics Team compete in @NASA's Annual Robotics Mining Competition http://t.co/kEyf3kfSgZ #GoEagles #Robotics'",1,1
"Many creative talents @EmbryRiddle: Stained Glass Event Showcases Staff Art Talent at Embry-Riddle, DB http://t.co/Yeec6iShBX #STEAM",1,0
"A beautiful Sunday! #blessed http://t.co/x22aGBzJ51",6,19
"Wow! @SPACEdotcom: Earth rises spectacularly as a tiny blue dot above the moon  @LRO_NASA http://t.co/wgAEedESbS http://t.co/M3c3WzY1Fm",35,37
"You go! @ClearFalls Rocket Girls!!! http://t.co/njQg3KJntI http://t.co/K3G229vIxZ",8,9
".'@WIRED: The full trailer for Christopher Nolan's 'Interstellar' is out-of-this-world amazing http://t.co/nPMjOGGQgm'",7,3
"Nicely done @NicoleAtNASA 'NASA ISS Space to Ground Weekly Report - 16 May 2014 http://t.co/0Mhq5oQ7RT'",0,1
"You still are!! '@TheRealNimoy: I was so cool. LLAP http://t.co/aDxobjah7X'",16,17
"A special, 4-legged, furry hero on our tour today. Thanking all #WoundedWarriors for your service. http://t.co/wgjNUzKVMN",20,34
"Proud to be sharing a tour of our #ISS training facility w/Wounded Warrior heroes http://t.co/Nhir3tP60k",11,24
"I could see my house from here! ;) #T38Flying http://t.co/aN4Mi6Lmxs",1,11
"Stopping for fuel. Cool site on the ramp #T38Flying http://t.co/91HFsws0mY",5,11
"Join me (special guest) &amp; @astro_Pettit (always special) w/your ?'s via Twitter starting now #AskInsideISS",6,3
"Welcome home @Astro_Wakata (the man!), @AstroRM &amp; Misha! http://t.co/qxLdebZh0q",31,31
"Happy Mother's Day!!  A beautiful work of art presented to us from Mother Earth. http://t.co/bfjHVGuU8B",4,3
"Go Eagles! @EmbryRiddle http://t.co/uwtdjkfjmX",2,0
"Join me in July for 'Mission Discovery' @EmbryRiddle #SummerSpaceCamp  http://t.co/uFxFHeA7KA",1,3
"Agree! “@ESA_CAVES: as beautiful as ever! RT @NASA: Earth. As seen by @LRO_NASA from the moon http://t.co/KNZmrEwQ6g http://t.co/Syfz9nDnfp”",12,11
"Still pinch myself every time I get to pull into one of these spots! #StillHardToBelieve! http://t.co/0E4sbqmzO2",48,178
"Always fun in the VR Lab! Thx @vr_doug team!!  “@vr_doug: Here @Astro_Nicole 'helping' @Astro_Wheels ;-) !! http://t.co/Htd5oHTa81”",4,10
