tweet,retweetsCount,favoritesCount
"Great talking 2u via canphone KP MT @iamkidpresident Neighborhoodies TV special online Make the world more awesome! http://t.co/uvgMY26D4w",0,1
"RT @astro_reid: Watching #WorldCup finals with @astro_alex and our #Exp40 crew. Great game so far! http://t.co/gBgRin573m",8313,0
"RT @FragileOasis: Moon rise over planet Earth. http://t.co/adfmQZtV4r",155,0
"RT @FragileOasis: Through the #ISS window: streaking lights over #Argentina #TeamWork #WorldCup http://t.co/WpHEY9lpdj",18,0
"RT @FragileOasis: #Germany and northern Europe from the orbital perspective #ISS #TeamWork #WorldCup http://t.co/D5axdlXism",52,0
"RT @thebradmontague: Listening + learning from @Astro_Ron about seeing the world differently is one of my favorite things we've been able t…",5,0
".@iamkidpresident oh man! We don't get @HubTVNetwork here. KP can you fix that?",2,1
"I got to talk to @iamkidpresident about space Tune in to #KidPresident on @HubTVNetwork TONIGHT at 7pm ET http://t.co/OrswRVJcBP",3,7
"@Ness_Knight @nasahqphoto Thanks Ness!",0,1
"RT @Ness_Knight: 3 years ago today @Astro_Ron embarked on an extraordinary experience, a 6.5 hour spacewalk! Happy EVA anniversary Ron http…",24,0
"RT @DanSpace77: July 12, 2011: STS-135 NASA astronaut @Astro_Ron snaps these amazing images of Atlantis docked to the ISS. http://t.co/8H8p…",25,0
"RT @FragileOasis: Space worker 12 July 2011 @Astro_Ron on final EVA of the space shuttle era w @Astro_Aggie #ISS http://t.co/2AAMUtCsCM",26,0
".@awb_org builds minds &amp; bring smiles check out #TelescopesToTanzania project:http://t.co/LkmYt4lMbl",6,7
"RT @WorldHistory101: Happy Independence Day to The Bahamas! MT @FragileOasis: Atlantis over the Bahamas, taken by @Astro_Ron 10 July 2011 h…",52,0
"Someone in this px is getting ready to fly in space @astrosamantha @spasmunkey @ Sam's Boat (Seabrook) http://t.co/81N9EzRuON",5,10
".@Astro_Clay @Zach121k @0014Priya Excellent point! but I did forget @AstroDot",1,2
".@0014Priya Sure! Here's a few: @Astro_Nicole @AstroKarenN @Astro_Cady @AstroSamantha @Astro_Sun @astro_jeanette @astro_kate7",2,5
"RT @FragileOasis: Atlantis over the Bahamas, one of the iconic images taken by @Astro_Ron 10 July 2011 #TBT http://t.co/BmBUeoxV7x",98,0
"RT @jenpolkmaxson: Lucky 2 work with such an incredible team including 2 #astronauts :) @Astro_Flow @Astro_Ron @mindytf @Holly_RH http://t.…",8,0
"RT @mchanzip Now 6 million+ views 'Overview' reaches 5 mil views @OverviewEffect @Astro_Nicole @WeArePlanetary http://t.co/WF1DTUlgQY",10,11
"RT @jenpolkmaxson: Work meetings aren't so bad with this view @mindytf @SpaceArtAl @MaraiaHoffman ! http://t.co/9N0lElyDOx",5,0
"I got to talk to @iamkidpresident about space Tune in to #KidPresident on @HubTVNetwork on 7/12 7pm ET… http://t.co/G9rGVVkme4",19,28
"RT @astro_reid Some say #Saturn is the crown jewel of our solar system. They are wrong. http://t.co/67QcW61d19",31,39
".@Windows2Adventr @JPMajor I did take and it's in the public domain (it belongs to the world)",3,15
"Red White &amp; Blue for the 4th of July http://t.co/RLkAVgAFYE",30,29
"RT @iambinaxx: Beautiful Video/Music Planet Earth As Seen From #ISS #BlueDot http://t.co/p6I73LSTMX @Astro_Alex image by @Astro_Ron http://…",53,0
"@eugeniafessia @ElyseDavid @Astro_Wheels @Astro_Clay Thank you Maria - enjoying a beautiful day in Houston w/ family &amp; friends",0,1
".@iamkidpresident @HubTVNetwork I got a cool shirt too. Thanks KP! http://t.co/MzoggJ478P",1,12
"#MDG Advocates go to #SouthAfrica #Malawi &amp; #Rwanda #AfricaRising http://t.co/OMBBtcLHkP",0,2
"Wow! I just got a Presidential Medal in the mail Thanks #KidPresident @IAmKidPresident @HubTVNetwork… http://t.co/Uz0C52xMHS",15,72
"RT @JasonSilva: NEW VIDEO: Managing Our Fear Of Death - my LATEST  http://t.co/rEDNi4z7MZ cc @joerogan @janetribeca @RealRonHoward @Astro_R…",30,0
"Here's some Saturday Afternoon Geography http://t.co/gxguVFfvSG [video] #fromspace",14,13
"Just had a wonderful conversation w/ the legendary @meadowlarkL He has spread his message of joy around our planet bringing us all closer",3,16
"@Krishan499 Wow! And this was your 1st tweet?",0,0
"I remember that lonely iceberg MT @PC0101 @TinaMeany @Tamasu2 @grniz2 Wish u a big chunk Like 1 by @Astro_Ron http://t.co/4oDSKRZkIG",2,6
"On 6/23 @Wasfia raised d #Bangladeshi flag on summit of Denali 1st Bangladeshi ascent of highest mountain in N America More when @ basecamp",4,5
"RT @HumanoidHistory: #OnThisDay in 2011, astronauts Ron Garan and Mike Fossum rehearse a planned spacewalk on the #ISS. #space http://t.co/…",22,0
"Sobering #FragileOasis RT @Astro_Alex Look at what a fragile, thin layer of air protects our #BlueDot http://t.co/c1GljqHy3X",96,90
"Me 2! RT @AstroKarenN Love this! MT @OlegMKS: Космический трансформер над #МКС (Space Transformer over #ISS) http://t.co/9PJhvSPZX2”",23,30
"Cool! Just got a sat-call from @wasfia climbing Denali They're waiting @ camp14  4 wind &amp; snow conditions to improve B4 summit push All r OK",6,14
"RT @freespaceio Check out this vid from Astro Ron Garan &amp; [freespace] locations around the world who r sharing ideas http://t.co/fWmQwFqjh3",5,8
"RT @willowbl00: This totally arrived WHILE I WAS ON A CALL WITH @astro_ron. Life = crazy awesome serendipity. Also,… http://t.co/H5a6b4VHvD",2,0
