tweet,retweetsCount,favoritesCount
"Congratulations to Germany &amp; Argentina  on a spectacular World Cup match.Kudos to both teams who played with heart.The fans salute you both",14,15
"@Astro_Clay @l_krishnan @NASA_Astronauts Clay- we are celebrating all of the great accomplishments of a fantastic team of people and vehicle",0,1
"#aiaaAviation Thanks to everyone who participated in AVIATION 2014. It was a great event! Don't forget to send feedback.",3,5
"#aiaaAviation Morning panel on supply chain and manufacturing. Disruptive forces include info technology and 3D printing. Lots changing.",4,3
"#aiaaAviation Panel on the next steps for the UAS test sites happening now. FAA and each test site represented.",0,4
"#aiaaAviation Congratulations to all of our award winners!They represent excellent examples of the challenging work going on in Aerospace.",1,4
"#aiaaAviation Airbus launching a new STEM program at AVIATION 'Fly your ideas'.  Aerospace topics are great STEM projects!",6,9
"#aiaaAviation Listening to the state of Aviation in Brazil and China. The industry is growing globally- true economic driver.",1,5
"#aiaaAviation Morning plenary kicking off-discussion about integration and interoperability for airlines globally-next gen ATC and standards",2,2
"#aiaaAviation Full house listening to a talk on the future of CFD. How it needs to change as a tool for the future? Will it replace testing?",5,2
"#aiaaAviation Jack Crisler, VP Lockheed discussing how the uncertainty in US budgeting (constant CRs) hurts small businesses especially.",2,1
"#aiaaAviation Steve Dickens,Sr VP Flight Ops at Delta talking about the challenges of Next Gen Air traffic system. Complex, intriguing issue",0,0
"#aiaaAviation The JSF program is highly  integrated internationally- fostering relationships and building teams of people across borders.",4,2
"#aiaaAviation Looking forward to the opening of AVIATION 2014 today!  We have a great program including 1400 technical papers!!",4,5
"@Chief_Astronaut @nasa_neemo @reefbase @astro_tj @astro_tim Wow! Bob - that brings back memories! Was that fun, or what. Great experience.",1,4
"@AstroSamantha @astro_davids @astroterry @antonastrey Sam - that means you guys are soon up! Looking forward to seeing you on orbit!!!!",0,1
"How cool is that? A festival devoted to science! So much to learn- I need to be in five places at one time.",1,5
"#aiaa Enjoyed sharing my space experiences with the crowd at the Intrepid tonight.  Saw Enterprise too! At the World Science Festival!!",4,4
"@RocketAcademy @spacecom @phalanx Guys-great debate! Space industry can learn from others but we do have our own unique constraints.",1,1
"@Astro_Wakata. Koichi-welcome home!  Hope you had a great time and looking forward to hearing your stories.",0,5
"@OlegMKS Oleg- so excited to see you on board ISS! Hope you are having a great time.  Great training with you!",0,0
"@Chief_Astronaut welcome to Twitter Bob! Looking forward to your insights! :)",0,0
"@AstroSamantha @astro_suni Great picture guys- wish I was there with you!!  Not too much longer Sam-looking forward to seeing you on ISS",1,1
"#spaceops2014 #aiaa John Roth(SNC) talking about the economic benefit of the 'commercial' space in creating subcontractors and new suppliers",3,1
"#aiaa #spaceops2014 Deep Space Industries- technology is enabling low cost access and autonomy in mining makes mining Asteroids possible.",1,3
"#aiaa #spaceops2014 Planet Labs has 28 satellites on orbiting mapping. Expects to have 100 by next year. Will constantly map the Earth.",2,5
"#aiaa SpaceOps2014 Blackbridge- 'not a space company' but they have satellites. They use space assets to collect data/content for use.",1,1
"#aiaa SpaceOps2014 listening to the commercial space panel and the ideas for utilizing LEO for new markets and businesses. Exciting!",1,1
"#aiaa SpaceOps2014 Great awards dinner last night at the science center. Visiting with friends and Endeavour.",1,1
"@DavidWeaver @eca_as @statedept David- Mars is the coolest destination for all of us!!",0,0
"#aiaa #spaceops2014 Great day of discussions today. I learn something new at every conference-which is the point! Lots going on.",4,1
"@Strader411 Collaborate!!!!!",0,0
"#aiaa #SpaceOps Getting ready to kick off SpaceOps 2014! Ready for a great conference.",3,2
"#aiaadbf See you next year in Tucson!",1,5
"#aiaadbf DBF 2014 is over. Great job everyone and thanks to all if the volunteers who worked tirelessly to ensure a great event.",1,1
"#aiaadbf Embry Riddle Daytona getting ready to get checked out to fly http://t.co/NmhIdDLbWX",5,3
"#aiaadbf TelAviv up next",0,0
"#aiaadbf Cornell got a lap and a half- fought the power of the wind",2,0
"#aiaadbf Cornell on the runway. Trying to take off. In the air heading upwind",1,1
