tweet,retweetsCount,favoritesCount
"こんなキャンプもしてみたい“@EarthPix: Camping under the Aurora Borealis http://t.co/pHMHr2ke5i”",56,86
"ノルウェーでのオーロラ“@EarthPix: Northern Lights in Norway http://t.co/IzjXbXh8B0”",117,144
"RT @JAXA_jp: [地球観測研究センター（EORC）] 直近5日間の日本付近の雨の様子（台風11号、台風12号） http://t.co/tavzsrNo5v",44,0
"8月22日必着です“@JAXA_jp: [宇宙教育センター] [締め切り間近]「宇宙を教育に利用するためのワークショップ」発表者募集中！ http://t.co/VPzE2HQgfZ”",18,8
"RT @JAXA_jp: [宇宙ステーション・きぼう広報・情報センター] 若田光一宇宙飛行士 188日間の軌跡 日本人初船長への挑戦 ～第38次／第39次長期滞在ミッションダイジェスト～ http://t.co/CMQIugyOhM",42,0
"オーロラ、時にこんな色に見えます“@Astro_Alex: I had always been curious - is Earth blue even at night...? She is! #BlueDot http://t.co/BWYkP8YYWa”",257,244
"キリンの赤ちゃん“@EarthPix: Cute Baby Giraffe http://t.co/rxY6ldd7cH”",75,103
"子ギツネたち“@EarthPix: Bunch of Cute Baby Foxes http://t.co/7jpejspGJ1”",99,117
"水中で銃を撃つとこんな風になるようです“@ScienceAllDay: Underwater Gunshot http://t.co/rLevzrvQvK”",335,317
"ドリブルするゾウの子供“@EarthPix: Baby Elephant playing soccer http://t.co/qsCvkRBKo4”",45,69
"宇宙から見たイベリア半島“@NASA: View of Earth from the #ISS - the Iberian Peninsula at night on July 26 http://t.co/BkeiuK8oOM http://t.co/XbXVq3menM”",91,82
"流れ星、スウェーデン“@EarthPix: Shooting star in Edsbyn, Sweden http://t.co/utcxf9SJ3y”",280,334
"こんなキャンプしてみたい“@AntonioParis: Now this is a camping trip. http://t.co/6WGvNf8TEu”",227,234
"RT @JAXA_en: [Broadcast] Thursday, July 31, 2014  10:30 - 17:00 Space Exploration Symposium 2014. http://t.co/OXYnxbOE59",10,0
"RT @JAXA_jp: 【本日 10:30～17:00 ライブ中継配信！国際宇宙探査シンポジウム2014】 国際的な宇宙探査活動の未来が見える本シンポジウム。 7月31日（木） 10:30～17:00 、インターネットライブ中継を行います。 http://t.co/shelY…",53,0
"Running just 5-10 minutes a day could increase life expectancy http://t.co/CfkIdwVgxY",4,10
"1日5-10分ゆっくり走る人は、全く走らない人より3年ほど長く生きられる可能性がある、という研究です(18-100歳の約5万5千人を平均15年追跡)。http://t.co/CfkIdwVgxY",54,33
"7月下旬から8月下旬はいくつもの流星群の活動が重なり、一年で最も多く流れ星が見られる季節。7月26日のみずがめ座δ（デルタ）北流星群にはじまり、29日はみずがめ座δ南流星群、30日にはやぎ座α（アルファ）流星群がピークをむかえます。http://t.co/4py6l5IEh0",532,257
"RT @NASA: Watch the summer skies! Delta Aquarids meteor shower peaks tonight. Live stream at 9:30p ET http://t.co/dxmpRNo3Wh  http://t.co/8…",2037,0
"欧州補給機ATVの今朝の打ち上げ映像、画像はこちら“@esa: REPLAY: #ATV5 launch video now available on the ESA website: http://t.co/QllwvwV57T http://t.co/56jerbfps0”",64,48
"RT @wbs_tvtokyo: 【急募】日本人初の国際宇宙ステーション船長として活躍した宇宙飛行士、若田光一さんが今夜のＷＢＳに生出演！リーダー論や宇宙開発等について聞く予定ですが、皆さんからの質問も募集します。質問専用ハッシュタグ #wbs_sns を付け、「若田さん」と明…",220,0
