tweet,retweetsCount,favoritesCount
"Packing for Earth. http://t.co/77y40ZPq",230,159
"Before I go, another geo quiz?  http://t.co/bKgsI6km",75,68
"Emergency class in session. Reviewing emergency procedures, fire, depressurization &amp; amonia leak w the new kids.  http://t.co/KLq0KSbi",91,105
"We got three new crew mates last week. Here in their ride - the Soyuz - on their way! #ISS  http://t.co/guhlHXhZ",71,69
"Geo quiz from space! #ISS http://t.co/9lcGR9wc",55,47
"Hope everyone is doing ok with the storm. Saw #Sandy on our flight path yesterday. From our vantage point #ISS  http://t.co/KFxXl90c",4029,943
"To keep you busy, here's another geo quiz for this week.  http://t.co/5jAMsTJm",43,47
"Launch success! Getting 3 new crew members soon! While we wait for their arrival, geo quiz anyone?  http://t.co/76xNElj2",67,55
"Doesn't get any better than this: fall apples &amp; ice-cream rewards! Saving some for crew mates coming up next week. http://t.co/Xc2jgQmw",110,77
"What's Aki doing in his Gladiator costume already? Template for repeatability in ultrasound scans of our muscles. http://t.co/XibtaOhh",36,34
"On unloading #Dragon, we found a very thoughful and timely gift from our friends @SpaceX - fall apples! http://t.co/uweleckV",272,120
"#Dragon delivered science capability to #ISS like this Nanorack w power, data &amp; cooling for small experiments. http://t.co/KIU96UUN",48,36
"#Dragon #ISS No time wasted to open hatches - heck there was ice-cream! &amp; other stuff to unpack. Load master. http://t.co/aw2xAHHP",71,34
"#Dragon #ISS Got to try my hands on the sticks of the robotic arm and berthed it to the mating mechanism on ISS. http://t.co/DW9YbbdY",97,62
"#Dragon #ISS Here she comes with attitude...jets &amp; free drift command. Aki maneuvered the robotic arm to grab her http://t.co/t4cmQbrN",57,46
"#Dragon #ISS Everyone (all 3 of us) aboard had to come take a look! http://t.co/2Z4TIg4D",35,29
"#Dragon #ISS Quiet Moment:in cupola watching approach. Made 'Tally Ho' call to #MCC as it came directly beneath us.http://t.co/Fd27pDS3",38,31
"For those with the case of the Mondays, here's a new geo quiz! Last week's answer: Tahiti (off coast of Madagascar)http://t.co/lLTk9ofR",25,19
