tweet,retweetsCount,favoritesCount
"RT @NASA: Heard we're planning to capture an asteroid? Get details on our Asteroid Redirect Mission: http://t.co/fbnCV98ZZ4 http://t.co/KI8…",643,0
"RT @Astro_Alex: An orbital sunrise brings tears to my eyes. I wish every human could see this once with their own eyes #BlueDot http://t.co…",3924,0
"@yoko_phono WooooHoooo!!!  AWESOME!  I didn’t think we’d have enough sky to see it.  GOOD ON YOU!  Thanks for sharing!",0,0
"@mrkempnz Please contact our Appearances Office.  We do tele-remote sessions/appearances all the time. Just need to officially request them.",0,1
"RT @Astro_Cady: He has spent 6 months as their lead flight director.  Both tough and great to be @Tungsten_Flight as landing unfolds http:/…",10,0
"RT @NASA_Johnson: Of the 3 elements of a #Soyuz, only the central element - the descent module -- returns. http://t.co/EpC7cSeD1M  http://t…",372,0
"@edvancise LOL!!!!   Shhhhhhh!!!  Don’t tell all our secrets! :-) #EmbarrassingMoments",0,1
"For those asking about HDEV’s video, I *AM* seeing the video online. If it is dark, simply: it’s NIGHT TIME! wait 45 minutes.  Enjoy!",3,4
"@yoko_phono You won’t see the Moon.  HDEV’s cameras are pointed toward the surface of the Earth.",0,0
"Resolved the on-board network difficulties, and now you can see all the beauty and splendor from HDEV: http://t.co/v6ovPTBg4H Enjoy the awe!",14,7
"@elfsternberg OMG!The Earth has vanished!!!! :-) Ironically,we had a failure on ISS which prevents the video coming down.Recovering...",0,0
"@_MashtonCake_x Same as on Earth. Brushing is easy.  But some swallow the toothpaste; some spit into towels.",0,1
"New experiment installed yesterday on ISS, provides live HD view from Station:  http://t.co/Tc2WKuMHDv   Enjoy the beauty!",18,8
"RT @edutopia: Build Relationships with Students in the First 5 Minutes: http://t.co/4HvczgNkry",490,0
"@_MashtonCake_x :-)  Hope you enjoyed the presentation!",0,0
"RT @ScholasticTeach: Happy #EarthDay! @NASA Astronaut Leland Melvin (aka @Astro_Flow) has a special #summerreading message for kids: http:/…",10,0
"Got to visit Brewer High School, in AL,on a PR.Wonderful!Also met another TJ,&amp; also @_MashtonCake_x who sent out a nice tweet.",1,1
"@spacechelle :-)  Nope!  And that is SUCH a serious oversight, and missed market-niche opportunity!",0,0
"@malloryhair You are MOST welcome.You are so so seriously welcome!  Glad I could chat with y’all, &amp; share a bit of the wonder!",0,0
"RT @malloryhair: @Astro_TJ thanks so much for speaking with our bus tour group. - brought me to tears talking about the view. Awesome! - lo…",2,0
"@DevinLaynePhoto LOL!!! It can.  Come JOIN OUR TEAM!!! :-)",0,0
"@PC0101 LOL!!! Well said, Peter!!!",0,1
