tweet,retweetsCount,favoritesCount
"国際宇宙探査シンポジウム２０１４を7/31(木）に幕張メッセ国際会議場で開催します。宇宙博会場の隣です。入場無料です。私もパネラー参加します。インターネット中継も実施予定。是非ご参加ください！！ ＨＰ及び申し込みはこちら。http://t.co/p7h2MRfFUK",203,175
"RT @Aki_Hoshide: フロリダの海底研究室「アクエリアス」から生中継！7/25（金）21:00～21:30放送予定。NEEMO訓練の内容や海底研究室での生活など、あなたの質問を7/24(木)17:00まで受付中。詳しくは、http://t.co/X3sVMWFJPS…",159,0
"国際宇宙探査シンポジウム２０１４が７/３１(木）  に幕張メッセ国際会議場で開催されます。宇宙博会場の隣ですのでぜひご参加下さい。入場無料です。私もパネラー参加します。インターネット中継も実施予定です。HP及び申し込みはこちら。  http://t.co/QT1EKmdbMg",279,209
"Thank you @DaveAtCOGS!  This is a very nice map with the photos of Japan I enjoyed taking onboard the ISS. http://t.co/oyzz8rKOaa",118,195
"国内でのミッション報告会の開催地を公募中です。  http://t.co/c0jNpa9L6Z 多くの皆さんに宇宙飛行の報告ができることを楽しみにしています。",246,149
"Enjoyed participating in a variety of human research projects post-landing such as this 'Manual Control' experiment. http://t.co/Vzk6xviNM8",159,243
"Great to be back in the Earth gravity. Rehabilitation at NASA JSC is going well.  Technical debriefings in Houston continues.",152,238
"今日ISSを発ち、地球に帰還します。暗黒の宇宙に浮かぶこの青く美しい惑星が故郷であることを有難く感じます。半年間の滞在中応援有難うございました。 http://t.co/UxcQba4PSi",13120,12488
"Returning to our home planet soon.  I will definitely miss this awesome view. http://t.co/2Hb14Vf796",4533,5529
"早朝ですが、帰還直前の日本時間5/14(水)4時21分から約5分間、西日本の皆さん は南から東の方向に飛行するISSをご覧頂けます。各地の時間帯はこちらで。 http://t.co/yoahnqqHPb",526,430
"ISS船長の役目を本日終え、NASAのスワンソン飛行士に引き継ぎました。世界各国の地上管制局の皆さんとクルーのチームワークが、ISSでの実験やシステム運用における素晴らしい成果に繋がったと感じています。",1437,1030
"See SPHERES（Synchronized Position Hold, Engage, Reorient, Experimental Satellites) experiment we conducted in Kibo. http://t.co/1iD7g7XsOl",78,110
"「きぼう」の中で行った小型模擬人工衛星（SPHERES）を編隊飛行させる実験の映像です。http://t.co/YfbKnBj5yS",162,198
"Nice view of Venice, Italy. http://t.co/KWL9XdDHmO",782,995
