tweet,retweetsCount,favoritesCount
"Today ISS has had crew 5000 d:s. I followed the 1st crew’s trip there fr TsUP. Amazingly much has happened since. For science, tech &amp; peace",5,7
"Should one be scared, angry or sad, when elected politicians says things like this about the climate question http://t.co/dWmcCO4EaO",9,1
"RT @SverigesRadioP3: Rymdmannen @CFuglesang (min idol typ) är med i #hallåp3 idag (NU). Ställ en fråga med taggen! Eller skriv här: http://…",5,0
"On the island Ven Tycho Brahe made his meas'ts, leading to the modern view of solar system. A great museum today here http://t.co/nQ8wqW14Ko",5,9
"Landskrona. Inviger konstutställningen 'International d'Art Naïf' kl 14. Undrar hur en naivist skulle illustrera jorden från ovan?!",3,1
"Bye #Almedalen! Wonderful pot of ideas and discussion - exchanges that drive and improve society forward. This is DEMOCRACY!",4,5
"TV 'Godmorgon Almedalen' om 5 min. Ska pratas om sociala medel och hur/varför använda bl.a. Twitter",1,3
"Radiointervju om bristen på ingenjörer och om KTHs studentsatellit - på ryska! Hoppas det blev förståeligt:-)",1,0
"Varför så låg genomströmn för ing.-utb? En anledning: för lätt få jobb innan helt klar. Men en del klara ej. Förkunskapsnivån måste höjas",1,1
"#Almedalen: 'Hur löser vi Sveriges ingenjörsbrist?' Är det brist i antal, el utbildn., el hur de utnyttjas på arbetsmarknaden?",0,1
"RT @TeachforSweden: @CFuglesang och Peter Larsson @Ingenjorerna har skrivit under för likvärdig skola i #Almedalen http://t.co/Bu6dTrCYe6",3,0
"Snart Stålbrallan, prisutdelning, arbetsmiljö, rymdteknologi. http://t.co/V6IRVHBUfp",3,0
"Unga ställer fantastiska frågor! Några ska jag försöka besvara när Svenska Science Centers diskuterar framtid kl 16:15 idag på Fenomenalen",6,3
"För att förtydliga: ville inte alls gå förbi kön vid Surfers. Men ngn (förstod sen Malou v S) bilen insläppt &amp; då frågade jag om kötid!",5,5
"Surfers, i Visby. Det värsta jag råkat ut för. Är helt nykter men blir portad för är 'för onykter'. Bara för att ha frågat om väntetid !!",168,73
"RT @AnnFollin: Imorgon 2/7 sitter @CFuglesang , Skolverkets @Anna_Ekstrom + statssekr Bertil Östberg mfl i Heta Stolen Fenomenalen 16:15 /1…",4,0
"#Almedalen 11-13 ”Hur säkra återväxten av naturvetare &amp; tekniker” Några politiker &amp; forskare (&amp; jag) diskuterar. MAX-lab org. S:t Hansg. 18",2,1
"Zakaria: Brilliant on econom&amp;political world history; why we should be optimistic. Sweden has good system, do incremental changes to keep up",8,2
"Fareed Zakaria in #almedalen While in US i read many good articles by him. http://t.co/58I80dyTgi",5,1
"Almedalen week. Amazing political-societal fair w 3000+ sched events + much more informal.  In Visby; i saw as a small dot fr ISS one night",3,3
"Mot #Almedalen. Inget 'självmordsförsök' i år:-) Mkt om vikten av teknik, utbildning, inspirera unga mm för min del",8,8
"@ppanah svårt nyansera på 140 teck, men finns ingen anledning anta ngt är ET bara för det svårt hitta annan förklaring. Förr var det troll!",0,0
"Visual interaction how one appears in a Higgs-field at'Italia del Futuro',#tekniskamuseet - artistic particle physics http://t.co/Q8yy3HisjB",3,1
