tweet,retweetsCount,favoritesCount
"@WUSTLRocketClub Sleek rocket indeed! Sure team will remember eng experience for yrs to come! Still remember my team projects @WUSTL!",0,1
"@jaredsgilbert Glad to hear your son was able to get some astronaut training, tell him to keep reaching for the stars!",0,0
"Congratulations @OrbitalSciences on having #Cygnus in initial orbit for #ISS! I know #Swanny, @Astro_Alex, &amp; @Astro_Reid can hardly wait!",28,28
"RT @NASA: LIVE NOW: TV coverage of the 12:52pm ET/16:52 UTC launch of #Orb2 from @NASA_Wallops. Watch: http://t.co/CRIMw5oD5v http://t.co/j…",393,0
"I'm just the Astronaut that picks #ISS crews now, but still plan to fly again soon! RT @DaveNavarro: Thanks for the tweet! FROM SPACE!",2,11
"@Astro_Reid &amp; @Astro_Alex are our Tweeters from space now, more from them soon I'm sure! RT @DaveNavarro: Thanks for the tweet! FROM SPACE!",3,8
"Standing by for tomorrow's launch! RT @nasahqphoto: Time-lapse of @OrbitalSciences #Orb2 prep https://t.co/Rc2n8yuw8k http://t.co/r41bF2jJwE",2,9
"@DaveNavarro Thanks, we're looking forward to continuing the streak!",0,1
"Soon to be home of @NASA_NEEMO 18 crew! 'RT @Astro_Alex: #Florida w/ Keys / Florida und die Keys. #BlueDot http://t.co/t3cgwDDfAt'",4,18
"Nice work @WUSTL! 'RT @WUSTLEngineers Rocket Club's Wrighton Rocket to ~10k ft. http://t.co/Zeure6VY6E @ChancellorWU' http://t.co/dhvUzHVIRe",6,7
"Hats off to those who made this so! '@astro_reid: 5,000days ago Shepherd Krikalev Gidzenko kicked off #ISS Exp1 http://t.co/GvBIR9DURo'",8,11
"Look close, @HiRISE pic shows @NASACuriosity trail as it explores beyond safe landing zone! http://t.co/HGcswRd4j4 http://t.co/KyTW94tcRt",3,5
"Thank you @OrbitalSciences for celebrating the memory of @NASA Astro Janice Voss w/ the Orb-2 mission! http://t.co/TpwVV9DQPE",2,6
"Neat story @CNN on our ground preparations for upcoming #ISS #spacewalks w/@astro_wheels + @astro_jeanette: http://t.co/Nwhbj4ZrZR",10,13
"Amazed me as a kid, still does! '@NASAVoyager: Waves from sun make interstellar space sing: http://t.co/oLb9fH79UH http://t.co/CYxaZoouBv'",8,13
"Awesome @NASAJPL pic combines @NASA_Hubble @NASASpitzer @ChandraXray + others, Very Cool!  http://t.co/G9WVSJ5mvX http://t.co/ysIHwFV33h",10,13
"Short story on @NASA_Orion's rocket: http://t.co/ReLf10VGpb http://t.co/3g3lqjAyqk",10,12
"Happy Birthday America! Still remember, on 4 Jul 2006 when @NASA lit the best birthday candle ever! http://t.co/IHv9ZgFolr",29,52
"Get ready #swanny @astro_reid &amp; @Astro_Alex! Robotic capture of #cygnus scheduled in July: http://t.co/uOAiBtLOZL http://t.co/nCMbRs6H49",25,26
"@AstroTerry Emergency training on the ground? Worth every minute! Never needing to respond to a real emergency on-orbit? Priceless!",3,7
"Congratulations @Mission_31 on 31days @ReefBase! Looking forward to @NASA_NEEMO 18 &amp;19 coming right on their heels! http://t.co/Q2vxHtgBTQ",3,8
"RT @TODAYshow: Incredible! RT @astro_reid: Here is a #TodaySunrise from space for @MLauer http://t.co/Vhf27aQ4C3",103,0
"Congratulations to @NASA_JPL &amp; @NASA_technolgy for their successes during today's #LDSD test!  Good Luck w/recovery efforts!",7,11
"Who lost the bet? '@NASA_Johnson: #Exp40 completes week, more @ISS_Research &amp; less hair! http://t.co/23ttopoLcT  http://t.co/Yle3yMhf7f'",10,17
"Watch NASA's Low Density Supersonic Decelerator-LDSD (AKA flying saucer) live now: http://t.co/zIWM4s8dDX http://t.co/wIrJC5zLL7",0,4
"@nasa's flying saucer's next launch window opens tomorrow, hope Hawaiian weather cooperates! http://t.co/gzFxigr2wm http://t.co/QDAxir1pdE",4,10
"RT @NASA_Johnson: It's #USA vs #Germany in Out of This #WorldCup on #ISS as #Swanny, @Astro_Reid &amp; @Astro_Alex show off their moves! http:/…",35,0
"RT @NASA: Live Now: Our most-difficult @NASA_Orion parachute test:  https://t.co/GNhBAbWsDn Question? Use #OrionTest  http://t.co/5Fkl6jfZb5",200,0
"RT @MarsCuriosity: What a long, strange trip (around the sun) it's been. Here's what happened during my 1st #MartianYear. http://t.co/BERiu…",822,0
"@AstroTerry enjoy your 1st trip to vacuum in your private spaceship!",3,6
