tweet,retweetsCount,favoritesCount
"Flag taken to #ISS in 2011. Find out it's importance to @Commercial_Crew: http://t.co/7g9AipOobM. #throwbackthursday http://t.co/tgBSeDcRdm",28,25
"Shuttles had the robotic arm, Apollo had the rover. What equipment would you include in next generation spacecraft? http://t.co/n7i53QKPVq",58,57
"#NASA's @Commercial_Crew partners featured in new @Spaceport_Mag on digital newstand http://t.co/AuwX4h6fSV. pdf: http://t.co/Wr9vUDDT3W",4,4
"Inspired by a destiny that 'Lies Above Us,' NASA vet earns recognition by @NASA_Astronauts. http://t.co/bpkbsvQKVp http://t.co/pR87oA71Dq",20,21
"Read about NASA's aerospace partners' devotion to testing as they show their programs' progress. http://t.co/8S8yi0jOl9",31,39
"Find out why @NASA astronauts studied the way an ant colony conducts searches http://t.co/VXaknWw8u9 http://t.co/jNSPbMcsEo",6,3
"The #ISS will move over Central Florida today for three minutes starting at 9:44 p.m.  Visit http://t.co/dszeLWIMeO for more viewings.",3,2
"You’ve seen models of CCP-partner spacecraft in a wind tunnel, now check out World Cup ball getting same treatment: http://t.co/ql40TKQrX6",3,1
"Take a close look @NASA's stepping stone approach to human exploration of Mars and how @Commercial_Crew fits in. http://t.co/YMT81o5HgN",107,74
"#NASA's @Commercial_Crew partners featured in new Spaceport Magazine on digital newstand http://t.co/vn0T4Y9YgD pdf: http://t.co/UMgYpuwS9o",8,6
"#NASA @Commercial_Crew and industry partners completed first phase of certification agreements today. Details at http://t.co/xH6Pi7nZfQ",4,5
"@SpaceX unveiled Dragon V2 at Hawthorne, Calif., HQ. Vehicle was developed in partnership with @Commercial_Crew http://t.co/LM2khnfSgB",442,449
"Take a look at 3 experiments that just came back from the #ISS: http://t.co/2ccudMxvK6 http://t.co/KiwQfBiWyY",8,9
"RT @NASA: Today we honor the Americans who have served in the military. #MemorialDay http://t.co/hgIHcKPyMs   http://t.co/PqukvANKkx",1741,0
"Check out these CST-100 detailsas @BoeingDefense continues to develop it in partnership with @Commercial_Crew. http://t.co/JoH30G1RGH",23,16
"@cvatca ISS operates with 6 but has hosted 13 w/ a shuttle. Limit is how many seats available for crew to leave in event of emergency.",0,0
"NASA: Explorers Seek Adventure http://t.co/XmsbFfVtjk",7,1
"Space Station Science Forum at 3:30 on @NASA_TV. @Commercial_Crew could enable more research by allowing a larger crew on the station.",6,3
"@NASA_Langley provides wind tunnel expertise to SNC’s Dream Chaser team. Video and feature at http://t.co/AFFOd9ZIYP http://t.co/AHvTEZMIBN",25,16
"Commercial Crew partners are making progress to return human space launches to U.S. soil. Learn more: http://t.co/cvIWtJIg0k",14,10
"Wally Schirra chose Sigma 7, Shepard went with Freedom 7 - What would you name a spacecraft? http://t.co/Lpp5vdqy58 http://t.co/8GjgIokZUd",37,24
"@BloombergTV took an up-close look at the work CCP's industry partners are performing to make next U.S. spacecraft http://t.co/kYiviP4ueu",10,9
"Did you ever wish you could see the Earth from the #ISS? Watch the live HDEV stream at http://t.co/Ff5ENhpuhP. http://t.co/OHd9v5rOfd",125,112
"Did you miss Kathy Luders' interview on @NASA_TV? Watch it here: http://t.co/27fKUZiSAa",5,2
"See the latest detailed testing of SNC's Dream Chaser in partnership with @Commercial_Crew. http://t.co/u1baj15O3u http://t.co/hAxZtyMKru",11,9
