tweet,retweetsCount,favoritesCount
"PASSAGE TO MARS: New Trailer narrated by Zachary Quinto released by @JulesVerneFest: http://t.co/rzhFY8TZdT #MarsInstitute #pascalleetweets",3,5
"RT @JulesVerneFest: ★ Breaking news ★ ZACHARY QUINTO COMES ABOARD 'PASSAGE TO MARS' ★  Actor Zachary Quinto (Heroes, Star Trek) cast... htt…",3,0
"RT @pascalleetweets: Explore Mars's moons! Join my talk Tue 3 Jun, 7p PDT: http://t.co/iNwWnJrL6G or watch it live: http://t.co/b9HhCP55BJ …",3,0
"How about landing @SpaceX's Dragon V2 at @HMP to get ready for Mars exploration?...",1,2
"RT @pascalleetweets: We're one giant leap closer to having a Mars lander for humans with @SpaceX's new Dragon V2: http://t.co/KaLJPoAnZ0 @H…",2,0
"RT @pascalleetweets: Ping Pong says it was so much fun to see Air Force One at Moffett Field today! http://t.co/U0dl7Su8fx",1,0
"RT @BooksIncEvents: Take a voyage to Mars w/Chairman of the Mars Institute @pascalleetweets 1/4/14 @BooksIncMV 4PM!!! @Scholastic http://t.…",2,0
"RT @mary_roach: If you know any middle-school space buffs, run, RUN, to the web and get them a copy of @pascalleetweets 's Mission: Mars.",11,0
"RT @pascalleetweets: Earthlings, MISSION:MARS Talk+Book Signing @SETIInstitute +Google Hangout Fri 13 Dec 4-6pm PT http://t.co/eYMUIjX1Ky  …",3,0
"RT @pascalleetweets: Thanks Diane @deekayw @tv_eh for a fun interview. Ping Pong is glad dinosaurs are gone and mammals pulled through!... …",2,0
".@pascalleetweets and Marcelo Vazquez talking about Humans to Mars @KZSU 90.1 FM 5-7 pm PST. Streaming right now at: http://t.co/9do2rid1eT",1,0
"RT @pascalleetweets: Nice @CBCNews North story on how Devon Island 'stars' in my new childrens' book, MISSION: MARS, alongside @NASA @HMP h…",2,0
"RT @PJTukker: Ben Audlaluk of Grise Fiord tests Mars spacesuit, Devon I., NU. Research feat. in new book 'Mission:Mars' #cbcnorth http://t.…",17,0
"RT @pascalleetweets: @MissionAsteroid, a documentary filmed in part in the Arctic @HMP will premiere on CBC-TV Canada on 5 Dec 2013 at 9pm …",2,0
"RT @pascalleetweets: MISSION: MARS, The Talk! Come for Talk + Book Signing Sat 16 Nov, 7:30-9pm @ChabotSpace in Oakland, CA http://t.co/YXw…",2,0
"RT @pascalleetweets: Future Mars Explorers, my kids' book, MISSION: MARS, is now available on @Amazon at http://t.co/un5SeANtsE More info h…",2,0
"News: @CBSNews piece on MISSION: MARS by @pascalleetweets w/ @HMP -2013 videos: http://t.co/Sf6Bv4mwu0",0,1
"Pic: @HMP Research Station under snow (20 Aug '13), by @pascalleetweets http://t.co/O8uemWM4Zm",1,2
"@scholastic @marsinstitute @setiinstitute launch 'MISSION: MARS', new book by @pascalleetweets http://t.co/ZxTFJTaZ4p",0,0
