tweet,retweetsCount,favoritesCount
"RT @timepictures: Astronaut Reid Wiseman's stunning photos from space (Photo: @astro_reid—@NASA) #spaceweek | http://t.co/ynUQgVE1ay http:/…",652,0
"RT @Astro_Alex: Tomorrow we'll grapple #Cygnus #Orb2 spaceship with this robotic arm. Steve on hand controllers, I do vehicle command http:…",172,0
"RT @astro_reid: My #favorite photo to date. Lucky shot…Cuba, Bahamas, Florida at night under a high moon. http://t.co/9BFwOnJsXk",1941,0
"@AmericanBoarder @ISS_CASIS Hard to tell based on the info! You can use this site for future sightings: http://t.co/RY4Zvph4hv",0,0
"Scientists have a new resource in @ISS_Research Guide Series to launch ideas: http://t.co/BGfCsbQELW @NASA http://t.co/oYCChIiIgC",20,18
"@SavesOurPlanet @Astro_Alex Plastics can be good for some aspects of our lives. Health care has been revolutionized by plastic, for example",0,0
"@BillPatrickus @Astro_Alex In part, yes. You can read about finding for @ISS_Research here: http://t.co/cTef1Ulevc",0,0
"Mixing colloid samples in space - for better products on Earth (via @Astro_Alex) http://t.co/8CT7lkbNg1 http://t.co/PRL6CSu9Hq",14,26
"@nourtra00456201 @Astro_Alex Many fluids you touch every day are colloids; milk, blood, paint, detergent...",0,0
"@BillPatrickus @Astro_Alex You can read more here: http://t.co/PRL6CSu9Hq",0,0
"@nourtra00456201 @Astro_Alex Check it out: http://t.co/PRL6CSu9Hq",0,0
"RT @Astro_Alex: #ISS commander Swanson mixing colloid samples in space - for safer foods and durable plastic on Earth @ISS_research http://…",47,0
"Congratulations @OrbitalSciences on successful launch of #Orb2 SS Janice Voss on #Antares!",24,37
"RT @OrbitalSciences: This #Cygnus spacecraft is named the S.S. Janice Voss. Janice worked at Orbital early in her career before becoming an…",28,0
"RT @NASA: What to expect during today's #Orb2 launch countdown: http://t.co/MhR8wiUXLi  NASA TV coverage starts at noon ET. http://t.co/mRT…",281,0
"RT @NASA: A full moon is seen rising over @OrbitalSciences Antares rocket ready to carry #Orb2 to the #ISS at 12:52pm ET Sunday http://t.co…",1651,0
"RT @OlegMKS: Эксперимент Кулоновский кристалл #МКС см блог (Experiment Kulonovskiy Kristall #ISS more blog) http://t.co/tvQu5XLbFe http://t…",27,0
"RT @astro_reid: Our gorgeous Earth at night under a #fullmoon http://t.co/IykzfmJeqx",3115,0
"@nishanttotla @astro_reid Also the students who have been involved through educational activities.",0,0
"RT @astro_reid: 5,000 days of #ISS – 82 countries have contributed to @ISS_Research http://t.co/MMWDxrkzc7",645,0
"RT @astro_reid: 5,000 days of #ISS - 24,000 hours of @ISS_Research - biology, physical science, technology, human physiology, Earth &amp; space…",211,0
"@MTurk255 @NASA Yes! It is in our nature to explore.",0,1
"@blackiejames1 @NASA You can read about all ~1600 experiments and their benefits to Earth here: http://t.co/4AEFmuZPp8",0,1
"@DarkHelmetSB We've got that (though maybe not the laser you meant...) http://t.co/hkrqRkygQ9",0,0
"@Arcturus227 @astro_reid Outstanding, Flight!",1,1
"@faheem_kpk Very peaceful!",1,1
"RT @astro_reid: 5,000 days ago Shepherd, Krikalev, &amp; Gidzenko kicked off #ISS Expedition 1 http://t.co/cpkWdWDynL",414,0
"5,000 days (almost 14 years) of continuous human presence aboard #ISS and going strong! Lots more #science to come!",587,644
"RT @SpaceKSCBlog: Happy 5,000 @ISS_Research! Here's the countdown clock at 6:23 AM EDT when it clicked to 5,000. http://t.co/yAVV3gfTVW @IS…",7,0
