tweet,retweetsCount,favoritesCount
"[Collaboration] 10 beautiful moon maps through the ages Article (C) CNN / Image (C)NAOJ/GSI/JAXA http://t.co/1uJpu0D6of",8,2
"[Broadcast] Thursday, July 31, 2014  10:30 - 17:00 Space Exploration Symposium 2014. http://t.co/OXYnxbOE59",10,2
"[Info] Prease join International Space Exploration Symposium 2014.  July 31, 2014 10:30-17:00 / At MAKUHARI MESSE. http://t.co/Px23lRWFC2",10,8
"[Earth Observation Research Center (EORC)] GOSAT Website was Opened. http://t.co/Oan4mgRofL",3,8
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, May 2014 http://t.co/oEd7MJvID1",5,2
"[International Space Station (ISS) / Kibo Site] Exposed Experiment Handrail Attachment Mechanism (ExHAM) http://t.co/YjOAlJcq3n",5,3
"[Earth Observation Research Center (EORC)] Bai-u front in June 2014 observed by the Global Precipitation... http://t.co/7cfNjMMbzG",9,2
"[Movie] First Image Data from DAICHI-2(ALOS-2) http://t.co/kZPl2ZJZhz",16,7
"[International Space Station (ISS) / Kibo Site] Student’s reports on 2013 parabolic flight published http://t.co/h1mAPbkd4W",10,2
"[Earth Observation Research Center (EORC)] GPM Level 1 GMI and Partner Radiometer data are available at G-Portal. http://t.co/AS7Wzazw2u",4,4
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, April, 2014 http://t.co/ddmcer1eKW",4,0
"[Institute of Space and Astronautical Science (ISAS)] The Forefront of Space Science: Mission design of moon tours http://t.co/ZEcq7X8CKo",5,5
"[Public Relations] Server Maintenance Info http://t.co/AkaW6EUfgW",2,0
"[JAXA President Monthly Press Conference] JAXA President Monthly Regular Press Conference May 2014 http://t.co/D8nv3T62WR",1,3
"[Satellites and Spacecraft] IKAROS wakes up from hibernation mode for third time http://t.co/ckFFMUQhFX",13,6
"[Institute of Space and Astronautical Science (ISAS)] The Forefront of Space Science: Aiming for a Much Higher Sky http://t.co/1Wfbcq36lh",4,3
"[International Space Station (ISS) / Kibo Site] JAXA Astronaut Activity Report, March, 2014 http://t.co/vMoclfwx4d",4,5
"The application for the ITYF will be closed at 24:00 on May 30 (GMT). Hurry up! http://t.co/0FLiQiLbJW",2,0
"The application for the ITYF will be closed at 24:00 on May 30 (GMT). Hurry up! http://t.co/TTRem50xkr",2,1
"[Institute of Space and Astronautical Science (ISAS)] The Forefront of Space Science: Computational Science in... http://t.co/4O07y1BMRN",6,3
"[Special] Watching the Earth with a State-of-the-Art L-band Synthetic Aperture Radar Shinichi Suzuki Project... http://t.co/ImZsDSqbw5",7,7
"[Aerospace Research and Development Directorate] Component catalog was added. http://t.co/SkndJNIDn4",1,0
"[Earth Observation Research Center (EORC)] Termination of the ALOS User Interface Gateway(AUIG) service. http://t.co/bji5nnLW6q",5,0
"[International Space Station (ISS) / Kibo Site] Return of the Soyuz Spacecraft (37S/TMA-11M) with Astronaut... http://t.co/KlWG4DbPhj",4,1
"[International Space Station (ISS) / Kibo Site] Downlinked videos from JAXA Astronaut Koichi Wakata aboard the... http://t.co/hEzLKzoLPg",11,10
"[Satellites and Spacecraft] DAICHI-2 (ALOS-2): Mission talk by team leaders http://t.co/LHwfUuqagi",6,6
"JAXA Organization Chart (As of April 1, 2014) http://t.co/NQRcMqK9nM",6,3
"JAXA Astronaut Activity Report, February, 2014 http://t.co/ajbhqaVBfg",2,2
"Beyond the Sky and into Space JAXA 2013-2014 http://t.co/16jci7PLqq",6,4
"JAXA Pamphlet, Leaflet [Issuance: 04/2014] http://t.co/OLy3uZ6G00",6,3
"JAXA TODAY No.08 http://t.co/jRqVuijmFb",7,6
"[release] On global estimates of monthly methane flux based on observational data acquired by the Greenhouse... http://t.co/F7dBhmfQo8",4,4
"Beyond the Sky and into Space JAXA 2013-2014 http://t.co/x7DTnw6IH6",3,4
"DAICHI-2 (ALOS-2) transportation to Tanegashima http://t.co/jd87zYmsjI",7,6
"JAXA aeronautic magazine 'Flight Path' No.3/4 / 2014 SPRING http://t.co/Mke74qFp92",1,6
"[release] First Images Available from NASA-JAXA Global Rain and Snowfall Satellite http://t.co/W2Z1KfOm1s",11,14
"[release] Selection of Prime Contractor for Development and Launch Services of New National Flagship Launch Vehicle http://t.co/heAXeCaf8W",7,5
"JAXA Astronaut Activity Report, December, 2013 http://t.co/STRcald4lT",5,5
"[release] Pharmaceutical Companies Participation in High-Quality Protein Crystal Growth Experiment on Kibo http://t.co/pFK4YwUey3",8,9
"[release] Yakult Honsha, JAXA to Start Joint Research Regarding Study of the Effect by Probiotics on Human Immune... http://t.co/ppRWMDBX06",17,7
"JAXA President Monthly Regular Press Conference February 2014 http://t.co/4m62Ti9CN5",1,6
"Vu Viet Phuong , A Successful Partnership http://t.co/wROU7nSd41",1,3
"JAXA International Top Young Fellowship in 2014 http://t.co/UkYjeSipDu",8,3
"JAXA seeks for researchers who are willing to apply for the International Top Young Fellow. (by May 30, 2014) http://t.co/IjQz3Ipg9J",17,4
"[release] Launch of H-IIA Launch Vehicle No. 24 http://t.co/DZQxshJm2f",12,3
"Kakuda Space Center open house http://t.co/Afgx0PeW3V",11,5
"[Special Content Arcive] Saving Lives With Satellites:Using Space Science to Prevent Natural Disasters(May 9, 2012) http://t.co/gPTvoIcHP9",6,1
"[release] Astronaut Wakata's Assumption of the ISS Commander http://t.co/WYlyd1ZDcF",38,19
"YouTube Live '1st Japanese, Commander Wakata' is streaming now.  http://t.co/7oC4Oeydde (in Japanese.)",24,6
"[release] Weathernews and JAXA to Launch Collaborative Research into Small Aircraft Operation Technology http://t.co/rkw9QIKMOL",4,1
"[release] NASA and JAXA Launch New Satellite to Measure Global Rain and Snow http://t.co/18cxfRzJ8i",39,18
"[release] Launch Result of H-IIA Launch Vehicle No. 23 with GPM Core Observatory onboard http://t.co/CfXZL5OTEI",18,4
"or Please tweet with hashtag #GPM !!",3,4
"Support message for the GPM/DPR !! http://t.co/pXkeWwBfYx",5,4
"&lt;&lt; GPM/H-IIA F23 launch time decided! Live broadcast from 2:50 a.m. on Feb. 28 (Fri.) (JST) &gt;&gt;  Support message for the GPM/DPR !!...",0,5
