tweet,retweetsCount,favoritesCount
"RT @NASA: Are you watching? We're talking #CivilRights50 live now on NASA TV: http://t.co/mewvz62sDI &amp; use #askNASA to ask Q's of our panel.",83,0
"RT @NASA: Live now: Join us to celebrate 50 years of the Civil Right Act. Watch live: http://t.co/mewvz62sDI &amp; use #askNASA to ask Q's #Civ…",84,0
"RT @DavidWeaver: #NASA's Charlie Bolden intros @SuzanneMalveaux for Civil Rights panel discussion w/@RepEBJ @NASA #CivilRights50 http://t.c…",40,0
"RT @nasa_nagin: .@NASApeople We also focused on women/girls empowerment in #pakistan and talked #STEM .@NASA. The women i met were deeply i…",1,0
"RT @tweetsoutloud: “@SirPatStew: USA…USA…USA. http://t.co/ynPZZD9TVM”  Pretty sure whatever team this guy is on is gonna win.",106,0
"RT @bnjacobs: #NASA's chief scientist Dr. Ellen Stofan on plans to kidnap asteroids and pioneer Mars http://t.co/5d9q7aDPJ6 http://t.co/1Sj…",32,0
"RT @astraughnomer: Dr. Harriett Jenkins speaking at @NASA celebration of Civil Rights Act 50th anniv. #CivilRights50 #askNASA http://t.co/0…",5,0
"NASA People we are celebrating the 50th anniversary of the signing of Civil Rights act! Tweet me your questions! #askNASA #CivilRights50",0,0
"RT @Astro_Cady: #GreenChemistry Challenge for sustainable tech opened today! http://t.co/T0Zg57vMH9 @NASA @nike @USAID @StateDept http://t.…",10,0
"RT @NASA360: What's the next billion dollar industry? Perhaps it's the low altitude frontier. Watch along LIVE http://t.co/tm4sozE446 #aiaa…",5,0
"RT @NASA_APPEL: What makes stories by scientists such as Carl Sagan &amp; @neiltyson so compelling? @NASA seeks to address this: http://t.co/gd…",4,0
"RT @NASAJPL: I spy with my infrared eye... @NASASpitzer sees tiny, odd asteroid #2011MD  http://t.co/z6Kx5kT0Bb http://t.co/CgFIWvLMFj",38,0
"RT @nasa_nagin: @NASApeople it has been awesome talking about @NASA in #pakistan",1,0
"RT @NASA: How we build a space laser: http://t.co/ZzotoTLOVl #EarthRightNow #TechTuesday #321TechOff http://t.co/JTOjZ3dtpa",473,0
"Congrats to all #RITgrad engineers  and graduating engineering students everywhere!",6,4
"Guess who is going to have my job and be @NASApeople someday? http://t.co/shwfiApnSX",0,1
"NASAPeople future leaders show some style! http://t.co/MMsAIIXFPR",0,1
"RT @forestservice: .@smokey_bear has new Wildfire Prevention PSAs to kick off his 70th bday:  http://t.co/qH7j6atEjv http://t.co/kiXNPLlUJc",27,0
"RT @calebkinchlow: We are gearing up 4 our next action packed ,robot filled, hipster friendly @nasa @NASA360 episode #science #Robotics htt…",10,0
"RT @NASAArmstrong: #Armstrong served 7 years as a pilot at the NACA-NASA High-Speed Flight Station. #ThisisArmstrong #NASAArmstrong  http:/…",23,0
"RT @NASA: .@AstroRM, @Astro_Wakata &amp; Mikhail Tyurin set to return from #ISS tonight. Watch live: 3p ET http://t.co/1mKUqiX0S4 http://t.co/l…",505,0
"@Paul_Anninos super cool!",0,0
"RT @GovExecEvents: @JeriBuchholz says use social media during this program: @NASApeople #EIG2014",1,0
"@sharonwfeb14 no lunar rovers in the presentation.  Curiosity Rover and James Webb Space telescope!",0,0
"RT @oligrew: @NASApeople 2000 pound rover  #EIG2014",1,0
"@Paul_Anninos JPL Curiosity Has Landed!",0,0
"@sharonwfeb14 yes!",0,0
"RT @sharonwfeb14: @nasapeople  charlie bolden is the nasa admin.",2,0
"@paige_pinson Yes!",0,0
"RT @Paul_Anninos: @NASApeople #EIG2014 @JeriBuchholz striving to 'make geography inconsequential' via virtual collab platform",3,0
"@JonStehle Yes!",0,0
"RT @JonStehle: Nasa administrator Bolden @NASApeople at #EIG2014",1,0
"@GovBizCouncil @JeriBuchholz Yes!  Congrats!",1,1
"RT @GovBizCouncil: Its the Webb telescope at Goddard space center @NASApeople @JeriBuchholz #eig2014",1,0
"RT @GovExecEvents: @JeriBuchholz of @NASAPeople is tremendously exciting. Don't forget to engage with the rest of the audience with #EIG2014",1,0
"RT @hillter: #EIG2014 @NASApeople Great video montage of NASA employees! Building Model Supervisors is key!  Innovation recognized via soci…",1,0
"@cmonkeydog Always sit in the front row.  You'll never regret it.",0,0
"RT @fatlarry: @nasapeople super smart person who found his/her own way to be weird in a suit #EIG2014",1,0
"@fatlarry Yes!  Bruce McCandless!",0,2
"RT @goyal_abhi: @NASAPeople #EIG2014 For the 4th Tweet test, I believe the person in the suit is Bruce McCandless II",1,0
"CORRECT! @goyal_abhi: @NASAPeople #EIG2014 For the 4th Tweet test, I believe the person in the suit is Bruce McCandless II”",2,1
"@jimwinner we wish it was!  Bruce McCandless.",0,0
"RT @jimwinner: @NASApeople #EIG2014 tweet #3  Who is in the suit?  A contented, high-flying, NASA employee.  Not George Clooney?",1,0
"@cmonkeydog Hah!  Great answer!  It's Bruce MCandless!",0,0
"RT @lenart1: Being a good sport and tweeting like a nice lady asked me to... @nasapeople #EIG2014",2,0
"RT @tshoop: NASA's Jeri Buchholz: employees encouraged to be 'their own kind of weird.' @NASApeople #EIG2014",2,0
"RT @JonStehle: Looking at the Mars rover at #EIG2014 @NASApeople",2,0
"RT @hillter: #EIG2014 NASA Culture Strategy is Awesome!  Employee driven social media platform is very cool! @NASApeople",3,0
"RT @JonStehle: Great energy by @NASApeople on best places to work! #EIG2014",2,0
