tweet,retweetsCount,favoritesCount
"#Exp40 waits for #Cygnus arrival on Weds, preps for #ISS #Progress 55 departure next week. http://t.co/OBebzormft http://t.co/NRk3hYBmV4",18,26
"RT @astro_reid: Nicely done @Orbital_Sciences – looking forward to #Cygnus arrival on Wednesday!",87,0
"RT @Chief_Astronaut: Congratulations @OrbitalSciences on having #Cygnus in initial orbit for #ISS! I know #Swanny, @Astro_Alex, &amp; @Astro_Re…",28,0
"RT @Astro_Alex: My crewmate Sasha and I will be watching over the arrival of @ESA's cargo vehicle #ATV5 on this command post http://t.co/Vi…",86,0
"On this week's #SpaceToGround: #Orb2 launch preps, tracking storms, and another milestone for #ISS. http://t.co/BiDLY2wLi5",8,8
"As @OrbitalSciences #Antares rolls out for 7-12 launch, #ISS crew preps to welcome #Orb2. http://t.co/efcJUbRavX  http://t.co/rIx91avl6D",25,39
"Today #Swanny, @Astro_Reid &amp; @Astro_Alex rehearsed capture of #Orb2, set to launch 7/12. http://t.co/RwIVaDpgJ8  http://t.co/En9IqPyTx1",36,47
"RT @NASA: Launch to #ISS by @OrbitalSciences now Saturday at 1:14p from @NASA_Wallops. More at: http://t.co/kb1PFY6F8b  http://t.co/sqSB3WY…",414,0
"UCM (Madrid) has made a compilation of nighttime images of Earth taken from ISS. See if you can help tag the imagery! http://t.co/NuAZSWYrqv",26,20
"55 days into #Exp40, #ISS crew preps for upcoming visiting vehicles and robotics.  http://t.co/LLBpW3S2xi http://t.co/hhSALAQvbO",55,69
"RT @Astro_Alex: #ISS crew will watch #BRAGER live after science is done! Good luck to both teams, but I will wear my German shirt ;) http:/…",359,0
"RT @astro_reid: The interesting shaped #eye of super #TyphoonNeoguri – 2155 GMT, 7 July http://t.co/raNonr8qbK",3290,0
"#Exp40 begins week with preps for @OrbitalSciences #Orb2, set to launch to #ISS Friday. http://t.co/9RKfNE6oIB  http://t.co/pqesuccrpJ",22,25
"RT @Astro_Jeanette: At NASA Stennis. Image of A-1 test stand where the RS-25 engines for SLS will be tested in Aug. http://t.co/nTcirvwbSJ",60,0
"RT @astro_reid: Hurricane #Arthur has grown an eye since we last met. http://t.co/HBJoDrcNxQ",4116,0
"This week's #SpaceToGround #ISS update: Clearing the air, skin research, &amp; watching Earth's light show from #ISS. http://t.co/gvv2POcHbK",11,17
".@Astro_Wakata, 1st @JAXA_en commander of #ISS, joins us to talk about his milestone mission in space. http://t.co/CHZ9dmKDjo",12,16
"#Exp40 conducts variety of science ahead of July 4th holiday. TS #Arthur viewed from #ISS. http://t.co/kuMZ8ntYP8 http://t.co/PpaL3ZWCQY",69,56
"RT @astro_reid: Beautiful to the south, unwelcome #Arthur to the north http://t.co/TJ6c4lS65o",1569,0
"RT @Astro_Alex: Hurricane #Arthur seen from the #ISS / Der tropische Wirbelsturm #Arthur von der #ISS aus gesehen http://t.co/xaaIQcrKBJ",861,0
".@Astro_Reid shared this pic today celebrating 50th anniversary of #CivilRightsAct1964... http://t.co/USzyBUk9dc http://t.co/0V59dc5qhn",69,85
