tweet,retweetsCount,favoritesCount
"RT @NASA_SLS: Artist concept of #SLS rolling out to the pad @NASAKennedy at night. To Mars and beyond! #SLSInspires http://t.co/TOqKszlvCe",45,0
"RT @MarksDef: .@NASA_Orion lookin' good in the UK MT @LockheedMartin: Hello from #FIA14! http://t.co/lHyB3ur0UB http://t.co/MkqCD5LD2U",15,0
"RT @NASA: 45 years ago we stepped on the moon. Today we're on a #Path2Mars for our #NextGiantLeap: http://t.co/AgnVNHIUTG  http://t.co/f3m3…",1169,0
"RT @NASA_SLS: 'Diffusing' the Situation: @NASA_Marshall -Developed Hardware for Propellant Tanks May Benefit Future #SLS Missions: http://t…",5,0
"RT @NASA: We're marking the Apollo 11 45th anniversary! Our administrator on our #NextGiantLeap: http://t.co/3pJDbNNkbv  http://t.co/VnWDOa…",736,0
"RT @NASA_SLS: #SLS core stage passing critical design review featured on @ThisWeekatNASA! http://t.co/BaToDMzyCS",11,0
"RT @NASA: WATCH live at 2pm ET our search for 'Life Beyond Earth' panel: http://t.co/1mKUqiX0S4 Question? Use #askNASA  http://t.co/vEmvysU…",374,0
"RT @Honeywell_Aero: #SundayFunday activity: Take a #ImOnBoard selfie for @NASA_Orion http://t.co/Jt1vudk90U http://t.co/iyUqAfgP5M",4,0
"RT @Honeywell_Aero: Xiomara from our Puerto Rico site took a selfie with the @NASA_Orion #ImOnBoard banner! http://t.co/uZCnF4C3Et",4,0
"RT @Honeywell_Aero: Joseph from our Clearwater, Florida site is on board with @NASA_Orion! #ImOnBoard http://t.co/U6RAkoyZqn",2,0
"RT @NASA: Today marks 5,000 consecutive days of humans living &amp; working aboard the International Space Station. #ISS http://t.co/IRrxU0j5z0",3698,0
"RT @Honeywell_Aero: Greetings from our pricing team in Puerto Rico! #ImOnBoard @NASA_Orion http://t.co/CEStxjwCxQ",4,0
"RT @Honeywell_Aero: Phoebe at Honeywell in Puerto Rico posing with the @NASA_Orion #ImOnBoard banner http://t.co/lqn9b1xePi",5,0
"RT @Honeywell_Aero: #PhotoFriday:Our colleague Debbie in Clearwater FL designed the crew module power supplies for @NASA_Orion #ImOnBoard h…",6,0
"What's faster than a speeding bullet? http://t.co/kCVJNwS4aV",7,14
"Orion's master computer is faster than other space vehicles. #imonboard #oriontest http://t.co/OsoQitA268",30,28
"RT @ATK: The @NASA_Orion could travel from LA to NYC in 6 minutes – a flight on commercial airlines takes 5.5 hours!  #FactFriday",13,0
"RT @ELHSPaddock: Great talk about @NASA_Orion from Ed Stanton! #ReImagineEd http://t.co/Pd8LusYqoc",3,0
"RT @NASAKennedy: Read the latest Ground Systems Development and Operations (#GSDO) Program Highlights at: http://t.co/7Fes7qvw05 http://t.c…",49,0
"RT @NASA_SLS: Check out the latest edition of #SLS Highlights! http://t.co/V1L291FmTt",5,0
"What have we been up to in June? http://t.co/JxRp6TW6Fh #imonboard #oriontest",7,7
"RT @BoeingDefense: .@RollCall Topic A: Defense blog:  All systems go for #Space Launch System http://t.co/1vQCNb0BTg @NASA_SLS @NASA_Marsha…",8,0
"RT @MarsCuriosity: Laser zapped this rock to see what was inside. (Hint: not nougat.) http://t.co/YzZLfZhe3W #PewPew http://t.co/NxxhGaKrXy",1002,0
"RT @NASA_SLS: Welding metal! Nearly 1/2 mile of friction-stir welds have been completed at #Michoud for #SLS! #progress http://t.co/sKeuybz…",35,0
"RT @NASA_SLS: Today is the 3rd anniversary of the last shuttle launch #STS135. We are building on that legacy with #SLS! http://t.co/emW29H…",64,0
"NASA Renaming Historic Florida Facility for 1st Moonwalker Neil Armstrong http://t.co/k9uWBRtg3J",19,23
"RT @NASA: Where were you for the Apollo 11 moon landing? Share your story w/ @TheRealBuzz: http://t.co/o8qunGOQqM #Apollo45  http://t.co/sh…",542,0
"RT @LockheedMartin: Astronauts to an asteroid? Yes! @NASA_Orion will play a role in the Asteroid Redirect Mission (ARM) in the 2020's: http…",24,0
"RT @NASA_SLS: From @NASASpaceflight: Pegasus Barge to begin renovations for #SLS core shipping: http://t.co/wOH2yGb286",3,0
"What kind of Guppy can fly? See for yourself in this week’s A to Z spelldown. https://t.co/FeZ7H4JHcl http://t.co/0DmKfTuJM5",12,9
"Thank you Facebook for our first 100K likes. Help us get to 200K! Spread the word http://t.co/q0VS543dn2 http://t.co/EODmKW2Xkw",15,20
"Notoriously reclusive Neil Armstrong to have NASA building named for him http://t.co/lWAVkOeWuv",21,23
