tweet,retweetsCount,favoritesCount
"Artist concept of #SLS rolling out to the pad @NASAKennedy at night. To Mars and beyond! #SLSInspires http://t.co/TOqKszlvCe",45,39
"Cobb: 'The basic infrastructure we're building now will allow us to go to Mars!' #nextgiantleap http://t.co/uZjRNIi3cd",9,7
"Sharon Cobb talks to @SpaceCampUSA Advanced Academy Educators. Honored to share with those that shape the future! http://t.co/k2ZLw64niT",4,1
"'Diffusing' the Situation: @NASA_Marshall -Developed Hardware for Propellant Tanks May Benefit Future #SLS Missions: http://t.co/8G2IvoxJal",5,2
"RT @NASA: We're marking the Apollo 11 45th anniversary! Our administrator on our #NextGiantLeap: http://t.co/3pJDbNNkbv  http://t.co/VnWDOa…",736,0
"RT @NASA: Changes in Martian gully may be caused by the carbon dioxide frost: http://t.co/XE7kY3iC3D @HiRISE   http://t.co/LuGLoHxVkJ",266,0
"#SLS core stage passing critical design review featured on @ThisWeekatNASA! http://t.co/BaToDMzyCS",11,9
"RT @XploreDeepSpace: The @NASA_SLS boosters burn 1.5M pounds of propellant in 2 minutes - an average 6.25 tons of propellant every second! …",6,0
"RT @NASA_Orion: Orion's master computer is faster than other space vehicles. #imonboard #oriontest http://t.co/OsoQitA268",30,0
"Check out the latest edition of #SLS Highlights! http://t.co/V1L291FmTt",5,0
"RT @SpaceRiter: Check out the 30-ft @NASA_SLS rocket @ATK had at the @HAFB #Airshow: http://t.co/17TfSO6tQu ...and watch for the rocket at …",3,0
"@willrmiller @Sci_Quest We don't sell the models. Sorry!",0,0
"RT @BoeingDefense: .@RollCall Topic A: Defense blog:  All systems go for #Space Launch System http://t.co/1vQCNb0BTg @NASA_SLS @NASA_Marsha…",8,0
"@JohnHoolihan both! These tanks fuel four RS-25 engines along with two 5-segment solid rocket boosters",0,1
"Welding metal! Nearly 1/2 mile of friction-stir welds have been completed at #Michoud for #SLS! #progress http://t.co/sKeuybzVz9",35,17
"#SLS engineer Tim Owen talks with kids today attending Lunar Explorers Camp at @Sci_Quest in Huntsville. #SLSInspires http://t.co/OeWzKl2gmM",3,3
"RT @NASA: The @MarsCuriosity rover keeps going and going on the Red Planet! http://t.co/VJ1s4NFdMf   http://t.co/oaxOEKZodu",444,0
"Today is the 3rd anniversary of the last shuttle launch #STS135. We are building on that legacy with #SLS! http://t.co/emW29HXiJE",64,58
"RT @NASA_Orion: What kind of Guppy can fly? See for yourself in this week’s A to Z spelldown. https://t.co/FeZ7H4JHcl http://t.co/0DmKfTuJM5",12,0
"From @NASASpaceflight: Pegasus Barge to begin renovations for #SLS core shipping: http://t.co/wOH2yGb286",3,3
"RT @NASA_Orion: Kazi Kamruzzaman is a @LockheedMartin engineer building Orion https://t.co/Lub6SNcy4W http://t.co/YO33s9bOU5",12,0
