tweet,retweetsCount,favoritesCount
"39-я годовщина совместного космического полета #Союз–#Аполлон #МКС подробнее см. блог http://t.co/JH5jtfkMed http://t.co/z17wv4Iam0",14,17
"Soyuz-Apollo Space Flight 39th Anniversary detail in blog #ISS #Apollo http://t.co/JH5jtfkMed http://t.co/R8r2jLWwHR",11,16
"Краски Африки - Песчаные дюны Сахары #МКС см. блог #BlueDot http://t.co/uqRE8IudCI http://t.co/ASg770tBCl",9,18
"Paints of Africa - Sandy dunes of Sahara #ISS HQ in blog #BlueDot http://t.co/uqRE8IudCI http://t.co/4mwyyUzZIb",33,37
"Работа с блоком очистки от микропримесей (БМП) на #МКС см. блог  http://t.co/Y8WV0dhp8i http://t.co/dnsk6KXP8V",3,9
"Work with Micropurification Unit (BMP) on #ISS see blog http://t.co/Y8WV0dhp8i http://t.co/koRkCK7wXH",2,18
"предыдущее фото - озеро Урмия, Восточный Азербайджан (previous photo - Lake Urmia, Eastern Azerbaijan)",1,5
"#Краски Земли — где-то между Каспием и Персидским заливом #МКС см. в блоге http://t.co/14idEUwFP1 http://t.co/dJPZ5CRKmv",22,18
"#Earth #Paints – Between the #Caspian Sea and the #Persian Gulf. HQ in blog #ISS http://t.co/14idEUwFP1 http://t.co/sIGgHP0p1D",28,34
"Снова #Камчатка #МКС см. в блоге (#Kamchatka #ISS HQ in blog) #BlueDot http://t.co/RiMQsF9LRw http://t.co/JKXMVQXK62",27,37
"Над Дубаем #МКС см. в блоге (Over #Dubai #ISS HQ in blog) #BlueDot http://t.co/YUosXbDSt3 http://t.co/9RK8YkHsCC",46,46
"все фотографии теперь можно увидеть и в моём инстаграм (all my photos you now see in instagram) - http://t.co/IL5PEm8LYU",3,10
"Краски земли — Дельта Волги #МКС см. в блоге (Earth Paints - Volga Delta #ISS HQ in blog) http://t.co/V1y2OUITjD http://t.co/TlO2v3rLih",55,55
"Работа Замена фильтра в ФГБ #МКС подр. в блоге (Filter replacement in FGB #ISS detail in blog) http://t.co/Adym9eGn9T http://t.co/jgb8ZXvOPz",7,18
"Персидский залив #МКС см. блог (Persian Gulf #ISS HQ in blog) http://t.co/Ti65DuLj1U http://t.co/ig7H8Edg7Q",37,47
"Полнолуние на МКС #МКС см. блог (#SuperMoon #ISS HQ in blog) http://t.co/22H2x2CJyY http://t.co/a4j86HpQKn",34,54
"RT @astro_reid: Watching #WorldCup finals with @astro_alex and our #Exp40 crew. Great game so far! http://t.co/gBgRin573m",8313,0
"12 июля - годовщина запуска модуля Звезда #МКС подробнее и ещё фото в блоге http://t.co/dVUsmWcJI4 http://t.co/rNUKGE7ToZ",14,11
"July 12. Zvezda heads into orbit aboard a Proton rocket in the year 2000. more in blog #ISS http://t.co/dVUsmWcJI4 http://t.co/HuyKdDwCMm",5,15
"Города России - #Севастополь #МКС см. блог #BlueDot http://t.co/hee5D7lUsV http://t.co/3mhweyUten",85,33
"Cities in #Russia - #Sevastopol #Crimea #ISS HQ in blog #BlueDot http://t.co/hee5D7lUsV http://t.co/eEdxeEKsBg",26,32
"RT @Astro_Alex: My crewmate Sasha and I will be watching over the arrival of @ESA's cargo vehicle #ATV5 on this command post http://t.co/Vi…",86,0
"Краски Земли - #Африка #МКС см. блог (#Earth Paints - #Africa #ISS HQ in blog) #BlueDot http://t.co/u0FNIbPgoh http://t.co/t20ii3mhbl",38,42
"Краски Земли Багамские острова #МКС подр. блог (#Earth Paints #Bahamas #ISS detail in blog) http://t.co/lcAMicbSsu http://t.co/xi67tsWE07",45,64
"Эксперимент Кулоновский кристалл #МКС см блог (Experiment Kulonovskiy Kristall #ISS more blog) http://t.co/tvQu5XLbFe http://t.co/kOOth2gPjX",27,34
"Камчатка #МКС см. в блоге (Kamchatka Peninsula #ISS HQ in blog) http://t.co/CsMXatIbU2 http://t.co/zj7wuo08qR",25,49
"Полнолуние. 12 июля 2014 #МКС см. блог (Full #Moon. July 12, 2014 #ISS HQ in blog) http://t.co/p5O6DBZ5xT http://t.co/Ypenz194qB",54,65
"все фотографии теперь можно увидеть и в моём инстаграм (all my photos you now see in instagram) - http://t.co/IL5PEm8LYU",3,9
"Краски Земли Африканский полумесяц #МКС см. блог (Paints of Earth. African Crescent) #BlueDot http://t.co/pmBSaiHhta http://t.co/bn3gwuauNm",41,62
"Остров Сент-Хелена, Южная Каролина, США #МКС см. блог #BlueDot http://t.co/sTgUKsrmDq http://t.co/mxnCyE6tZY",13,38
"St Helena Island, South Carolina, USA #ISS HQ in blog #BlueDot http://t.co/sTgUKsrmDq http://t.co/OQeDKOOtnL",31,41
"Гребешок из ледников рядом с Лабуче Канг #МКС см. блог #BlueDot http://t.co/ZQlV0IUlMy http://t.co/3HRE9vQM2i",12,18
"Glacier’s Comb near Labuche Kang #ISS HQ in blog #BlueDot http://t.co/ZQlV0IUlMy http://t.co/j5iyrYLWvu",36,43
