tweet,retweetsCount,favoritesCount
"RT @avspacemuseum: Be sure to watch @CBCTheNational feature on @Cmdr_Hadfield 2nite w/ an appearance by @RobertThirsk filmed at @avspace ...",2,0
"RT @asc_csa: .@Cmdr_Hadfield s'envole ds l'espace le 19 déc. Voyez notre événement animé par @Astro_DavidS @RobertThirsk en direct! http ...",4,0
"RT @csa_asc: . @Cmdr_Hadfield launches to space Dec 19. Watch our launch event hosted by @astro_davids &amp; @RobertThirsk live! Info: h ...",9,0
"Sur mon blogue : La quête de l’excellence http://t.co/YdzWoZnd",0,0
"On my blog: The Pursuit of Excellence http://t.co/K7XJjAaa",1,0
"Astronaute et recherche en santé http://t.co/zt6CpMaG",0,0
"RT @asc_csa: 16 novembre 2009 : l’astronaute canadien @RobertThirsk commence l’expérience canadienne APEX-Cambium à bord de l'ISS http:/ ...",1,0
"RT @csa_asc: November 16, 2009: Canadian astronaut @RobertThirsk began the Canadian experiment APEX-Cambium aboard the #ISS http://t.co/ ...",2,0
"RT @asc_csa: Acez-vous vu le Doodle de Google aujourd'hui? Il célèbre le lancement du Canadarm en 1981! http://t.co/Vi1QLDH0 http://t.co ...",6,0
"RT @csa_asc: Have you seen today's Google Doodle? It celebrates the launch of Canadarm OTD in 1981! http://t.co/xFFyEjzQ http://t.co/Zx1 ...",23,0
"The stuff of dreams http://t.co/7ESMa3od",0,0
"Lunch with Dr. Yves Joanette http://t.co/xuz9tStz",0,0
"One Month and Counting http://t.co/brOj6D6g",0,0
