tweet,retweetsCount,favoritesCount
"RT @NASASocial: TODAY: Are we alone? We don't know. Experts discuss the search at 2pm ET: http://t.co/N1dRaw5b3l  Q? #askNASA http://t.co/j…",25,0
"Join our discussion on the Search for Life in the Universe live at 2:00 pm ET http://t.co/8VMMMojfbU #askNASA #NASASocial",10,5
"Do you feel alone in the cosmos?  Check out the panel today on the Search for Life in the Universe. http://t.co/e7rKrlKsRT #NASASocial",6,6
"#OCO2 solar arrays out, power positive on orbit!    Thanks Delta II. #EarthRightNow #NASASocial",10,7
"#OCO2 in orbit!   One more burn of the second stage engine to circularize the orbit in 40 min.",10,8
"Second stage, fairing gone!  phew!  #OCO2 on the way to orbit. #EarthRightNow #NASASocial",68,109
"If you are in LA go out now to see if you can spot #OCO2 going by.",1,7
"Liftoff of #OCO2 on a mission to unravel the science of the CO2 cycle. #EarthRightNow #NASASocial",6,3
"Inside of 4 minutes to go.  If I was on board this is the time I'd start to get really excited, Go #OCO2!",3,5
"Final checks in progress. Still time to watch http://t.co/uhrkoS4Da3 #oco2 launch.",6,0
"Holding at T-4 for the next 10 minutes.  This will allow final checks. #OCO2",5,5
"Coming up on the preprogrammed hold in the final launch sequence for. #OCO2 WX go.  #EarthRightNow",2,0
"Hold in the launch die to lack of water flow for the sound suppression system. Launch is scrubbed for today.  launch window was only 30 sec.",7,3
"The Earth is changing and we're on it!   The clock is ticking for #OCO2  3 minutes and counting. #EarthRightNow #NASA",1,4
"All Go for Launch!!! for #OCO2 to study the sources and sinks of CO2 on our #EarthRightNow mission. #NASASocial",2,2
"Fog enshrouds the rocket as we get ready to launch #OCO2 as the launch team does its final checks. http://t.co/2i3FsDZYU6",3,7
"RT @NASAGoddard: Watch the launch of #OCO2 on @NASA TV here: http://t.co/O7k7wSDnLc http://t.co/TLzI7cfLZU #EarthRightNow @IamOCO2 http://t…",19,0
"Launch poll in progress.  NASA team has declared GO FOR LAUNCH of #OCO2  on a #ULA Delta II launch.",9,7
"Coming up to the final built in hold for the launch of #OCO2.  Five years in the making and it all comes to fruition soon. #EarthRightNow",4,3
"#OCO2 launch will be visible down the California coast from Vandenberg to LA. #NASASocial #EarthRightNow",5,1
"The clock is counting down for #OCO2 launch from Vandenberg CA.  T-10 minutes.  #EarthRightNow",3,2
"RT @EarthVitalSigns: Tonight carbon-counting #OCO2 launches from Vandenberg AFB in Southern California. More info: http://t.co/P52VsN4K3W h…",17,0
"Carl Sagan is more powerful in his absence than most people while they are present.  -Ann Druyan at #Cosmos event http://t.co/nYTX1IaFoN",47,53
"Ann Druyan talking about the new #Cosmos and when she was with Carl Sagan for the original Cosmos. http://t.co/SX5taDHtN1",2,11
"Comet lands in Brooklyn Bridge Park. #67PandMe  #WSF14 #NASASocial http://t.co/KoQVJzJRdY",17,23
"Excited to talk to students from around the world about Hubble &amp; JWST! Watch Live, 11:30 am EST http://t.co/YrOsDWMOd0 #WSF14 #NASAWSF",29,26
"Join me at the #WSF14 TONIGHT to talk about Gravity http://t.co/v0m7UcKKws and space exploration http://t.co/7TXIjiSlyF! #NASAWSF",7,6
"#USClimateReport-it’s time to #ActOnClimate: http://t.co/lufyat9LMI. See how @NASA science supports the report http://t.co/NycxGwn6Yp",7,1
