tweet,retweetsCount,favoritesCount
"RT @SefraMarie: @astro_aggie Please RT &amp; help us reach our goal for the #ChemoCareKits4Kids!  We're so close! http://t.co/ffgeSv2KHs http:/…",2,0
"RT @ShuttleCDRKelly: Gabby &amp; I in 2008 as I got ready to command Space Shuttle Discovery's flight to @ISS_Research #TBT http://t.co/3KM0saV…",27,0
"RT @RJSzczerba: Timelapsed sunset - photo by Matt Molloy http://t.co/7hFit08Kql #photography #nature #travel",70,0
"RT @astro_reid: Freaky to float past the airlock at night. #Spacesuits silently wait for us to join them. http://t.co/XNl7KZgGQp",724,0
"RT @NASA: Red, white &amp; blue from the space station to you! #ISS image from 2011 of Earth's atmospheric layers:   #4thofjuly http://t.co/JmB…",1787,0
"RT @HumanoidHistory: @astro_aggie You had quite the #4thofJuly in 2006. A fireworks show to remember. http://t.co/B4JhSjBgJY",12,0
"“@AGSWIN: Mike, did you speak to Sun City Aggies @ Muster a number of years ago ? Buddy Bradford '61 @agswin” No - did San Antonio last year",0,1
"Auf Wiedersehen to my friends at the European Astronaut Centre in Cologne! @EAC It was great working with you again!",1,3
"Great work at NYLT, Sean!!   “@SeanSheward: Also forgot to mention that I met @astro_aggie last week at camp! http://t.co/syRIxnSdh9”",5,11
"RT @astro_reid: It felt like I could reach out and touch it…moving like a snake through the sky. http://t.co/wx7GEdvjXt",3067,0
"RT @astro_reid: Good game Germany! Thanks for the shave @astro_alex #worldcup http://t.co/mJ0upYT87c",878,0
"Can't wait!! “@ESA_CAVES: Much MUCH better than spiderman or cat woman https://t.co/0zAjs1zqSp http://t.co/wGE2bAB9Qg”",0,10
"RT @ESA_CAVES: We start capturing #caves2014 participants! With @astro_aggie @boessoale @cardaris @ the @ESA_EAC summer #BBQ http://t.co/Td…",3,0
"RT @amikokauderer: Friendly #WorldCup competition on #ISS ahead of tomorrow's #USA vs #Germany game #Goal! RT: @astro_reid GO USA! http://t…",8,0
"RT @GBHunting: #TellTAMU18 if you make time for Twitter, go ahead and switch out of Engineering.",16,0
"RT @adllewellyn: @HumanoidHistory @Astro_Ron I laugh imagining the VERY SERIOUS banter here between you and @astro_aggie :)",1,0
"All suited up &amp; ready to go!  “@HumanoidHistory: Here's you during 'dry run' for spacewalk 3 yrs ago, June 22, 2011. http://t.co/Yi9BwCTpJK”",5,12
"RT @Sully1876: @astro_aggie @waynehale I've always thought my thoughts would be something like this: http://t.co/3MPOw69DpF",2,0
"“@waynehale: As Capt John Young used to say about space launches 'If you're not a little scared you don't understand what's happening' Amen!",11,16
"RT @JohnCMaxwell: I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we mu…",890,0
"“@jennymosswrites: It must so hard to do that amazing thing &amp; love it so much &amp; not be able to go back.” Jenny- I haven't given up! In line!",0,8
"Awesome - miss that view, too!  “@astro_reid: moonlight cruise over the Pacific at 28,000kph https://t.co/JfLaJ9D91g”",18,22
"“@foxybrush @Astro_Wheels @Astro_Clay @Astro_Alex @markstewartprod @SomethingAstro @Astro_Mike @AstroIllini @astro_aggie @Astro_Wakata” Thx!",1,6
"Expedition 38 &amp; 39 crews at Space Center Houston now! http://t.co/KiqNC7S6rV",10,19
"“@PlanetaryKeri: @RojSmith I'd ask @astro_aggie or the other astronauts about the ISS Fight Club”  Never heard of it!",1,2
"“@ESA_CAVES: Preparing for the participation of @astro_aggie to #caves2014 @Paxi_ESAKids version http://t.co/K6va4j4HiM”  I am excited!",10,18
"“@AstroKarenN: June 11, 2008 - Our view of #ISS from Discovery after 9 docked days. http://t.co/VZbeUXxHQk”   STS-124! Let's go back!",15,20
"“@frankprochaska: Listening to a briefing from @Astro_Cady. She's telling all of @astro_aggie secrets! http://t.co/RzeBEQgIiA”  Equal time!",5,9
"“@Sannsibble: -@astro_aggie Been there! Where to? Good luck on trip - Thanks for sharing (*_*) Best”  Sailing adventure for 5 days!",1,2
"With my scouts in Key West, Florida, at the southernmost point of continental US! Very interesting! We sail tomorrow. http://t.co/pLwo8Mk07V",3,18
"“@astro_reid: Distant storms break up the hairline atmosphere at sunrise. http://t.co/ok7lTYsiiQ”  You're learning quickly, compadre!",15,18
"“@Astro_Satoshi: Exactly 3yrs ago Mike, Sergey &amp;I were in a Soyuz being launched for Int'l Space Station. http://t.co/zJNBOak3Fq” Good time!",9,16
"RT @HumanoidHistory: Astronaut Ron Garan peeking out of the cupola on the International Space Station, September 2011. #space #iss #nasa ht…",122,0
