tweet,retweetsCount,favoritesCount
"#spacevine - Mind bending double ‘s’ curve #AuroraAustralis time lapse https://t.co/gCtV8i2Lrc",476,452
"Night #spacevine over #SouthAfrica – Pretoria, Johannesburg, Durban, Port Elizabeth, Cape Town https://t.co/6u8AySRtRa",216,277
"My #favorite photo to date. Lucky shot…Cuba, Bahamas, Florida at night under a high moon. http://t.co/9BFwOnJsXk",1939,2573
"Finally started getting good passes over #Chile again. Wild terrain &amp; weather. http://t.co/ttXocpxlC9",288,486
"It is always great to look down on the mid-atlantic, where I spent most of my life. http://t.co/5ZGyjG0CV5",243,497
"@spasmunkey  - good guess, but something tells me you are a little too close for a guess ;)",0,6
"JSC imagery group counted 1,682,858 frames total through the end of June including in-cabin, Earth observation, payload, film, everything.",85,241
"We have a VERY happy @astro_alex up here!",417,871
"Watching #WorldCup finals with @astro_alex and our #Exp40 crew. Great game so far! http://t.co/gBgRin573m",8313,4976
"Nicely done @Orbital_Sciences – looking forward to #Cygnus arrival on Wednesday!",87,226
"RT @NASA_Wallops: #Orb2 on schedule for 12:52 p.m. EDT launch from @NASA_Wallops.  Weather looks great!",65,0
"Our gorgeous Earth at night under a #fullmoon http://t.co/IykzfmJeqx",3115,3685
"High noon in #NYC – that is a crazy sight from low earth orbit. http://t.co/PQVNifO3jh",764,1107
"Glacial flows in #Canada through an 800mm lens. http://t.co/lR1c38mODr",502,853
"The sand of #Africa and a distant Western Europe http://t.co/TKJSRZunA1",288,512
"5,000 days of #ISS – how many photographs have been taken from here? Take a guess…",55,152
"5,000 days of #ISS – 82 countries have contributed to @ISS_Research http://t.co/MMWDxrkzc7",645,670
"5,000 days of #ISS - 214 people have lived on the #ISS - @astro_alex was #213, he beat me to the hatch! http://t.co/LLxJ3mwTEy",345,560
"5,000 days of #ISS - 24,000 hours of @ISS_Research - biology, physical science, technology, human physiology, Earth &amp; space science",211,310
"5,000 days ago Shepherd, Krikalev, &amp; Gidzenko kicked off #ISS Expedition 1 http://t.co/cpkWdWDynL",414,714
"Morning sun casts long shadows. I bet the view is equally stunning looking up from below. http://t.co/PupAnTYHDD",783,1104
