tweet,retweetsCount,favoritesCount
"GMT252/23:42:We’re preparing the orbiter for return–setting up seats, pulling out suits.Weather’s iffy @ KSC, but we’ll b home soon!#onorbit",27,11
"GMT251/06:00:  Winding down for the night – now with another great crew.  Undocking tomorrow. .#onorbit",6,1
"GMT251/02:00: Closed the hatch & I’m on the shuttle w/ my former crewmates on the other side. Sad to go but good to be heading home.#onorbit",3,2
"GMT245/06:30: Danny and Nicole did a great job on their spacewalk and most importantly got back inside safely. #onorbit",2,1
"GMT245/02:00: Kevin and Bob have been flying the station robotic arm with both Nicole and an ammonia tank on the end. #onorbit",1,1
"GMT244/21:55: Jose and I just finished helping Danny and Nicole go out the hatch on their spacewalk. #onorbit",2,1
"GMT242/09:40:  Shuttle docks tomorrow – continuing our sleep shift, so it’s bedtime…",3,1
"GMT241/17:00: We’re sleep shifting to align with the shuttle mission, so we’ll be waking up at 23:30. Time to go to bed!!",2,0
"GMT241/04:00: Shuttle launched! Time to finish packing and get to work with the STS-128 crew!",2,0
"GMT240/19:01:  If STS-128 isn’t able to launch this time, they have 2 more opportunities before delaying until October.",1,1
"GMT240/19:00:  We’ll be getting up early to hopefully watch STS-128 launch tomorrow morning.",1,0
"GMT240/13:00: We made a video today discussing life on station.",2,0
"GMT239/19:00: Mike and I worked on an experiment called SPHERES with 3 mini satellites that fly together inside station.",1,4
"GMT237/22:00: Took a lot of photos today – Western US, Mexico, South America, Africa, Madagascar, and Brooklyn, NY.",1,3
"GMT237/05:40:  The space shuttle launch was scrubbed for weather – we’ll see how it goes tomorrow morning!",1,0
"GMT236/22:00:  We found out that STS-128 received a “go” to fuel the external tank.  We’ll get up early for the launch!",1,0
"GMT236/17:00:  Spent the afternoon removing burned out lights on station.  We’ll take the lights out of 17A’s logistic module when it comes.",1,0
"233/10:00:  We have a monthly physical fitness test on the stationary bike – just finished.  We hook up an ECG and heart rate monitor.",1,1
"GMT232/18:30:  I talked with KIPP school students in Houston on Ham radio and answered their questions – smart kids!!",0,1
"GMT232/14:00:  All is looking good for STS-128.  We had a video conference with their planning team to review the plan.",1,0
"GMT231/17:30:  Spent this afternoon collecting items to go home on the shuttle.",1,0
"GMT231/14:00:  Looks like STS-128 will plan to launch on Aug 25 – my ride home is not very far off.",1,2
"GMT230/16:10:  Getting my stuff ready to go home on STS-128 – should have word soon on whether they will launch on time.",1,1
"GMT230/11:05: Just finished disassembling our “stationary” bike for maintenance – all looks good.",1,3
"GMT229/15:00:  This afternoon, I had the opportunity to speak with the Chief of Staff of the Army, GEN Casey!",1,1
"GMT229/11:30:  Mike and I flew the station robotic arm, moving it into position for the 17A crew.",1,0
"GMT228/18:00:  Pretty relaxing day – lifted, ran, talked with my family, and then had a conference with the 128 crew.",1,2
"GMT228/8:00:  Took a great picture of Venice, Italy yesterday with an 800 mm lens!",1,0
"GMT227/19:00: Mike and I conducted experiments with three miniature satellites designed to fly together autonomously – very cool!",1,3
"GMT227/13:50: Had our weekly planning conference – we’ll be busy preparing for 17A/STS-128 crew’s arrival and mission.",1,1
"GMT227/13:00: Finished an experiment designed to measure the effect of microgravity on our perception of orientation.",1,2
"GMT227/09:00: We have a busy Saturday with several science experiments planned.",1,0
"GMT 226/22:30:  Busy day – then had a nice dinner together in Node 1, sharing our “bonus” foods, listened to jazz.",1,0
"GMT226/14:30: We just finished talking with participants in the International Regatta 2009 and answered their questions.",1,0
"GMT226/13:00: This morning I reconfigured one of the rack bays in the US Lab so that 17A can install a fluids experiment rack.",1,1
"GMT226/1615: I’m taking bacteria and fungi samples as part of an ongoing experiment on space station.",1,1
"GMT 225/17:20: The airlock is all set up for the STS-128 spacewalks!",0,1
"GMT 225/1200:  Took some photos of Dubai’s manmade islands, “Palms” and “World” – it’s astounding how large they are.",1,1
"GMT 224/14:52:  KIPP is “Knowledge Is Power Program”.  The kids there work hard and produce results – good stuff!",0,1
