tweet,retweetsCount,favoritesCount
"SpaceX Successfully Launches Long-Delayed Orbcomm OG- 2 Mission http://t.co/h0VeybJB1T",0,1
"Congrats @OrbitalSciences! Antares Successfully Launches ORB-2 Cygnus Mission to Space Station http://t.co/2cHkXbdYI9 #FreshFood",2,5
"“@Leonida76470749: @foreman_mike Thank you Capt. Foreman for sharing my AmericaSpace article on Voyager 1. Best wishes!” It's a great story!",0,1
"Riding On Interstellar Winds: New Solar Outburst Confirms NASA's Voyager 1 Spacecraft Has Ex… http://t.co/EYnTl9c5JZ via @@Leonida76470749",6,8
"'Totally Different Moon': 45 Years Since Apollo 11 Changed the World (Part 2) http://t.co/4vXr8evMpo",8,6
"'All Engines Running': 45 Years Since Apollo 11 Changed the World (Part 1) http://t.co/4u2pItnHF2",22,15
"“@AmyJoForeman: This dog does NOT like fart noises #Dogsit2014” Who does?",1,3
"Hubble Sees a Galaxy With a Glowing Heart | NASA http://t.co/EF0iU3oR7I",3,2
"ESA's Rosetta Spacecraft Closes In on Comet 67P/Churyumov-Gerasimenko, Detects Huge Amounts … http://t.co/Or2HNOq7eo via @@Leonida76470749",5,3
"Janice Voss Returns to Space as ORB-2 Cygnus Stands Ready for Saturday Launch to ISS http://t.co/GeoC5KpXU8",5,5
"@AmyJoForeman One, please!",0,0
"Galactic Pyrotechnics on Display | NASA http://t.co/qUNkBcZPyf",2,1
"Astronomers Discover First Ever Terrestrial Exoplanet In An Earth-Type Orbit, Around A Red D… http://t.co/mQoSXOffKt via @@Leonida76470749",2,5
"Black Hole Fireworks in Nearby Galaxy.  Jet Propulsion Laboratory | News http://t.co/hKhcMbGKIj",1,3
"Orion EFT-1 Work Progressing Toward Dec. 4 Launch Attempt http://t.co/mHAIGH2cfB",0,1
"Cassini at Saturn: 10 Years of Amazing Planetary Science and More to Come http://t.co/Tl9Wcl0NcL",2,1
"Nice job @BillyHurley3! Will be rooting for you in the @usopengolf tournament. @GOLFonCBS #GoNAVY!",0,1
"Delta II Returns to Flight With Dazzling OCO-2 Launch http://t.co/CEJWBKMdfA",2,2
"'What's Tab November?': The Independence Day Mission of STS-4 (Part 2) http://t.co/H09ybcG8Sy",3,1
"'A Hundred Flights ... ': The Independence Day Mission of STS-4 (Part 1) http://t.co/kEaCiV8rzA",2,3
"“@NickFaldo006: A little round table PGA chat! @GOLFonCBS http://t.co/0D46PsYK7u”You're at work early! Root'n for Navy brother, Billy Hurley",0,0
"@NavalAcademy alum @BillyHurley3 is leading @The_Greenbrier golf tourney @GOLFonCBS #GoNavy!",0,0
"@JoseAltuve27 is first in 97 years with stolen-base feat http://t.co/i778j7hHtz via @astros",0,1
"Five Things About OCO-2. Jet Propulsion Laboratory | News http://t.co/re1oMh95jP",0,2
"NASA's 'Flying Saucer' Fires Rocket Motor, Deploys SIAD, But Suffers Parachute Failure http://t.co/73471wKTqY",2,3
"America’s Future Rocket Scientists - Student Research Experiments Thunder from NASA Wallops to Sniff Earth’s Atmos… http://t.co/nWTmMfL9Yl",2,0
"NASA's OCO-2 Satellite on the Launch Pad | NASA http://t.co/QS4NEAswIp",2,0
"U.S. Astronauts Shave Heads Following World Cup Loss to Germany http://t.co/Humz63BG7G via @youtube",4,1
"NASA's deep-space craft readying for launch http://t.co/8lPVZamCxf",1,2
"“@JarredCosart: What a team win by the @astros. Lets keep it rollin!” Love the @HoustonChron headline: 'Needed a gem, they went to Jarred'!",3,2
"Curiosity Self-Portrait at 'Windjana' Drilling Site | NASA http://t.co/O4EtuQDl6d",4,4
"NASA Sets New Dates For Saucer-Shaped Vehicle Test Flights. Jet Propulsion Laboratory | News http://t.co/CvTFshYxDV",1,1
"“@heirloomteacozy: @foreman_mike @megasupernieuws aren't you all aliens out there? It's a perspective thing...”You are right! #evitcepsrep",0,2
"“@psutympany: @foreman_mike Hope NASA continues 2get funding.Lots of earth benefits.Fascinating space!” Future of US Space program is bright",1,3
"Spaceflight Deploys Dove Constellation From Dnepr Launcher http://t.co/CmVDmbVS5Y",0,0
"Spaceflight Now | Breaking News | French exoplanet mission ends after seven years: http://t.co/c2UjkOnm4q",1,0
"“@psutympany: @foreman_mike @Braves @astros and Chris Cassidy. Nice photo.” Good eye! Can you pick out any other astronauts?",0,0
"With @Braves staff before @Astros game. Thanks for the Out-of-this-world backstage tour, Rex! http://t.co/YMw60W0VpQ",1,3
"“@megasupernieuws: @foreman_mike Sir ! thank you so much for answering me. You're my hero :)” My pleasure, thanks!",1,1
"“@megasupernieuws: @foreman_mike Sir Capt. Mike Foreman, have you ever encounterd some sort of alien life out there?”Sorry, but no I haven't",0,1
"NASA Ramps Up Asteroid Initiative, Announces Studies  http://t.co/PuBZ6gQf7J",0,3
"Rosetta Closes In On Comet. Jet Propulsion Laboratory | News http://t.co/LnuSjk48NZ",0,0
"“@davidluhnow: Boys from NASA at today's #WorldCup game! http://t.co/nv4coRoSto”Wish I could have been there! #greatgame #GoUSA",2,3
"NASA's Mars Curiosity Rover Marks First Martian Year. 687 Earth Days! Jet Propulsion Laboratory | News http://t.co/E6iSwpsth9",4,3
"Hey, @blummer27, did I hear that you will be at #MinuteMaidPark this week? Let's tag up for a minute or two...",0,0
"ULA Set to Upgrade Atlas V Pad for Human Launches of Boeing CST-100 Space Taxi—ULA and Boeing Speak With AmericaSp… http://t.co/3toFduEnyP",4,3
"One of my favorite pics! #FWUMC http://t.co/gRUNkeFpTa",5,19
"Great evening at Houston Area Urban League Awards with @KhambrelM and Courtney @KPRCGilmore from @KPRCLocal2 #HAUL46 http://t.co/WdDpVs8x6V",1,3
"My pleasure to attend the Houston Area Urban League Gala tonight. Looking forward to the festivities! #haul46 http://t.co/f35U1WSwaE",0,3
"Fun night at Palace Lanes supporting #BowlingForRhinos #SaveTheRhinos",0,0
