tweet,retweetsCount,favoritesCount
"RT @rustyk5: function(callback){    callback(     { function callback() {         callback.callback     }, ‘please call back’   ); ‘so lone…",22,0
"My friend @KatrinaLeshan is running a marathon for an awesome cause: http://t.co/0bJRFyEpcD",1,1
"RT @spladow: This week I interviewed @medialab's @sannabh about Tether, which lets people's memories drift around the world. http://t.co/Rf…",2,0
"@CoreyZev I know. :/ I got stuck at work!! Let me know about the next one!",0,0
"RT @spladow: Back on the interview wagon. Tune in tomorrow for @sannabh. Then I promise @heyitsgarrett's interview is next and it won't men…",1,0
"@CoreyZev Cool. I should be there for the second half! I'll look for you.",0,0
"@CoreyZev Hi! I was planning on it. What's the time frame again? Hope to see you there.",0,0
"I'm 🍌🌚🌝🍌 on Emojli, the emoji-only network! Reserve your username now: http://t.co/5To6iSjRdf",0,1
"Debugging six-months-stale code is kind of like re-reading your middle school diary.",0,7
"Hmm idk your 'Do whatever you want with this but if you make money on it I want some' license seems dubious, @cgenco https://t.co/YYQJGocKVu",0,2
"search for script on github, clone/start using 1st result, realize it was authored by yer buddy. @cgenco http://t.co/eHXLcnRBug",0,2
"'Can he cosign?'Heres a tangent but I could make math jokes.'Signs youre @MIT'These puns are periodic'*shoots myself* @isTravis @KevinZengHu",0,1
"@jenninat0r sometimes your tweets make my day",0,0
"@notnowwww Yeah! Here's 2 and a half: http://t.co/MgviQPbzjZ http://t.co/Wy1YZJzExI http://t.co/VS8MpLvQLc",0,0
"Anecdotally, online alternative literary publications accomplish some of the most innovative web design around today.",0,3
"RT @jaz303: do i even like programming",2,0
"@morisy Then walk down the street for a latte paid with bitcoin.",0,0
"http://t.co/gbxOboiwhI",1,3
"http://t.co/6XH6AuBa47",0,0
"http://t.co/3DGB0m0Y7N",1,3
"http://t.co/n4n8mBlzOl",0,0
"http://t.co/f0USOqCBAe",0,0
"http://t.co/ZNhwvgfyI4",0,0
"http://t.co/4H2uuuAWfe",0,0
"@rynmcgnns it's a vowel in the context of your name",0,0
"@rynmcgnns Y is a vowel.",0,1
"@CorySchmitz Ahhhhhhhh gimme that.",0,1
"60 mile sail with Captain @WordOfLip. All hands on deck. http://t.co/wC8apUzNeV",0,1
"RT @ssfrr: Some hi-tech farming going on here at the @medialab, and we get to reap the benefits! I got me some bangin bok-choy. http://t.co…",1,0
"Custom bauble coming soon-- thanks @Google! https://t.co/02sAWDDtdu",0,0
"'I understood half of the words in your description of your thesis. I think that means you're halfway done?' --@cgenco",0,6
"RT @austinchanning: 'Poverty and racism, etc. are not poorly designed systems. They are systems working exactly as they were designed.' htt…",23,0
"“Poem is one of the names we give to cultural material once it has become property” http://t.co/0zzXxFndJ9",0,2
"Like a refrigerated tupperware of indeterminate age and origin: 'app/test/test/app/src/testing/stuff/fuxwidit/testing2/notsure.js'",0,1
"@pricepd just enjoying the warmth and working here! You?",0,0
"Just added a blog post: The Internet’s Infrastructure: a technical and historical overview. http://t.co/ThKAj9yV0m",0,0
". @KevinZengHu suddenly startled by streetlights: 'Did the world just turn on flux?' http://t.co/biTijGUXYS",0,0
"RT @0xabad1dea: I'm having too much fun coming up with useless combination emoji.  🐶🐶🐶🎫 kerberos ticket",52,0
"RT @rlacombe: Thanks @sannabh for the Lego-tour of the MIT Media Lab :). Great to have met you in person! http://t.co/SxjLIH4FiI",1,0
"@rlacombe likewise! Safe travels, come back and get the grand(er) tour! :)",0,1
"Muriel Cooper (+ minsky + papert) on exhibit in the @medialab lobby. http://t.co/hF6BSk2SNU",0,1
"I try to maintain work/loaf balance.",0,3
"Today's hack with @edahlseng: a video player that stitches a movie's highlight reel by listening to your laughter. http://t.co/DFlCyKqUrn",0,2
"'The art was so bad I was like negatively inspired by it.' --@CorySchmitz",0,4
"Eating donuts. Stealing hot sauce. Birthday entitlement. @CorySchmitz http://t.co/M6reVRkuGw",1,3
"@isanaht a second perspective: http://t.co/OnxdKA0sU3",0,0
".@VirginAmerica's awesome site re-design: http://t.co/k3Ofia0O6c",0,1
"But first, coffee.",1,1
"Advanced techniques in humblebragging: casual use of 'procrastiwork'",1,0
"'I wish sleep worked like rollover minutes.' -@ottolinguini",1,1
"via @rynmcgnns 'pet names in ThomasPynchon's new novel 'my everything bagel'(lover to lover), 'you little bargain'(grandmother to grandson)'",0,1
"@ottolinguini I luv u.",0,0
"'#Normcore is compiling code.' --@KevinZengHu",1,1
"Entirely unironic and sincere @KevinZengHu just offered 'I believe the difference between grinding and twerking is the axes.'",2,4
"RT @r_macdonald: Quoting TV news via @internetarchive can surface profound moments, like the end of MLK's 8/28/63 speech https://t.co/ap7S1…",3,0
"@rustyk5 Clicked your linked to http://t.co/GIO9Dr9iar --Did you plan this? http://t.co/zV7Ipi5zRp",0,1
"@sam_lavigne Your projects rule.",0,0
"Romance novels turned commemorative plates, equal parts sincere and tongue-in-cheek, by @sophiabrueckner https://t.co/t1u2sc4wcd",0,0
"Conference = ✔️. Now beginning the summer's inaugural jogging shorts tan before heading back to urban terrain. http://t.co/FnUuj2aSC5",0,4
"Mustached butler w/ gold platter enters the dining room: 'Now serving HTTP on 0.0.0.0 port 8888 with black truffle aioli and young leeks.'",3,4
"@Scatterfelt not at all!",0,0
"@Scatterfelt maybe not trust. Maybe what I mean is relinquish.",0,0
"@Scatterfelt phrases this reminds of might be 'ambient narrative' or 'pervasive narrative'",0,0
"@Scatterfelt rotating authors? Trusting a community around the app to generate episodic narrative richness?",0,0
"@Scatterfelt it's something I've been thinking a lot about actually. What if you made the app a weekly subscription of content written by",0,0
"Fast Fourier Transform visualized in Scratch http://t.co/MRFxsphv7X",0,1
"@Scatterfelt You. Me. Telecommunicating. Tomorrow?",0,0
"@damisalako YO!!!!",0,0
"'Sufficiently advanced technology is indistinguishable from Helvetica Neue Ultrathin.'",1,2
"@Scatterfelt my iMessage is shared with my parents. Bad things happen.",0,0
"RT @bijanstephen: why isnt 'thinkpiece' a verb",1,0
"Command-line tool for building gifs from Youtube videos: https://t.co/0LMsnOj3pV",0,1
"Post by @millsbaker: Designer Duds: Losing Our Seat at the Table http://t.co/NjC6rt1lkF",0,0
"@Flemmigan y r u awake",0,0
"@Alex_Sosla sleep what is that",0,1
"@Scatterfelt a not-fun fact? :/",0,1
"@Scatterfelt Oh that's nice! Cheers. :)",0,0
"@Scatterfelt Def still at the lab. Sitting on a core ball instead of an office chair. Drinking cold coffee. The usual.",0,1
"try { ... } catch (e) {  log (⊙︿⊙) ; }",0,3
"Vignette: coffee evaporates from a foam cup; @Sheero slouches over a macbook and wonders, 'Is pizza not an emotion?'",1,4
"'Oh you guys are all working on that same project, called Sublime Text.' --@julieetquart",0,5
"Vignette: sunlight gleaming along the ribs of his parasol, @Sheero maintains stoicism as the SWAT team rushes the picnic.",0,1
"@jgrayjgray #blessed",0,0
"RT @bostonpolice: #MarathonSafetyTip: If you see something out of the ordinary during the #BostonMarathon - text ‘BOSTON’ to 69050 or call …",277,0
"@Scatterfelt 'BUT WHAT IS TIME RLY' --jaded graphic designer sobbing while he exports an svg from illustrator",0,1
"Vignette: the sound of a dusty piano as @Sheero swipes a push notification for bed time and orders another whisky neat.",1,2
"@Scatterfelt I think you should get sleeve tattoos exclusively of icons from the noun project.",0,0
"Somewhere a graphic designer thinks, 'I'm looking for an icon that challenges the notion of absolute time...Oh here.' http://t.co/JfLhu7CmFq",2,5
"@CorySchmitz make a playlist",0,1
"@jspeis 'Now only thirty more to go!' -@isTravis",0,0
"@jspeis WOW congratulations we were all rooting for you!",0,0
"Updating LinkedIn profiles w @Sheero. Really making progress. http://t.co/GR2hodo877",1,3
"RT @BSlateable: Gnome Chomsky",1,0
"Dan and rob realize what would make matzah good, bacon jam. http://t.co/HDu31fhalD",0,0
"Drunk, professional grade ux advice at 12 am is why I'm friends with @Sheero.",0,1
"'Why do nerds suck at sports? It's because they think, and the first rule of sports is don't think.' --@cesifoti",4,7
"'Home is a fundamentally anchoring but abstract entity. Home is where you pay your taxes.' --@dj247",0,1
".@pohungchen 'So many greater than signs...' *surveys parched earth, squints into irradiating sun*",0,0
"@pohungchen &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; HEAD *enter enter* &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; NEW-BRANCH",0,0
"How many chances in life is one given to use the sentence 'I still want to get the cookie to pulsate but I'll do that tomorrow.' @dj247",1,4
"The post-apocalyptic wasteland that was the repo post-merge.",0,1
"RT @bkeegan: 'Defacing the map: Cartographic vandalism in the digital commons.' #arxiv http://t.co/sSTkxZPPME",1,0
"Existential nulls. Existential NaN's.",0,3
"@richards_ryder @FlameAlphabet I'll check it out-- thanks for the forward.",0,1
"@richards_ryder thanks. :) I've followed your work for a while and I really enjoy the things you make. Stay in touch.",0,0
"@natematias I spy you and your lovely fiancé across the room at brunch-- don't want to interrupt but hello and enjoy your Sunday!",0,1
"@CorySchmitz 10/10 would put in rolodex",0,1
"@Scatterfelt Ha I thought of you when I saw that this morning: 'Andrew would be all over this.'",0,0
"... or concerns rather than electricity, the weight and pause and incredible expanse of the exploring mind in speech' http://t.co/eiwG8G6jMq",0,0
"... and I've learned different things from all of them but since they are just people I think it's tone that people wind up miming, ...",0,0
"'You can say some quick thing about them all—it's chatty abstraction, it's American speech, ...",0,0
"'Citation needed.' --@ottolinguini",1,0
"All links forwarded from @ottolinguini.",0,0
"Comic Sans, meet Comic Neue. 'Make your lemonade stand look like a Fortune 500 company.' http://t.co/N6A0duPndH",0,1
"'Big Data is not the new phrenology.' --@WordOfLip. @JeremyRubin: 'No, phrenology is a subset of big data.'",1,0
"'You could make like a Nerd Tindr based on scraped wikipedia history.' @cesifoti gives @isTravis research advice.",1,1
"@zfreeman analysis tools.",0,0
