screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
astro_Jfrancois,Clervoy JeanFrancois,847170962,Wed Sep 26 10:43:26 +0000 2012,1060,22,21,0,
astro_timpeake,Tim Peake,552582271,Fri Apr 13 10:12:28 +0000 2012,26950,170,810,139,
Thom_astro,Thomas Pesquet,437520768,Thu Dec 15 14:18:06 +0000 2011,12469,174,1108,500,
Astro_Alex,Alexander Gerst,390287262,Thu Oct 13 19:05:22 +0000 2011,53440,100,1591,30,
AstroSamantha,Sam Cristoforetti,337886919,Mon Jul 18 18:54:02 +0000 2011,54039,567,6073,4148,
astro_luca,Luca Parmitano,290876018,Sun May 01 03:01:30 +0000 2011,127995,66,4376,772,
astro_andre,André Kuipers,266464616,Tue Mar 15 08:16:25 +0000 2011,321131,396,1553,192,
astro_paolo,Paolo Nespoli,173116059,Sat Jul 31 13:39:45 +0000 2010,91081,5,1314,0,
Astro_Andreas,Andreas Mogensen,40426996,Sat May 16 07:15:43 +0000 2009,12193,132,714,63,
CFuglesang,Christer,62584402,Mon Aug 03 18:30:23 +0000 2009,10563,53,931,5,
ESA_EAC,ESA Astronaut Centre,1088665734,Mon Jan 14 10:53:02 +0000 2013,2427,26,341,12,
esa,ESA,21436960,Fri Feb 20 21:38:25 +0000 2009,185961,490,16694,2532,
esaoperations,ESA Operations,17384099,Fri Nov 14 08:55:59 +0000 2008,56278,269,10880,951,
