source,target,value
astro_timpeake,esa,2
astro_timpeake,astro_reid,3
astro_timpeake,NASA,4
astro_timpeake,AstroSamantha,1
astro_timpeake,csa_asc,0
astro_timpeake,Astro_Ron,0
astro_timpeake,ISS_Research,0
astro_timpeake,Astro_Wakata,0
astro_timpeake,ESA_EAC,0
astro_timpeake,Astro_Nicole,0
astro_timpeake,esaoperations,1
astro_timpeake,Thom_astro,2
astro_timpeake,Astro_Alex,1
astro_timpeake,Astro_Andreas,0
astro_timpeake,AstroIllini,0
astro_timpeake,astro_timpeake,0
Thom_astro,astro_timpeake,2
Thom_astro,Aki_Hoshide,0
Thom_astro,AstroKarenN,0
Thom_astro,NASA_NEEMO,1
Thom_astro,Chief_Astronaut,0
Thom_astro,NASA,0
Thom_astro,Astro_DavidS,0
Thom_astro,esa,1
Thom_astro,asc_csa,2
Thom_astro,Astro_Andreas,6
Thom_astro,AstroDot,0
Thom_astro,esaoperations,1
Thom_astro,AstroSamantha,0
Thom_astro,Astro_Jeremy,4
Thom_astro,Astro_Wakata,1
Thom_astro,Astro_Alex,0
Astro_Alex,astro_reid,4
Astro_Alex,Astro_Alex,0
Astro_Alex,astro_luca,0
AstroSamantha,Astro_Alex,2
AstroSamantha,AstroTerry,3
AstroSamantha,AstroSamantha,12
AstroSamantha,Astro_Andreas,0
astro_luca,Astro_Alex,1
astro_luca,AstroKarenN,2
astro_luca,astro_reid,3
astro_luca,AstroSamantha,0
astro_luca,Astro_Ron,0
astro_luca,Msuraev,1
astro_luca,esa,2
astro_luca,NASA,1
astro_luca,Thom_astro,1
astro_luca,astro_aggie,0
astro_luca,astro_timpeake,0
astro_luca,Cmdr_Hadfield,2
astro_luca,esaoperations,0
astro_andre,AstroSamantha,1
astro_andre,NASA_Orion,0
astro_andre,esa,3
astro_andre,esaoperations,0
astro_andre,Astro_Cady,0
astro_andre,Astro_Alex,1
astro_andre,NASA,1
astro_andre,NASA_Astronauts,0
astro_andre,ISS_Research,0
astro_andre,astro_andre,0
astro_paolo,Astro_Ron,0
astro_paolo,astro_aggie,0
astro_paolo,Astro_Cady,0
Astro_Andreas,esa,5
Astro_Andreas,NASA_NEEMO,0
Astro_Andreas,esaoperations,3
Astro_Andreas,Astro_Alex,1
Astro_Andreas,AstroRM,0
Astro_Andreas,Thom_astro,7
Astro_Andreas,astro_timpeake,0
Astro_Andreas,AstroSamantha,2
Astro_Andreas,MorpheusLander,0
Astro_Andreas,Astro_Ron,1
Astro_Andreas,astro_reid,0
CFuglesang,Astro_Ron,0
CFuglesang,ESA_EAC,0
CFuglesang,Astro_Cady,0
ESA_EAC,Astro_Alex,7
ESA_EAC,astro_reid,0
ESA_EAC,AstroSamantha,0
ESA_EAC,esa,7
ESA_EAC,esaoperations,5
ESA_EAC,NASA,0
ESA_EAC,Thom_astro,1
ESA_EAC,Astro_Andreas,0
esa,esaoperations,7
esa,Astro_Alex,17
esa,Astro_Andreas,0
esa,astro_luca,0
esa,astro_timpeake,0
esa,csa_asc,0
esa,astro_reid,0
esa,AstroSamantha,0
esaoperations,NASA,4
esaoperations,Astro_Alex,6
esaoperations,esa,3
esaoperations,astro_timpeake,0
esaoperations,Astro_Andreas,0
Astro_Satoshi,JAXA_en,0
Astro_Satoshi,NASA,22
